#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
50948,1725270,hoc,RB49p168,-,-,-,-,Hoc head outer capsid protein,protein-coding,-,-,-,Hoc head outer capsid protein,20201220,-
50948,1725489,RB49p179,RB49p179,29,-,-,-,tail length regulator,protein-coding,-,-,-,tail length regulator,20201220,-
50948,1725490,srd,RB49p013,-,-,-,-,putative anti-sigma factor Srd,protein-coding,-,-,-,putative anti-sigma factor Srd,20201220,-
50948,1725491,57B,RB49p126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725492,RB49p200,RB49p200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725493,tk.4,RB49p091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725494,RB49p069,RB49p069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725495,1,RB49p128,-,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20201220,-
50948,1725496,8,RB49p139,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20201220,-
50948,1725497,RB49p249,RB49p249,35,-,-,-,hinge long tail fiber protein proximal connector,protein-coding,-,-,-,hinge long tail fiber protein proximal connector,20201220,-
50948,1725498,RB49p225,RB49p225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725499,RB49p267,RB49p267,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725500,22,RB49p160,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20201220,-
50948,1725501,RB49p217,RB49p217,31.1,-,-,-,gp31.1 conserved hypothetical protein,protein-coding,-,-,-,gp31.1 conserved hypothetical protein,20201220,-
50948,1725502,RB49p187,RB49p187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725503,RB49p116,RB49p116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725504,uvsY.-2,RB49p172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725505,RB49p064,RB49p064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725506,5,RB49p134,-,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20201220,-
50948,1725507,RB49p033,RB49p033,45.2,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725508,uvsW.1,RB49p171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725509,RB49p261,RB49p261,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725510,RB49p080,RB49p080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725511,RB49p019,RB49p019,61.1,-,-,-,Gp61.1,protein-coding,-,-,-,Gp61.1,20210212,-
50948,1725512,RB49p189,RB49p189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725513,RB49p202,RB49p202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725514,RB49p097,RB49p097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725515,RB49p096,RB49p096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725516,vs.6,RB49p099,-,-,-,-,Vs.6 conserved hypothetical protein,protein-coding,-,-,-,Vs.6 conserved hypothetical protein,20201220,-
50948,1725517,a-gt.5,RB49p042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725518,dexA,RB49p008,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201220,-
50948,1725519,RB49p038,RB49p038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725520,RB49p070,RB49p070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725521,24,RB49p163,-,-,-,-,capsid vertex protein,protein-coding,-,-,-,capsid vertex protein,20201220,-
50948,1725522,RB49p122,RB49p122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725523,RB49p009,RB49p009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725524,RB49p017,RB49p017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725525,RB49p005,RB49p005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725526,RB49p002,RB49p002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725527,RB49p003,RB49p003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725528,30.3,RB49p214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725529,RB49p121,RB49p121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725530,52,RB49p269,-,-,-,-,DNA topisomerase II medium subunit,protein-coding,-,-,-,DNA topisomerase II medium subunit,20201220,-
50948,1725531,rIIA,RB49p001,-,-,-,-,membrane integrity protector,protein-coding,-,-,-,membrane integrity protector,20201220,-
50948,1725532,RB49p243,RB49p243,33,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20201220,-
50948,1725533,RB49p050,RB49p050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725534,46,RB49p034,-,-,-,-,endonuclease subunit,protein-coding,-,-,-,endonuclease subunit,20201220,-
50948,1725535,47,RB49p039,-,-,-,-,endonuclease subunit,protein-coding,-,-,-,endonuclease subunit,20201220,-
50948,1725536,rnh,RB49p246,-,-,-,-,RnaseH,protein-coding,-,-,-,RnaseH,20201220,-
50948,1725537,RB49p036,RB49p036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725538,RB49p245,RB49p245,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
50948,1725539,pseT.2,RB49p221,-,-,-,-,PseT.2 conserved hypothetical protein,protein-coding,-,-,-,PseT.2 conserved hypothetical protein,20201220,-
50948,1725540,RB49p111,RB49p111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725541,11,RB49p146,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20201220,-
50948,1725542,RB49p046,RB49p046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725543,RB49p018,RB49p018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,2829577,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage RB49; Coliphage RB49; Enterobacteria phage RB49).,other,-,-,-,-,20200513,-
50948,6276282,RB49p196.1,RB49p196.1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,6276283,RB49p006.1,RB49p006.1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,6276284,RB49p256.1,RB49p256.1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,6276285,RB49p168.2,RB49p168.2,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,6276286,RB49p189.1,RB49p189.1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
