#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713281,55817383,HYQ32_gp002,HYQ32_gp002,bering_2,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210320,-
2713281,55817562,HYQ32_gp181,HYQ32_gp181,bering_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817563,HYQ32_gp182,HYQ32_gp182,bering_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817564,HYQ32_gp183,HYQ32_gp183,bering_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817565,HYQ32_gp184,HYQ32_gp184,bering_184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817566,HYQ32_gp185,HYQ32_gp185,bering_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2713281,55817567,HYQ32_gp186,HYQ32_gp186,bering_186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817568,HYQ32_gp187,HYQ32_gp187,bering_187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817569,HYQ32_gp188,HYQ32_gp188,bering_188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817570,HYQ32_gp189,HYQ32_gp189,bering_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2713281,55817571,HYQ32_gp190,HYQ32_gp190,bering_190,-,-,-,putative thioredoxin,protein-coding,-,-,-,putative thioredoxin,20200910,-
2713281,55817572,HYQ32_gp191,HYQ32_gp191,bering_191,-,-,-,putative 5'(3') deoxyribonucleotidase,protein-coding,-,-,-,putative 5'(3') deoxyribonucleotidase,20210129,-
2713281,55817573,HYQ32_gp192,HYQ32_gp192,bering_192,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20200910,-
2713281,55817574,HYQ32_gp193,HYQ32_gp193,bering_193,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210320,-
2713281,55817575,HYQ32_gp194,HYQ32_gp194,bering_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817576,HYQ32_gp195,HYQ32_gp195,bering_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817577,HYQ32_gp196,HYQ32_gp196,bering_196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817578,HYQ32_gp197,HYQ32_gp197,bering_197,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
2713281,55817579,HYQ32_gp198,HYQ32_gp198,bering_198,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210403,-
2713281,55817580,HYQ32_gp199,HYQ32_gp199,bering_199,-,-,-,putative threonine ammonia lyase,protein-coding,-,-,-,putative threonine ammonia lyase,20210320,-
2713281,55817581,HYQ32_gp200,HYQ32_gp200,bering_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817582,HYQ32_gp201,HYQ32_gp201,bering_201,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210320,-
2713281,55817583,HYQ32_gp202,HYQ32_gp202,bering_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55817584,HYQ32_gt001,HYQ32_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2713281,55817585,HYQ32_gt002,HYQ32_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2713281,55817586,HYQ32_gt003,HYQ32_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2713281,55817587,HYQ32_gt004,HYQ32_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2713281,55817588,HYQ32_gt005,HYQ32_gt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2713281,55817589,HYQ32_gp001,HYQ32_gp001,bering_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713281,55863686,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200909,-
