#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
185431,2828229,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Trypanosoma brucei TREU927; Trypanosoma brucei brucei strain 927/4 GUTat10.1; Trypanosoma brucei strain TREU927).,other,-,-,-,-,20200224,-
185431,3658274,Tb927.7.660,Tb927.7.660,Tb07.29K4.710,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658275,Tb927.7.670,Tb927.7.670,Tb07.29K4.700,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658276,Tb927.7.730,Tb927.7.730,Tb07.29K4.600,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658277,Tb927.7.750,Tb927.7.750,Tb07.29K4.570,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658278,Tb927.7.640,Tb927.7.640,Tb07.29K4.730,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658279,Tb927.7.650,Tb927.7.650,Tb07.29K4.720,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658280,Tb927.7.710,Tb927.7.710,Tb07.29K4.620,-,7,-,"heat shock 70 kDa protein, putative",protein-coding,-,-,-,"heat shock 70 kDa protein, putative",20200919,-
185431,3658281,Tb927.7.700,Tb927.7.700,Tb07.29K4.630,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658282,Tb927.7.680,Tb927.7.680,Tb07.29K4.690,-,7,-,"chaperone protein DNAJ, putative",protein-coding,-,-,-,"chaperone protein DNAJ, putative",20200919,-
185431,3658283,Tb927.7.690,Tb927.7.690,Tb07.29K4.660,-,7,-,"zinc finger protein, putative",protein-coding,-,-,-,"zinc finger protein, putative",20200919,-
185431,3658284,Tb927.7.740,Tb927.7.740,Tb07.29K4.580,-,7,-,"chaperone protein DNAJ, putative",protein-coding,-,-,-,"chaperone protein DNAJ, putative",20200919,-
185431,3658285,Tb927.7.760,Tb927.7.760,Tb07.29K4.550,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658286,Tb927.7.720,Tb927.7.720,Tb07.29K4.610,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658287,Tb927.7.780,Tb927.7.780,Tb07.29K4.510,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658288,Tb927.7.830,Tb927.7.830,Tb07.29K4.430,-,7,-,"telomerase-associated protein, putative",protein-coding,-,-,-,"telomerase-associated protein, putative",20200919,-
185431,3658289,Tb927.7.840,Tb927.7.840,Tb07.29K4.425,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658290,Tb927.7.850,Tb927.7.850,Tb07.29K4.420,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658291,Tb927.7.790,Tb927.7.790,Tb07.29K4.500,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658292,Tb927.7.810,Tb927.7.810,Tb07.29K4.460,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658293,Tb927.7.800,Tb927.7.800,Tb07.29K4.480,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658294,Tb927.7.770,Tb927.7.770,Tb07.29K4.520,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658295,Tb927.7.820,Tb927.7.820,Tb07.29K4.440,-,7,-,"dynein arm light chain, axonemal, putative",protein-coding,-,-,-,"dynein arm light chain, axonemal, putative",20200919,-
185431,3658296,Tb927.7.870,Tb927.7.870,Tb07.29K4.380,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658297,Tb927.7.880,Tb927.7.880,Tb07.29K4.370,-,7,-,"RNA-binding protein, putative",protein-coding,-,-,-,"RNA-binding protein, putative",20200919,-
185431,3658298,Tb927.7.900,Tb927.7.900,Tb07.29K4.340,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658299,Tb927.7.910,Tb927.7.910,Tb07.29K4.330,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658300,Tb927.7.890,Tb927.7.890,Tb07.29K4.350,-,7,-,"electron transfer protein, putative",protein-coding,-,-,-,"electron transfer protein, putative",20200919,-
185431,3658301,Tb927.7.860,Tb927.7.860,Tb07.29K4.410,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658302,Tb927.7.920,Tb927.7.920,Tb07.29K4.310,-,7,-,"dynein heavy chain, putative",protein-coding,-,-,-,"dynein heavy chain, putative",20200919,-
185431,3658303,Tb927.7.940,Tb927.7.940,Tb07.29K4.250,-,7,-,"protein kinase C substrate protein, heavy chain, putative",protein-coding,-,-,-,"protein kinase C substrate protein, heavy chain, putative",20200919,-
185431,3658304,Tb927.7.980,Tb927.7.980,Tb07.29K4.140,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658305,Tb927.7.1000,Tb927.7.1000,Tb07.29K4.120,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
185431,3658306,Tb927.7.930,Tb927.7.930,Tb07.29K4.270,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658307,Tb927.7.1010,Tb927.7.1010,Tb07.29K4.100,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658308,Tb927.7.990,Tb927.7.990,Tb07.29K4.130,-,7,-,"chaperone protein DNAJ, putative",protein-coding,-,-,-,"chaperone protein DNAJ, putative",20200919,-
185431,3658309,Tb927.7.970,Tb927.7.970,Tb07.29K4.160,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658310,Tb927.7.950,Tb927.7.950,Tb07.29K4.240,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658311,Tb927.7.960,Tb927.7.960,Tb07.29K4.230,-,7,-,"protein kinase, putative",protein-coding,-,-,-,"protein kinase, putative",20200919,-
185431,3658312,Tb927.7.1040,Tb927.7.1040,Tb07.29K4.50,-,7,-,"40S ribosomal protein S16, putative",protein-coding,-,-,-,"40S ribosomal protein S16, putative",20200923,-
185431,3658313,Tb927.7.1050,Tb927.7.1050,Tb07.29K4.40,-,7,-,"40S ribosomal protein S16, putative",protein-coding,-,-,-,"40S ribosomal protein S16, putative",20200923,-
185431,3658314,Tb927.7.1020,Tb927.7.1020,Tb07.29K4.90,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658315,Tb927.7.1090,Tb927.7.1090,Tb07.27M11.170,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658316,Tb927.7.1030,Tb927.7.1030,Tb07.29K4.60,-,7,-,"heat shock 70 kDa protein, putative",protein-coding,-,-,-,"heat shock 70 kDa protein, putative",20200919,-
185431,3658317,Tb927.7.1130,Tb927.7.1130,Tb07.27M11.280,-,7,-,trypanothione/tryparedoxin dependent peroxidase 2,protein-coding,-,-,-,trypanothione/tryparedoxin dependent peroxidase 2,20200919,-
185431,3658318,Tb927.7.1080,Tb927.7.1080,Tb07.27M11.140,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658319,Tb927.7.1070,Tb927.7.1070,Tb07.27M11.120,-,7,-,RNA-editing complex protein MP100,protein-coding,-,-,-,RNA-editing complex protein MP100,20200919,-
185431,3658320,Tb927.7.1060,Tb927.7.1060,Tb07.29K4.20,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658321,Tb927.7.1110,Tb927.7.1110,Tb07.27M11.260,-,7,-,"asparagine synthetase a, putative",protein-coding,-,-,-,"asparagine synthetase a, putative",20200923,-
185431,3658322,Tb927.7.1100,Tb927.7.1100,Tb07.27M11.240,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658323,Tb927.7.1120,Tb927.7.1120,Tb07.27M11.270,-,7,-,"trypanothione/tryparedoxin dependent peroxidase 1, cytosolic",protein-coding,-,-,-,"trypanothione/tryparedoxin dependent peroxidase 1, cytosolic",20200919,-
185431,3658324,Tb927.7.1160,Tb927.7.1160,Tb07.27M11.310,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658325,Tb927.7.1170,Tb927.7.1170,Tb07.27M11.320,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658326,Tb927.7.1140,Tb927.7.1140,Tb07.27M11.290,-,7,-,trypanothione/tryparedoxin dependent peroxidase 3,protein-coding,-,-,-,trypanothione/tryparedoxin dependent peroxidase 3,20200919,-
185431,3658327,Tb927.7.1175,Tb927.7.1175,-,-,7,-,tRNA,tRNA,-,-,-,-,20200919,-
185431,3658328,Tb927.7.1150,Tb927.7.1150,Tb07.27M11.300,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658329,Tb927.7.1180,Tb927.7.1180,Tb07.27M11.330,-,7,-,"RNA-binding protein, putative",protein-coding,-,-,-,"RNA-binding protein, putative",20200919,-
185431,3658330,Tb927.7.1190,Tb927.7.1190,Tb07.27M11.350,-,7,-,"regulator of chromosome condensation, putative",protein-coding,-,-,-,"regulator of chromosome condensation, putative",20200919,-
185431,3658331,Tb927.7.1200,Tb927.7.1200,Tb07.27M11.380,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658332,Tb927.7.1240,Tb927.7.1240,Tb07.27M11.420,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658333,Tb927.7.1210,Tb927.7.1210,Tb07.27M11.390,-,7,-,"regulator of chromosome condensation, putative",protein-coding,-,-,-,"regulator of chromosome condensation, putative",20200919,-
185431,3658334,Tb927.7.1250,Tb927.7.1250,Tb07.27M11.450,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658335,Tb927.7.1260,Tb927.7.1260,Tb07.27M11.470,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658336,Tb927.7.1220,Tb927.7.1220,Tb07.27M11.400,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658337,Tb927.7.1230,Tb927.7.1230,Tb07.27M11.410,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658338,Tb927.7.1280,Tb927.7.1280,Tb07.27M11.520,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658339,Tb927.7.1310,Tb927.7.1310,Tb07.27M11.570,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658340,Tb927.7.1350,Tb927.7.1350,Tb07.27M11.620,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658341,Tb927.7.1360,Tb927.7.1360,Tb07.27M11.630,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658342,Tb927.7.1300,Tb927.7.1300,Tb07.27M11.560,-,7,-,"protein disulfide isomerase, putative",protein-coding,-,-,-,"protein disulfide isomerase, putative",20200919,-
185431,3658343,Tb927.7.1270,Tb927.7.1270,Tb07.27M11.500,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658344,Tb927.7.1290,Tb927.7.1290,Tb07.27M11.530,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658345,Tb927.7.1340,Tb927.7.1340,Tb07.27M11.610,-,7,-,"10 kDa heat shock protein, putative",protein-coding,-,-,-,"10 kDa heat shock protein, putative",20200923,-
185431,3658346,Tb927.7.1330,Tb927.7.1330,Tb07.27M11.600,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658347,Tb927.7.1320,Tb927.7.1320,Tb07.27M11.580,-,7,-,"10 kDa heat shock protein, putative",protein-coding,-,-,-,"10 kDa heat shock protein, putative",20200923,-
185431,3658348,Tb927.7.1370,Tb927.7.1370,Tb07.27M11.650,-,7,-,"spliced leader RNA PSE-promoter transcription factor, putative",protein-coding,-,-,-,"spliced leader RNA PSE-promoter transcription factor, putative",20200919,-
185431,3658349,Tb927.7.1440,Tb927.7.1440,Tb07.27M11.760,-,7,-,DNA polymerase sigma-like protein,protein-coding,-,-,-,DNA polymerase sigma-like protein,20200919,-
185431,3658350,Tb927.7.1410,Tb927.7.1410,Tb07.27M11.690,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658351,Tb927.7.1420,Tb927.7.1420,Tb07.27M11.720,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658352,Tb927.7.1390,Tb927.7.1390,Tb07.27M11.670,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658353,Tb927.7.1400,Tb927.7.1400,Tb07.27M11.680,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658354,Tb927.7.1380,Tb927.7.1380,Tb07.27M11.660,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658355,Tb927.7.1430,Tb927.7.1430,Tb07.27M11.750,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658356,Tb927.7.1450,Tb927.7.1450,Tb07.27M11.770,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658357,Tb927.7.1460,Tb927.7.1460,Tb07.27M11.780,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658358,Tb927.7.1480,Tb927.7.1480,Tb07.27M11.810,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658359,Tb927.7.1470,Tb927.7.1470,Tb07.27M11.800,-,7,-,"ATPase subunit 9, putative",protein-coding,-,-,-,"ATPase subunit 9, putative",20200919,-
185431,3658360,Tb927.7.1500,Tb927.7.1500,Tb07.27M11.840,-,7,-,"nucleotide binding protein, putative",protein-coding,-,-,-,"nucleotide binding protein, putative",20200919,-
185431,3658361,Tb927.7.1490,Tb927.7.1490,Tb07.27M11.830,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658362,Tb927.7.1510,Tb927.7.1510,Tb07.27M11.850,-,7,-,"pseudouridylate synthase I, putative",protein-coding,-,-,-,"pseudouridylate synthase I, putative",20200919,-
185431,3658363,Tb927.7.1520,Tb927.7.1520,Tb07.27M11.860,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658364,Tb927.7.1540,Tb927.7.1540,Tb07.27M11.880,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658365,Tb927.7.1560,Tb927.7.1560,Tb07.27M11.910,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658366,Tb927.7.1530,Tb927.7.1530,Tb07.27M11.870,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658367,Tb927.7.1550,Tb927.7.1550,Tb07.27M11.900,-,7,-,RNA editing 3' terminal uridylyl transferase 2,protein-coding,-,-,-,RNA editing 3' terminal uridylyl transferase 2,20200919,-
185431,3658370,Tb927.7.1570,Tb927.7.1570,Tb07.27M11.920,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658371,Tb927.7.1580,Tb927.7.1580,Tb07.27M11.940,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658372,Tb927.7.1590,Tb927.7.1590,Tb07.27M11.950,-,7,-,mitotic cyclin,protein-coding,-,-,-,mitotic cyclin,20200919,-
185431,3658373,Tb927.7.1660,Tb927.7.1660,Tb07.43M14.10,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658374,Tb927.7.1600,Tb927.7.1600,Tb07.27M11.970,-,7,-,"C-1-tetrahydrofolate synthase, cytoplasmic, putative",protein-coding,-,-,-,"C-1-tetrahydrofolate synthase, cytoplasmic, putative",20200919,-
185431,3658375,Tb927.7.1610,Tb927.7.1610,Tb07.27M11.980,-,7,-,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase, putative",protein-coding,-,-,-,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase, putative",20200919,-
185431,3658376,Tb927.7.1650,Tb927.7.1650,Tb07.29D18.90,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658377,Tb927.7.1620,Tb927.7.1620,Tb07.27M11.990,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658378,Tb927.7.1640,Tb927.7.1640,Tb07.29D18.100,-,7,-,"GTP-binding protein, putative",protein-coding,-,-,-,"GTP-binding protein, putative",20200919,-
185431,3658379,Tb927.7.1680,Tb927.7.1680,Tb07.43M14.40,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658380,Tb927.7.1690,Tb927.7.1690,Tb07.43M14.60,-,7,-,silent information regulator 2,protein-coding,-,-,-,silent information regulator 2,20200923,-
185431,3658381,Tb927.7.1700,Tb927.7.1700,Tb07.43M14.70,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658382,Tb927.7.1710,Tb927.7.1710,Tb07.43M14.80,-,7,-,"eukaryotic peptide chain release factor subunit 1, putative",protein-coding,-,-,-,"eukaryotic peptide chain release factor subunit 1, putative",20200919,-
185431,3658383,Tb927.7.1740,Tb927.7.1740,Tb07.43M14.130,-,7,-,"60S ribosomal protein L7, putative",protein-coding,-,-,-,"60S ribosomal protein L7, putative",20200923,-
185431,3658384,Tb927.7.1670,Tb927.7.1670,Tb07.43M14.20,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658385,Tb927.7.1760,Tb927.7.1760,Tb07.43M14.160,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658386,Tb927.7.1790,Tb927.7.1790,Tb07.43M14.200,-,7,-,"adenine phosphoribosyltransferase, putative",protein-coding,-,-,-,"adenine phosphoribosyltransferase, putative",20200919,-
185431,3658387,Tb927.7.1730,Tb927.7.1730,Tb07.43M14.120,-,7,-,"60S ribosomal protein L7, putative",protein-coding,-,-,-,"60S ribosomal protein L7, putative",20200919,-
185431,3658388,Tb927.7.1720,Tb927.7.1720,Tb07.43M14.100,-,7,-,"HIRA-interacting protein 5, putative",protein-coding,-,-,-,"HIRA-interacting protein 5, putative",20200919,-
185431,3658389,Tb927.7.1770,Tb927.7.1770,Tb07.43M14.170,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658390,Tb927.7.1750,Tb927.7.1750,Tb07.43M14.140,-,7,-,"60S ribosomal protein L7, putative",protein-coding,-,-,-,"60S ribosomal protein L7, putative",20200923,-
185431,3658391,Tb927.7.1780,Tb927.7.1780,Tb07.43M14.180,-,7,-,"adenine phosphoribosyltransferase, putative",protein-coding,-,-,-,"adenine phosphoribosyltransferase, putative",20200919,-
185431,3658392,Tb927.7.1830,Tb927.7.1830,Tb07.43M14.260,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200922,-
185431,3658393,Tb927.7.1840,Tb927.7.1840,Tb07.43M14.270,-,7,-,"zinc finger protein, putative",protein-coding,-,-,-,"zinc finger protein, putative",20200919,-
185431,3658394,Tb927.7.1850,Tb927.7.1850,Tb07.43M14.280,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658395,Tb927.7.1860,Tb927.7.1860,Tb07.43M14.290,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
185431,3658396,Tb927.7.1810,Tb927.7.1810,Tb07.43M14.230,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658397,Tb927.7.1820,Tb927.7.1820,Tb07.43M14.240,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200923,-
185431,3658398,Tb927.7.1800,Tb927.7.1800,Tb07.43M14.220,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658399,Tb927.7.1880,Tb927.7.1880,Tb07.43M14.320,-,7,-,"zinc finger protein, putative",protein-coding,-,-,-,"zinc finger protein, putative",20200919,-
185431,3658400,Tb927.7.1870,Tb927.7.1870,Tb07.43M14.310,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200922,-
185431,3658401,Tb927.7.1910,Tb927.7.1910,Tb07.43M14.350,-,7,-,"glycine dehydrogenase, putative",protein-coding,-,-,-,"glycine dehydrogenase, putative",20200919,-
185431,3658402,Tb927.7.1890,Tb927.7.1890,Tb07.43M14.330,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658403,Tb927.7.1920,Tb927.7.1920,Tb07.43M14.360,-,7,-,"leucine-rich repeat protein (LRRP), putative",protein-coding,-,-,-,"leucine-rich repeat protein (LRRP), putative",20200919,-
185431,3658404,Tb927.7.1930,Tb927.7.1930,Tb07.43M14.370,-,7,-,"nucleoside diphosphatase, putative",protein-coding,-,-,-,"nucleoside diphosphatase, putative",20200919,-
185431,3658405,Tb927.7.1960,Tb927.7.1960,Tb07.43M14.400,-,7,-,"retrotransposon hot spot (RHS) protein, putative",protein-coding,-,-,-,"retrotransposon hot spot (RHS) protein, putative",20200919,-
185431,3658406,Tb927.7.1990,Tb927.7.1990,Tb07.43M14.430,-,7,-,pseudo,pseudo,-,-,-,-,20200919,-
185431,3658407,Tb927.7.2000,Tb927.7.2000,Tb07.43M14.440,-,7,-,"retrotransposon hot spot (RHS) protein, putative",protein-coding,-,-,-,"retrotransposon hot spot (RHS) protein, putative",20200919,-
185431,3658408,Tb927.7.1980,Tb927.7.1980,Tb07.43M14.420,-,7,-,"retrotransposon hot spot (RHS) protein, putative",protein-coding,-,-,-,"retrotransposon hot spot (RHS) protein, putative",20200919,-
185431,3658409,Tb927.7.1900,Tb927.7.1900,Tb07.43M14.340,-,7,-,"protein kinase, putative",protein-coding,-,-,-,"protein kinase, putative",20200919,-
185431,3658410,Tb927.7.1940,Tb927.7.1940,Tb07.43M14.380,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658411,Tb927.7.1970,Tb927.7.1970,Tb07.43M14.410,-,7,-,"retrotransposon hot spot (RHS) protein, putative",protein-coding,-,-,-,"retrotransposon hot spot (RHS) protein, putative",20200919,-
185431,3658412,Tb927.7.1950,Tb927.7.1950,Tb07.43M14.390,-,7,-,"retrotransposon hot spot (RHS) protein, putative",protein-coding,-,-,-,"retrotransposon hot spot (RHS) protein, putative",20200919,-
185431,3658413,Tb927.7.2020,Tb927.7.2020,Tb07.43M14.460,-,7,-,"retrotransposon hot spot (RHS) protein, putative",protein-coding,-,-,-,"retrotransposon hot spot (RHS) protein, putative",20200919,-
185431,3658414,Tb927.7.2030,Tb927.7.2030,Tb07.43M14.470,-,7,-,"retrotransposon hot spot (RHS) protein, putative",protein-coding,-,-,-,"retrotransposon hot spot (RHS) protein, putative",20200919,-
185431,3658415,Tb927.7.2040,Tb927.7.2040,Tb07.43M14.480,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658416,Tb927.7.2010,Tb927.7.2010,Tb07.43M14.450,-,7,-,"retrotransposon hot spot (RHS) protein, putative",protein-coding,-,-,-,"retrotransposon hot spot (RHS) protein, putative",20200919,-
185431,3658417,Tb927.7.2050,Tb927.7.2050,Tb07.43M14.490,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658418,Tb927.7.2060,Tb927.7.2060,Tb07.43M14.510,-,7,-,"DNA repair protein, putative",protein-coding,-,-,-,"DNA repair protein, putative",20200919,-
185431,3658419,Tb927.7.2070,Tb927.7.2070,Tb07.43M14.520,-,7,-,"heat shock protein DnaJ, putative",protein-coding,-,-,-,"heat shock protein DnaJ, putative",20200919,-
185431,3658420,Tb927.7.2080,Tb927.7.2080,Tb07.43M14.530,-,7,-,"methyltransferase, putative",protein-coding,-,-,-,"methyltransferase, putative",20200919,-
185431,3658421,Tb927.7.2120,Tb927.7.2120,Tb07.43M14.580,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658422,Tb927.7.2100,Tb927.7.2100,Tb07.43M14.550,-,7,-,"GMP synthase, putative",protein-coding,-,-,-,"GMP synthase, putative",20200919,-
185431,3658423,Tb927.7.2090,Tb927.7.2090,Tb07.43M14.540,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658424,Tb927.7.2190,Tb927.7.2190,Tb07.22O10.120,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658425,Tb927.7.2160,Tb927.7.2160,Tb07.22O10.80,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658426,Tb927.7.2110,Tb927.7.2110,Tb07.43M14.570,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658427,Tb927.7.2140,Tb927.7.2140,Tb07.28I8.10,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658428,Tb927.7.2130,Tb927.7.2130,Tb07.43M14.600,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658429,Tb927.7.2170,Tb927.7.2170,Tb07.22O10.90,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658430,Tb927.7.2180,Tb927.7.2180,Tb07.22O10.100,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658431,Tb927.7.2150,Tb927.7.2150,Tb07.28I8.20,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658432,Tb927.7.2200,Tb927.7.2200,Tb07.22O10.130,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658433,Tb927.7.2220,Tb927.7.2220,Tb07.22O10.150,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658434,Tb927.7.2230,Tb927.7.2230,Tb07.22O10.160,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658435,Tb927.7.2240,Tb927.7.2240,Tb07.22O10.180,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658436,Tb927.7.2210,Tb927.7.2210,Tb07.22O10.140,-,7,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
185431,3658437,Tb927.7.2250,Tb927.7.2250,Tb07.22O10.200,-,7,-,"carnitine O-palmitoyltransferase II, putative",protein-coding,-,-,-,"carnitine O-palmitoyltransferase II, putative",20200919,-
