#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
444878,10328116,gp33,Syn33_232,-,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20200629,-
444878,10328327,Syn33_016,Syn33_016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328328,Syn33_015,Syn33_015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328329,Syn33_014,Syn33_014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328330,Syn33_013,Syn33_013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328331,gp51,Syn33_012,-,-,-,-,gp51,protein-coding,-,-,-,gp51,20200629,-
444878,10328332,gp26,Syn33_011,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200629,-
444878,10328333,Syn33_010,Syn33_010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328334,gp4,Syn33_009,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20200629,-
444878,10328335,Syn33_008,Syn33_008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328336,gp48,Syn33_007,-,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20200629,-
444878,10328337,gp53,Syn33_006,-,-,-,-,base plate wedge component,protein-coding,-,-,-,base plate wedge component,20200629,-
444878,10328338,Syn33_005,Syn33_005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328339,Syn33_004,Syn33_004,-,-,-,-,cAMP phosphodiesterase,protein-coding,-,-,-,cAMP phosphodiesterase,20200629,-
444878,10328340,gp32,Syn33_003,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20200629,-
444878,10328341,Syn33_002,Syn33_002,-,-,-,-,DUF1825 domain-containing protein,protein-coding,-,-,-,DUF1825 domain-containing protein,20210129,-
444878,10328342,Syn33_042,Syn33_042,-,-,-,-,sericin 1 precursor-like protein,protein-coding,-,-,-,sericin 1 precursor-like protein,20200629,-
444878,10328343,Syn33_204,Syn33_204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328344,Syn33_020,Syn33_020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328345,Syn33_026,Syn33_026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10328346,Syn33_028,Syn33_028,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
444878,10328347,Syn33_029,Syn33_029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
444878,10359324,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Cyanophage Syn33).,other,-,-,-,-,20200516,-
