#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
445685,10329137,SSSM5_229,SSSM5_229,-,-,-,-,tryptophan halogenase,protein-coding,-,-,-,tryptophan halogenase,20200909,-
445685,10329344,SSSM5_018,SSSM5_018,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200909,-
445685,10329345,SSSM5_017,SSSM5_017,-,-,-,-,CP12,protein-coding,-,-,-,CP12,20200909,-
445685,10329346,SSSM5_016,SSSM5_016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329347,SSSM5_015,SSSM5_015,-,-,-,-,lysozyme murein,protein-coding,-,-,-,lysozyme murein,20200909,-
445685,10329348,SSSM5_014,SSSM5_014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329349,gp51,SSSM5_013,-,-,-,-,gp51,protein-coding,-,-,-,gp51,20200909,-
445685,10329350,gp26,SSSM5_012,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200909,-
445685,10329351,SSSM5_011,SSSM5_011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329352,gp4,SSSM5_010,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20200909,-
445685,10329353,gp48,SSSM5_009,-,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20200909,-
445685,10329354,gp53,SSSM5_008,-,-,-,-,base plate wedge component,protein-coding,-,-,-,base plate wedge component,20200909,-
445685,10329355,gp7,SSSM5_007,-,-,-,-,gp7,protein-coding,-,-,-,gp7,20200909,-
445685,10329356,SSSM5_006,SSSM5_006,-,-,-,-,cAMP phosphodiesterase,protein-coding,-,-,-,cAMP phosphodiesterase,20200909,-
445685,10329357,SSSM5_005,SSSM5_005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329358,gp32,SSSM5_004,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20200909,-
445685,10329359,SSSM5_003,SSSM5_003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329360,SSSM5_002,SSSM5_002,-,-,-,-,DUF1825 domain-containing protein,protein-coding,-,-,-,DUF1825 domain-containing protein,20200909,-
445685,10329361,SSSM5_201,SSSM5_201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329362,SSSM5_207,SSSM5_207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329363,SSSM5_021,SSSM5_021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445685,10329364,SSSM5_028,SSSM5_028,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
445685,10329365,SSSM5_029,SSSM5_029,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200909,-
445685,10359330,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Cyanophage 8102-12).,other,-,-,-,-,20200513,-
