#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301648,55810289,HYP68_gp002,HYP68_gp002,SeSz3_2,-,-,-,acyl carrier protein,protein-coding,-,-,-,acyl carrier protein,20210313,-
2301648,55810471,HYP68_gp184,HYP68_gp184,SeSz3_184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301648,55810472,HYP68_gp185,HYP68_gp185,SeSz3_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810473,HYP68_gp186,HYP68_gp186,SeSz3_186,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210424,-
2301648,55810474,HYP68_gp187,HYP68_gp187,SeSz3_187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810475,HYP68_gp188,HYP68_gp188,SeSz3_188,-,-,-,sigma factor for late transcription,protein-coding,-,-,-,sigma factor for late transcription,20201221,-
2301648,55810476,HYP68_gp189,HYP68_gp189,SeSz3_189,-,-,-,ribonuclease HI,protein-coding,-,-,-,ribonuclease HI,20201221,-
2301648,55810477,HYP68_gp190,HYP68_gp190,SeSz3_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810478,HYP68_gp191,HYP68_gp191,SeSz3_191,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2301648,55810479,HYP68_gp192,HYP68_gp192,SeSz3_192,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201221,-
2301648,55810480,HYP68_gp193,HYP68_gp193,SeSz3_193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2301648,55810481,HYP68_gp194,HYP68_gp194,SeSz3_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810482,HYP68_gp195,HYP68_gp195,SeSz3_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301648,55810483,HYP68_gp196,HYP68_gp196,SeSz3_196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810484,HYP68_gp197,HYP68_gp197,SeSz3_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810485,HYP68_gp198,HYP68_gp198,SeSz3_198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810486,HYP68_gp199,HYP68_gp199,SeSz3_199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810487,HYP68_gp200,HYP68_gp200,SeSz3_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810488,HYP68_gp201,HYP68_gp201,SeSz3_201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810489,HYP68_gp202,HYP68_gp202,SeSz3_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810490,HYP68_gp203,HYP68_gp203,SeSz3_203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810491,HYP68_gp204,HYP68_gp204,SeSz3_204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55810492,HYP68_gp001,HYP68_gp001,SeSz3_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2301648,55863535,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Salmonella phage SeSz-3).,other,-,-,-,-,20200909,-
