#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
573,2827931,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene ('Klebsiella aerogenes' (Kruse) Taylor et al. 1956; Bacillus pneumoniae; Bacterium pneumoniae crouposae; Hyalococcus pneumoniae; Klebsiella pneumoniae aerogenes.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210522,-
573,39631508,EI690_RS02145,EI690_RS02145,EI690_02145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39631532,EI690_RS02265,EI690_RS02265,EI690_02265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631536,EI690_RS02285,EI690_RS02285,EI690_02285,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631542,EI690_RS02315,EI690_RS02315,EI690_02315,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631553,EI690_RS02370,EI690_RS02370,EI690_02370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631554,EI690_RS02375,EI690_RS02375,EI690_02375,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631575,EI690_RS02480,EI690_RS02480,EI690_02480,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631737,EI690_RS03290,EI690_RS03290,EI690_03290,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631742,EI690_RS03315,EI690_RS03315,EI690_03315,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
573,39631745,EI690_RS03330,EI690_RS03330,EI690_03330,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631747,EI690_RS03340,EI690_RS03340,EI690_03340,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
573,39631748,EI690_RS03345,EI690_RS03345,EI690_03345,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631749,EI690_RS03350,EI690_RS03350,EI690_03350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631753,EI690_RS03370,EI690_RS03370,EI690_03370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631755,EI690_RS03380,EI690_RS03380,EI690_03380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190815,-
573,39631756,EI690_RS03385,EI690_RS03385,EI690_03385,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631757,EI690_RS03390,EI690_RS03390,EI690_03390,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631758,EI690_RS03395,EI690_RS03395,EI690_03395,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631835,EI690_RS03780,EI690_RS03780,EI690_03780,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
573,39631836,EI690_RS03785,EI690_RS03785,EI690_03785,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631839,EI690_RS03800,EI690_RS03800,EI690_03800,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631842,EI690_RS03815,EI690_RS03815,EI690_03815,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631843,EI690_RS03820,EI690_RS03820,EI690_03820,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631845,EI690_RS03830,EI690_RS03830,EI690_03830,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631847,EI690_RS03840,EI690_RS03840,EI690_03840,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
573,39631852,EI690_RS03865,EI690_RS03865,EI690_03865,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
573,39631854,EI690_RS03875,EI690_RS03875,EI690_03875,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631856,EI690_RS03885,EI690_RS03885,EI690_03885,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631864,EI690_RS03925,EI690_RS03925,EI690_03925,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631865,EI690_RS03930,EI690_RS03930,EI690_03930,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631878,EI690_RS03995,EI690_RS03995,EI690_03995,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631888,EI690_RS04045,EI690_RS04045,EI690_04045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631889,EI690_RS04050,EI690_RS04050,EI690_04050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631890,EI690_RS04055,EI690_RS04055,EI690_04055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631891,EI690_RS04060,EI690_RS04060,EI690_04060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631893,EI690_RS04070,EI690_RS04070,EI690_04070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631894,EI690_RS04075,EI690_RS04075,EI690_04075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631908,EI690_RS04145,EI690_RS04145,EI690_04145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631909,EI690_RS04150,EI690_RS04150,EI690_04150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631965,EJC76_RS00270,EJC76_RS00270,EJC76_00270,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39631967,EJC76_RS00280,EJC76_RS00280,EJC76_00280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632009,EJC76_RS00490,EJC76_RS00490,EJC76_00490,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632097,EJC76_RS00930,EJC76_RS00930,EJC76_00930,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632100,EJC76_RS00945,EJC76_RS00945,EJC76_00945,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632101,EJC76_RS00950,EJC76_RS00950,EJC76_00950,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632102,EJC76_RS00955,EJC76_RS00955,EJC76_00955,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632103,EJC76_RS00960,EJC76_RS00960,EJC76_00960,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632121,EJC76_RS01050,EJC76_RS01050,EJC76_01050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632210,EJC76_RS01495,EJC76_RS01495,EJC76_01495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632239,EJC76_RS01640,EJC76_RS01640,EJC76_01640,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632310,CLQ43_RS27350,CLQ43_RS27350,CLQ43_27365,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39632311,CLQ43_RS27355,CLQ43_RS27355,CLQ43_27370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632316,CLQ43_RS27380,CLQ43_RS27380,CLQ43_27395,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39632317,CLQ43_RS27385,CLQ43_RS27385,CLQ43_27400,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39632473,WN05_RS27865,WN05_RS27865,WN05_27870,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632484,WN05_RS27920,WN05_RS27920,WN05_27925,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632486,WN05_RS27930,WN05_RS27930,WN05_27935,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632505,WN05_RS28025,WN05_RS28025,WN05_28030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632506,WN05_RS28030,WN05_RS28030,WN05_28035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190604,-
573,39632507,WN05_RS28035,WN05_RS28035,WN05_28040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632510,WN05_RS28050,WN05_RS28050,WN05_28055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632511,WN05_RS28055,WN05_RS28055,WN05_28060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190814,-
573,39632836,CLQ43_RS25825,CLQ43_RS25825,CLQ43_25835,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632853,CLQ43_RS25805,CLQ43_RS25805,CLQ43_25815,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632884,CLQ43_RS26025,CLQ43_RS26025,CLQ43_26035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632894,CLQ43_RS26075,CLQ43_RS26075,CLQ43_26085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632911,CLQ43_RS26160,CLQ43_RS26160,CLQ43_26170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39632912,CLQ43_RS26165,CLQ43_RS26165,CLQ43_26175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632928,CLQ43_RS26245,CLQ43_RS26245,CLQ43_26255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632929,CLQ43_RS26250,CLQ43_RS26250,CLQ43_26260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632930,CLQ43_RS26255,CLQ43_RS26255,CLQ43_26265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
573,39632941,CLQ43_RS26310,CLQ43_RS26310,CLQ43_26320,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632947,CLQ43_RS26340,CLQ43_RS26340,CLQ43_26350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
573,39632950,CLQ43_RS26355,CLQ43_RS26355,CLQ43_26365,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632956,CLQ43_RS26385,CLQ43_RS26385,CLQ43_26395,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39632957,CLQ43_RS26390,CLQ43_RS26390,CLQ43_26400,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633021,CLQ43_RS26710,CLQ43_RS26710,CLQ43_26720,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633023,CLQ43_RS26720,CLQ43_RS26720,CLQ43_26730,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633047,CLQ43_RS26845,CLQ43_RS26845,CLQ43_26855,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633048,CLQ43_RS26850,CLQ43_RS26850,CLQ43_26860,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633068,CLQ43_RS26945,CLQ43_RS26945,CLQ43_26960,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633069,CLQ43_RS26950,CLQ43_RS26950,CLQ43_26965,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633074,CLQ43_RS26975,CLQ43_RS26975,CLQ43_26990,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633097,CLQ43_RS27090,CLQ43_RS27090,CLQ43_27105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633153,WN05_RS26875,WN05_RS26875,WN05_26880,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633274,WN05_RS27480,WN05_RS27480,WN05_27485,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190604,-
573,39633293,WN05_RS27575,WN05_RS27575,WN05_27580,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633315,WN05_RS27685,WN05_RS27685,WN05_27690,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
573,39633340,WN05_RS27810,WN05_RS27810,WN05_27815,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633342,WN05_RS27820,WN05_RS27820,WN05_27825,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
573,39633343,WN05_RS27825,WN05_RS27825,WN05_27830,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
573,39633348,CLQ43_RS28145,CLQ43_RS28145,CLQ43_28160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633367,KP980_RS26120,KP980_RS26120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633373,KP980_RS26150,KP980_RS26150,KP980_05138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633383,KP980_RS26200,KP980_RS26200,KP980_05148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
573,39633388,KP980_RS26225,KP980_RS26225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633391,KP980_RS26235,KP980_RS26235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633399,KP980_RS26275,KP980_RS26275,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633401,KP980_RS26285,KP980_RS26285,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633403,KP980_RS26295,KP980_RS26295,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633419,KP980_RS26375,KP980_RS26375,KP980_05173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633420,KP980_RS26380,KP980_RS26380,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633463,KP980_RS26595,KP980_RS26595,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633464,KP980_RS26600,KP980_RS26600,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633466,KP980_RS26610,KP980_RS26610,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633508,KP980_RS26820,KP980_RS26820,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633600,KP980_RS27280,KP980_RS27280,KP980_05329,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633617,KP980_RS27365,KP980_RS27365,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633618,KP980_RS27370,KP980_RS27370,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633625,KP980_RS27405,KP980_RS27405,KP980_05348,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633651,KP980_RS27480,KP980_RS27480,KP980_00007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190525,-
573,39633658,KP980_RS27485,KP980_RS27485,KP980_00009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633659,KP980_RS27595,KP980_RS27595,KP980_00031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633661,KP980_RS27490,KP980_RS27490,KP980_00010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633682,KP980_RS27585,KP980_RS27585,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633746,KP980_RS28090,KP980_RS28090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633786,KP920_RS27495,KP920_RS27495,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633788,KP920_RS27505,KP920_RS27505,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633789,KP920_RS27510,KP920_RS27510,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633820,KP920_RS26460,KP920_RS26460,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633822,KP920_RS26470,KP920_RS26470,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633824,KP920_RS26480,KP920_RS26480,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633832,KP920_RS26520,KP920_RS26520,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633834,KP920_RS26530,KP920_RS26530,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633839,KP920_RS26555,KP920_RS26555,KP920_05153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
573,39633852,KP920_RS26830,KP920_RS26830,KP920_05200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633893,KP920_RS26605,KP920_RS26605,KP920_05163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633899,KP920_RS26635,KP920_RS26635,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633913,KP920_RS26705,KP920_RS26705,KP920_05181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633920,KP920_RS26740,KP920_RS26740,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633921,KP920_RS26745,KP920_RS26745,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633942,KP920_RS26375,KP920_RS26375,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39633943,KP920_RS26380,KP920_RS26380,KP920_05128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634018,KP920_RS27285,KP920_RS27285,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634083,KP920_RS27725,KP920_RS27725,KP920_05455,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634085,KP920_RS27735,KP920_RS27735,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634104,KP920_RS27830,KP920_RS27830,KP920_05476,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634105,KP920_RS27835,KP920_RS27835,KP920_05477,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634106,KP920_RS27840,KP920_RS27840,KP920_05479,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190525,-
573,39634161,KP920_RS28220,KP920_RS28220,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634197,DVJ72_RS27980,DVJ72_RS27980,DVJ72_27985,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634198,DVJ72_RS27985,DVJ72_RS27985,DVJ72_27990,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
573,39634203,DVJ72_RS28010,DVJ72_RS28010,DVJ72_28015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634241,DVJ72_RS27610,DVJ72_RS27610,DVJ72_27615,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634276,DVJ72_RS27785,DVJ72_RS27785,DVJ72_27790,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634277,DVJ72_RS27790,DVJ72_RS27790,DVJ72_27795,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634287,DVJ72_RS27840,DVJ72_RS27840,DVJ72_27845,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634303,DVJ72_RS27920,DVJ72_RS27920,DVJ72_27925,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634315,C6M05_RS30020,C6M05_RS30020,C6M05_30010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634316,C6M05_RS30025,C6M05_RS30025,C6M05_30015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634327,CK244_RS27320,CK244_RS27320,CK244_027320,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39634359,CK244_RS27480,CK244_RS27480,CK244_027480,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190815,-
573,39634416,CK244_RS27660,CK244_RS27660,CK244_027660,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634432,CK244_RS27740,CK244_RS27740,CK244_027740,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634461,CK244_RS27885,CK244_RS27885,CK244_027885,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634462,CK244_RS27890,CK244_RS27890,CK244_027890,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634472,CK244_RS27940,CK244_RS27940,CK244_027940,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634475,CK244_RS27955,CK244_RS27955,CK244_027955,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634526,C3E96_RS27210,C3E96_RS27210,C3E96_027210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634620,C3E96_RS27790,C3E96_RS27790,C3E96_027790,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634623,C3E96_RS27805,C3E96_RS27805,C3E96_027805,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634633,C3E96_RS27855,C3E96_RS27855,C3E96_027855,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634634,C3E96_RS27860,C3E96_RS27860,C3E96_027860,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634664,C3E96_RS28010,C3E96_RS28010,C3E96_028010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634737,EYB55_RS27245,EYB55_RS27245,EYB55_27245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
573,39634739,EYB55_RS27255,EYB55_RS27255,EYB55_27255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39634741,EYB55_RS27265,EYB55_RS27265,EYB55_27265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
573,39634743,EYB55_RS27275,EYB55_RS27275,EYB55_27275,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39634744,EYB55_RS27280,EYB55_RS27280,EYB55_27280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634745,EYB55_RS27285,EYB55_RS27285,EYB55_27285,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634748,EYB55_RS27300,EYB55_RS27300,EYB55_27300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634759,EYB55_RS27355,EYB55_RS27355,EYB55_27355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634762,EYB55_RS27370,EYB55_RS27370,EYB55_27370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634768,EYB55_RS27400,EYB55_RS27400,EYB55_27400,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634770,EYB55_RS27410,EYB55_RS27410,EYB55_27410,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39634774,EYB55_RS27430,EYB55_RS27430,EYB55_27430,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190405,-
573,39634775,EYB55_RS27435,EYB55_RS27435,EYB55_27435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634800,EYB55_RS27560,EYB55_RS27560,EYB55_27560,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634801,EYB55_RS27565,EYB55_RS27565,EYB55_27565,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634808,EYB55_RS27600,EYB55_RS27600,EYB55_27600,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634809,EYB55_RS27605,EYB55_RS27605,EYB55_27605,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634811,EYB55_RS27615,EYB55_RS27615,EYB55_27615,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634812,EYB55_RS27620,EYB55_RS27620,EYB55_27620,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634813,EYB55_RS27625,EYB55_RS27625,EYB55_27625,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634816,EYB55_RS27640,EYB55_RS27640,EYB55_27640,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634817,EYB55_RS27645,EYB55_RS27645,EYB55_27645,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634820,EYB55_RS27660,EYB55_RS27660,EYB55_27660,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634823,EYB55_RS27675,EYB55_RS27675,EYB55_27675,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
573,39634824,EYB55_RS27680,EYB55_RS27680,EYB55_27680,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
573,39634825,EYB55_RS27685,EYB55_RS27685,EYB55_27685,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190429,-
