#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1873954,55630722,HWB01_gp002,HWB01_gp002,E_002,-,-,-,rIIA,protein-coding,-,-,-,rIIA,20200620,-
1873954,55630913,HWB01_gp193,HWB01_gp193,E_194,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20210116,-
1873954,55630914,HWB01_gp194,HWB01_gp194,E_195,-,-,-,head-proximal tip of tail tube,protein-coding,-,-,-,head-proximal tip of tail tube,20210116,-
1873954,55630915,HWB01_gp195,HWB01_gp195,E_196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630916,HWB01_gp196,HWB01_gp196,E_197,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20210327,-
1873954,55630917,HWB01_gp197,HWB01_gp197,E_198,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210424,-
1873954,55630918,HWB01_gp198,HWB01_gp198,E_199,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210116,-
1873954,55630919,HWB01_gp199,HWB01_gp199,E_200,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20210424,-
1873954,55630920,HWB01_gp200,HWB01_gp200,E_201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630921,HWB01_gp201,HWB01_gp201,E_202,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210424,-
1873954,55630922,HWB01_gp202,HWB01_gp202,E_203,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210424,-
1873954,55630923,HWB01_gp203,HWB01_gp203,E_204,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210424,-
1873954,55630924,HWB01_gp204,HWB01_gp204,E_205,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20210327,-
1873954,55630925,HWB01_gp205,HWB01_gp205,E_206,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210424,-
1873954,55630926,HWB01_gp206,HWB01_gp206,E_207,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210327,-
1873954,55630927,HWB01_gp207,HWB01_gp207,E_208,-,-,-,short tail fiber protein,protein-coding,-,-,-,short tail fiber protein,20210424,-
1873954,55630928,HWB01_gp208,HWB01_gp208,E_209,-,-,-,whiskers protein,protein-coding,-,-,-,whiskers protein,20210424,-
1873954,55630929,HWB01_gp209,HWB01_gp209,E_210,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210424,-
1873954,55630930,HWB01_gp210,HWB01_gp210,E_211,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210424,-
1873954,55630931,HWB01_gp211,HWB01_gp211,E_212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630932,HWB01_gp212,HWB01_gp212,E_213,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20210424,-
1873954,55630933,HWB01_gp213,HWB01_gp213,E_214,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20210116,-
1873954,55630934,HWB01_gp214,HWB01_gp214,E_215,-,-,-,"terminase subunit, nuclease and ATPase",protein-coding,-,-,-,"terminase subunit, nuclease and ATPase",20210116,-
1873954,55630935,HWB01_gp215,HWB01_gp215,E_216,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210424,-
1873954,55630936,HWB01_gp216,HWB01_gp216,E_217,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210116,-
1873954,55630937,HWB01_gp217,HWB01_gp217,E_218,-,-,-,portal vertex protein,protein-coding,-,-,-,portal vertex protein,20210424,-
1873954,55630938,HWB01_gp218,HWB01_gp218,E_219,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210406,-
1873954,55630939,HWB01_gp219,HWB01_gp219,E_220,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210327,-
1873954,55630940,HWB01_gp220,HWB01_gp220,E_221,-,-,-,prohead core scaffolding and protease,protein-coding,-,-,-,prohead core scaffolding and protease,20210424,-
1873954,55630941,HWB01_gp221,HWB01_gp221,E_222,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210327,-
1873954,55630942,HWB01_gp222,HWB01_gp222,E_223,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1873954,55630943,HWB01_gp223,HWB01_gp223,E_224,-,-,-,putative Seg-like homing endonuclease,protein-coding,-,-,-,putative Seg-like homing endonuclease,20210424,-
1873954,55630944,HWB01_gp224,HWB01_gp224,E_225,-,-,-,capsid vertex protein,protein-coding,-,-,-,capsid vertex protein,20210424,-
1873954,55630945,HWB01_gp225,HWB01_gp225,E_226,-,-,-,"recombination, repair and ssDNA binding protein",protein-coding,-,-,-,"recombination, repair and ssDNA binding protein",20210424,-
1873954,55630946,HWB01_gp226,HWB01_gp226,E_227,-,-,-,"recombination, repair and ssDNA binding protein",protein-coding,-,-,-,"recombination, repair and ssDNA binding protein",20210327,-
1873954,55630947,HWB01_gp227,HWB01_gp227,E_228,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630948,HWB01_gp228,HWB01_gp228,E_229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1873954,55630949,HWB01_gp229,HWB01_gp229,E_230,-,-,-,RNA and DNA helicase,protein-coding,-,-,-,RNA and DNA helicase,20210424,-
1873954,55630950,HWB01_gp230,HWB01_gp230,E_231,-,-,-,minor capsid protein inhibitor,protein-coding,-,-,-,minor capsid protein inhibitor,20200620,-
1873954,55630951,HWB01_gp231,HWB01_gp231,E_232,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630952,HWB01_gp232,HWB01_gp232,E_233,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1873954,55630953,HWB01_gp233,HWB01_gp233,E_234,-,-,-,large outer capsid protein,protein-coding,-,-,-,large outer capsid protein,20200620,-
1873954,55630954,HWB01_gp234,HWB01_gp234,E_235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630955,HWB01_gp235,HWB01_gp235,E_236,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1873954,55630956,HWB01_gp236,HWB01_gp236,E_237,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1873954,55630957,HWB01_gp237,HWB01_gp237,E_238,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630958,HWB01_gp238,HWB01_gp238,E_239,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630959,HWB01_gp239,HWB01_gp239,E_240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630960,HWB01_gp240,HWB01_gp240,E_241,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630961,HWB01_gp241,HWB01_gp241,E_242,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630962,HWB01_gp242,HWB01_gp242,E_243,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630963,HWB01_gp243,HWB01_gp243,E_244,-,-,-,postulated decoy of host sigma70 or sigmaS,protein-coding,-,-,-,postulated decoy of host sigma70 or sigmaS,20200620,-
1873954,55630964,HWB01_gp244,HWB01_gp244,E_245,-,-,-,RNA ligase 2,protein-coding,-,-,-,RNA ligase 2,20210424,-
1873954,55630965,HWB01_gp245,HWB01_gp245,E_246,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1873954,55630966,HWB01_gp246,HWB01_gp246,E_247,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630967,HWB01_gp247,HWB01_gp247,E_248,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630968,HWB01_gp248,HWB01_gp248,E_249,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630969,HWB01_gp249,HWB01_gp249,E_250,-,-,-,putative nicotinate phosphoribosyltransferase,protein-coding,-,-,-,putative nicotinate phosphoribosyltransferase,20210424,-
1873954,55630970,HWB01_gp250,HWB01_gp250,E_251,-,-,-,putative nicotinate phosphoribosyltransferase,protein-coding,-,-,-,putative nicotinate phosphoribosyltransferase,20210424,-
1873954,55630971,HWB01_gp251,HWB01_gp251,E_252,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630972,HWB01_gp252,HWB01_gp252,E_253,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20210424,-
1873954,55630973,HWB01_gp253,HWB01_gp253,E_254,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210424,-
1873954,55630974,HWB01_gp254,HWB01_gp254,E_255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1873954,55630975,HWB01_gp255,HWB01_gp255,E_256,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630976,HWB01_gp256,HWB01_gp256,E_257,-,-,-,anaerobic ribonucleotide reductase subunit,protein-coding,-,-,-,anaerobic ribonucleotide reductase subunit,20210424,-
1873954,55630977,HWB01_gp257,HWB01_gp257,E_258,-,-,-,putative Seg-like homing endonuclease,protein-coding,-,-,-,putative Seg-like homing endonuclease,20210406,-
1873954,55630978,HWB01_gp258,HWB01_gp258,E_259,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630979,HWB01_gp259,HWB01_gp259,E_260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630980,HWB01_gp260,HWB01_gp260,E_261,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630981,HWB01_gp261,HWB01_gp261,E_262,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630982,HWB01_gp262,HWB01_gp262,E_263,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20210424,-
1873954,55630983,HWB01_gp263,HWB01_gp263,E_264,-,-,-,anaerobic nucleotide reductase subunit,protein-coding,-,-,-,anaerobic nucleotide reductase subunit,20210424,-
1873954,55630984,HWB01_gp264,HWB01_gp264,E_265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630985,HWB01_gp265,HWB01_gp265,E_266,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1873954,55630986,HWB01_gp266,HWB01_gp266,E_267,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630987,HWB01_gp267,HWB01_gp267,E_268,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210129,-
1873954,55630988,HWB01_gp268,HWB01_gp268,E_269,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1873954,55630989,HWB01_gp269,HWB01_gp269,E_270,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630990,HWB01_gp270,HWB01_gp270,E_271,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20210424,-
1873954,55630991,HWB01_gp271,HWB01_gp271,E_272,-,-,-,hinge connector long tail fiber proximal,protein-coding,-,-,-,hinge connector long tail fiber proximal,20210424,-
1873954,55630992,HWB01_gp272,HWB01_gp272,E_273,-,-,-,small distal tail fiber subunit,protein-coding,-,-,-,small distal tail fiber subunit,20210424,-
1873954,55630993,HWB01_gp273,HWB01_gp273,E_274,-,-,-,large distal tail fiber subunit,protein-coding,-,-,-,large distal tail fiber subunit,20210424,-
1873954,55630994,HWB01_gp274,HWB01_gp274,E_275,-,-,-,distal long tail fiber assembly catalyst,protein-coding,-,-,-,distal long tail fiber assembly catalyst,20210424,-
1873954,55630995,HWB01_gp275,HWB01_gp275,E_276,-,-,-,holin lysis mediator,protein-coding,-,-,-,holin lysis mediator,20210424,-
1873954,55630996,HWB01_gp276,HWB01_gp276,E_277,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630997,HWB01_gp277,HWB01_gp277,E_278,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55630998,HWB01_gp278,HWB01_gp278,E_279,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1873954,55630999,HWB01_gp279,HWB01_gp279,E_280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55631000,HWB01_gp280,HWB01_gp280,E_281,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55631001,HWB01_gp281,HWB01_gp281,E_282,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55631002,HWB01_gp282,HWB01_gp282,E_283,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55631003,HWB01_gp283,HWB01_gp283,E_284,-,-,-,nuclear disruption protein,protein-coding,-,-,-,nuclear disruption protein,20210116,-
1873954,55631004,HWB01_gp284,HWB01_gp284,E_285,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873954,55631005,HWB01_gp001,HWB01_gp001,E_001,-,-,-,rIIB,protein-coding,-,-,-,rIIB,20200620,-
1873954,55635657,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
