#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591223,64766926,2,KHQ87_gp002,SEA_PHRAPPUCCINO_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210509,-
2591223,64767100,179,KHQ87_gp179,SEA_PHRAPPUCCINO_179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767101,180,KHQ87_gp180,SEA_PHRAPPUCCINO_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767102,181,KHQ87_gp181,SEA_PHRAPPUCCINO_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767103,182,KHQ87_gp182,SEA_PHRAPPUCCINO_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767104,183,KHQ87_gp183,SEA_PHRAPPUCCINO_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767105,184,KHQ87_gp184,SEA_PHRAPPUCCINO_184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767106,185,KHQ87_gp185,SEA_PHRAPPUCCINO_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767107,186,KHQ87_gp186,SEA_PHRAPPUCCINO_186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767108,187,KHQ87_gp187,SEA_PHRAPPUCCINO_187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767109,188,KHQ87_gp188,SEA_PHRAPPUCCINO_188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767110,189,KHQ87_gp189,SEA_PHRAPPUCCINO_189,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767111,190,KHQ87_gp190,SEA_PHRAPPUCCINO_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767112,191,KHQ87_gp191,SEA_PHRAPPUCCINO_191,-,-,-,glycohydrolase,protein-coding,-,-,-,glycohydrolase,20210509,-
2591223,64767113,192,KHQ87_gp192,SEA_PHRAPPUCCINO_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767114,193,KHQ87_gp193,SEA_PHRAPPUCCINO_193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767115,194,KHQ87_gp194,SEA_PHRAPPUCCINO_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767116,195,KHQ87_gp195,SEA_PHRAPPUCCINO_195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767117,196,KHQ87_gp196,SEA_PHRAPPUCCINO_196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767118,197,KHQ87_gp197,SEA_PHRAPPUCCINO_197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767119,198,KHQ87_gp198,SEA_PHRAPPUCCINO_198,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767120,199,KHQ87_gp199,SEA_PHRAPPUCCINO_199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767121,200,KHQ87_gp200,SEA_PHRAPPUCCINO_200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767122,201,KHQ87_gp201,SEA_PHRAPPUCCINO_201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767123,48,KHQ87_gp048,SEA_PHRAPPUCCINO_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767124,41,KHQ87_gp041,SEA_PHRAPPUCCINO_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767125,44,KHQ87_gp044,SEA_PHRAPPUCCINO_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210509,-
2591223,64767126,1,KHQ87_gp001,SEA_PHRAPPUCCINO_1,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210509,-
2591223,64792246,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210510,-
