#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2315700,65116116,KNU12_gp002,KNU12_gp002,-,-,-,-,L-shaped tail fiber protein,protein-coding,-,-,-,L-shaped tail fiber protein,20210607,-
2315700,65116307,KNU12_gp193,KNU12_gp193,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210607,-
2315700,65116308,KNU12_gp194,KNU12_gp194,-,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20210609,-
2315700,65116309,KNU12_gp195,KNU12_gp195,-,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20210607,-
2315700,65116310,KNU12_gp196,KNU12_gp196,-,-,-,-,replication factor C small subunit / DNA polymerase clamp loader subunit,protein-coding,-,-,-,replication factor C small subunit / DNA polymerase clamp loader subunit,20210607,-
2315700,65116311,KNU12_gp197,KNU12_gp197,-,-,-,-,DNA polymerase clamp loader subunit,protein-coding,-,-,-,DNA polymerase clamp loader subunit,20210607,-
2315700,65116312,KNU12_gp198,KNU12_gp198,-,-,-,-,endoribonuclease translational repressor of early genes,protein-coding,-,-,-,endoribonuclease translational repressor of early genes,20210607,-
2315700,65116313,KNU12_gp199,KNU12_gp199,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210607,-
2315700,65116314,KNU12_gp200,KNU12_gp200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116315,KNU12_gp201,KNU12_gp201,-,-,-,-,superinfection immunity protein,protein-coding,-,-,-,superinfection immunity protein,20210607,-
2315700,65116316,KNU12_gp202,KNU12_gp202,-,-,-,-,deoxycytidylate 5-hydroxymethyltransferase,protein-coding,-,-,-,deoxycytidylate 5-hydroxymethyltransferase,20210607,-
2315700,65116317,KNU12_gp203,KNU12_gp203,-,-,-,-,glucosyltransferase,protein-coding,-,-,-,glucosyltransferase,20210607,-
2315700,65116318,KNU12_gp204,KNU12_gp204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116319,KNU12_gp205,KNU12_gp205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116320,KNU12_gp206,KNU12_gp206,-,-,-,-,recombination protein,protein-coding,-,-,-,recombination protein,20210607,-
2315700,65116321,KNU12_gp207,KNU12_gp207,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210607,-
2315700,65116322,KNU12_gp208,KNU12_gp208,-,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210607,-
2315700,65116323,KNU12_gp209,KNU12_gp209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116324,KNU12_gp210,KNU12_gp210,-,-,-,-,spackle periplasmic protein,protein-coding,-,-,-,spackle periplasmic protein,20210607,-
2315700,65116325,KNU12_gp211,KNU12_gp211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116326,KNU12_gp212,KNU12_gp212,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2315700,65116327,KNU12_gp213,KNU12_gp213,-,-,-,-,DNA primase / DNA helicase,protein-coding,-,-,-,DNA primase / DNA helicase,20210607,-
2315700,65116328,KNU12_gp214,KNU12_gp214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116329,KNU12_gp215,KNU12_gp215,-,-,-,-,dCTP pyrophosphatase,protein-coding,-,-,-,dCTP pyrophosphatase,20210607,-
2315700,65116330,KNU12_gp216,KNU12_gp216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116331,KNU12_gp217,KNU12_gp217,-,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210607,-
2315700,65116332,KNU12_gp218,KNU12_gp218,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116333,KNU12_gp219,KNU12_gp219,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116334,KNU12_gp220,KNU12_gp220,-,-,-,-,molybdenum ABC transporter,protein-coding,-,-,-,molybdenum ABC transporter,20210607,-
2315700,65116335,KNU12_gp221,KNU12_gp221,-,-,-,-,NAD-protein ADP-ribosyltransferase,protein-coding,-,-,-,NAD-protein ADP-ribosyltransferase,20210607,-
2315700,65116336,KNU12_gp222,KNU12_gp222,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116337,KNU12_gp223,KNU12_gp223,-,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210607,-
2315700,65116338,KNU12_gp224,KNU12_gp224,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116339,KNU12_gp225,KNU12_gp225,-,-,-,-,exonuclease A,protein-coding,-,-,-,exonuclease A,20210607,-
2315700,65116340,KNU12_gp226,KNU12_gp226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116341,KNU12_gp227,KNU12_gp227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116342,KNU12_gp228,KNU12_gp228,-,-,-,-,cytochrome C biogenesis protein/cef modifier of suppressor tRNAs,protein-coding,-,-,-,cytochrome C biogenesis protein/cef modifier of suppressor tRNAs,20210607,-
2315700,65116343,KNU12_gp229,KNU12_gp229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116344,KNU12_gp230,KNU12_gp230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116345,KNU12_gp231,KNU12_gp231,-,-,-,-,"regulatory protein, FmdB family",protein-coding,-,-,-,"regulatory protein, FmdB family",20210607,-
2315700,65116346,KNU12_gp232,KNU12_gp232,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116347,KNU12_gp233,KNU12_gp233,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116348,KNU12_gp234,KNU12_gp234,-,-,-,-,DNA topoisomerase large subunit,protein-coding,-,-,-,DNA topoisomerase large subunit,20210607,-
2315700,65116349,KNU12_gp235,KNU12_gp235,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116350,KNU12_gp236,KNU12_gp236,-,-,-,-,rIIA lysis inhibitor,protein-coding,-,-,-,rIIA lysis inhibitor,20210607,-
2315700,65116351,KNU12_gp237,KNU12_gp237,-,-,-,-,rIIA lysis inhibitor,protein-coding,-,-,-,rIIA lysis inhibitor,20210607,-
2315700,65116352,KNU12_gp238,KNU12_gp238,-,-,-,-,lysis inhibitor,protein-coding,-,-,-,lysis inhibitor,20210607,-
2315700,65116353,KNU12_gp239,KNU12_gp239,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116354,KNU12_gp240,KNU12_gp240,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210607,-
2315700,65116355,KNU12_gp241,KNU12_gp241,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116356,KNU12_gp242,KNU12_gp242,-,-,-,-,modification methylase,protein-coding,-,-,-,modification methylase,20210607,-
2315700,65116357,KNU12_gp243,KNU12_gp243,-,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20210607,-
2315700,65116358,KNU12_gp244,KNU12_gp244,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116359,KNU12_gp245,KNU12_gp245,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116360,KNU12_gp246,KNU12_gp246,-,-,-,-,"naphthalene 1,2-dioxygenase/nucleoid disruption protein",protein-coding,-,-,-,"naphthalene 1,2-dioxygenase/nucleoid disruption protein",20210607,-
2315700,65116361,KNU12_gp247,KNU12_gp247,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116362,KNU12_gp248,KNU12_gp248,-,-,-,-,acridine resistance protein,protein-coding,-,-,-,acridine resistance protein,20210607,-
2315700,65116363,KNU12_gp249,KNU12_gp249,-,-,-,-,DNA topoisomerase,protein-coding,-,-,-,DNA topoisomerase,20210607,-
2315700,65116364,KNU12_gp250,KNU12_gp250,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116365,KNU12_gp251,KNU12_gp251,-,-,-,-,transcriptional regulator of middle promoters,protein-coding,-,-,-,transcriptional regulator of middle promoters,20210607,-
2315700,65116366,KNU12_gp252,KNU12_gp252,-,-,-,-,anti-restriction nuclease,protein-coding,-,-,-,anti-restriction nuclease,20210607,-
2315700,65116367,KNU12_gp253,KNU12_gp253,-,-,-,-,anti-restriction nuclease,protein-coding,-,-,-,anti-restriction nuclease,20210607,-
2315700,65116368,KNU12_gp254,KNU12_gp254,-,-,-,-,anti-restriction nuclease,protein-coding,-,-,-,anti-restriction nuclease,20210607,-
2315700,65116369,KNU12_gp255,KNU12_gp255,-,-,-,-,anti-restriction nuclease,protein-coding,-,-,-,anti-restriction nuclease,20210607,-
2315700,65116370,KNU12_gp256,KNU12_gp256,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116371,KNU12_gp257,KNU12_gp257,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116372,KNU12_gp258,KNU12_gp258,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116373,KNU12_gp259,KNU12_gp259,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65116374,KNU12_gp260,KNU12_gp260,-,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20210607,-
2315700,65116375,KNU12_gp001,KNU12_gp001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2315700,65242925,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
