#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1340713,16547322,2,N857_gp002,PBI_WANDA_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1340713,19813977,199,N857_gp223,PBI_WANDA_199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813978,200,N857_gp222,PBI_WANDA_200,-,-,-,Ku-like dsDNA break-binding protein,protein-coding,-,-,-,Ku-like dsDNA break-binding protein,20200927,-
1340713,19813979,201,N857_gp221,PBI_WANDA_201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813980,202,N857_gp220,PBI_WANDA_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813981,203,N857_gp219,PBI_WANDA_203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813982,204,N857_gp218,PBI_WANDA_204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813983,205,N857_gp217,PBI_WANDA_205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813984,206,N857_gp216,PBI_WANDA_206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813985,207,N857_gp215,PBI_WANDA_207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813986,208,N857_gp214,PBI_WANDA_208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813987,209,N857_gp213,PBI_WANDA_209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813988,210,N857_gp212,PBI_WANDA_210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813989,211,N857_gp211,PBI_WANDA_211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813990,212,N857_gp210,PBI_WANDA_212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813991,213,N857_gp209,PBI_WANDA_213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813992,214,N857_gp208,PBI_WANDA_214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813993,215,N857_gp207,PBI_WANDA_215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813994,216,N857_gp206,PBI_WANDA_216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813995,217,N857_gp205,PBI_WANDA_217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813996,218,N857_gp204,PBI_WANDA_218,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813997,219,N857_gp203,PBI_WANDA_219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813998,220,N857_gp202,PBI_WANDA_220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19813999,221,N857_gp201,PBI_WANDA_221,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19814000,222,N857_gp200,PBI_WANDA_222,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19814001,223,N857_gp199,PBI_WANDA_223,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19814002,224,N857_gp198,PBI_WANDA_224,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19814003,225,N857_gp197,PBI_WANDA_225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19814004,226,N857_gp196,PBI_WANDA_226,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19814005,227,N857_gp195,PBI_WANDA_227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19814006,228,N857_gp194,PBI_WANDA_228,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19814007,229,N857_gp193,PBI_WANDA_229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19814008,230,N857_gp192,PBI_WANDA_230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19814009,231,N857_gp191,PBI_WANDA_231,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19814010,232,N857_gp190,PBI_WANDA_232,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19814011,233,N857_gp189,PBI_WANDA_233,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19814012,234,N857_gp188,PBI_WANDA_234,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19814013,235,N857_gp187,PBI_WANDA_235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19814014,236,N857_gp186,PBI_WANDA_236,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19814015,237,N857_gp185,PBI_WANDA_237,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19814016,238,N857_gp184,PBI_WANDA_238,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19814017,239,N857_gp183,PBI_WANDA_239,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19814018,240,N857_gp182,PBI_WANDA_240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1340713,19814019,241,N857_gp181,PBI_WANDA_241,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
