#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
197,3979052,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Campylobacter fetus subsp. jejuni; Vibrio hepaticus; Vibrio jejuni.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210213,-
197,42590105,F4V24_RS09260,F4V24_RS09260,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20191206,-
197,42590106,F4V24_RS09255,F4V24_RS09255,-,-,-,-,-,pseudo,-,-,-,-,20191203,-
197,42590107,F4V24_RS09455,F4V24_RS09455,-,-,-,-,FHA domain-containing protein,protein-coding,-,-,-,FHA domain-containing protein,20210123,-
197,42590108,F4V24_RS09570,F4V24_RS09570,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590109,F4V24_RS09285,F4V24_RS09285,-,-,-,-,WGR domain-containing protein,protein-coding,-,-,-,WGR domain-containing protein,20210129,-
197,42590110,F4V24_RS09545,F4V24_RS09545,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590111,F4V24_RS09505,F4V24_RS09505,-,-,-,-,-,pseudo,-,-,-,-,20191203,-
197,42590112,F4V24_RS09625,F4V24_RS09625,-,-,-,-,cell filamentation protein Fic,protein-coding,-,-,-,cell filamentation protein Fic,20191203,-
197,42590113,F4V24_RS09350,F4V24_RS09350,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42590114,F4V24_RS09600,F4V24_RS09600,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590115,F4V24_RS09585,F4V24_RS09585,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42590116,F4V24_RS09370,F4V24_RS09370,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590117,F4V24_RS09595,F4V24_RS09595,-,-,-,-,-,pseudo,-,-,-,-,20191203,-
197,42590118,F4V24_RS09510,F4V24_RS09510,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590119,F4V24_RS09495,F4V24_RS09495,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590120,F4V24_RS09485,F4V24_RS09485,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590121,F4V24_RS09475,F4V24_RS09475,-,-,-,-,glycoside hydrolase family protein,protein-coding,-,-,-,glycoside hydrolase family protein,20191203,-
197,42590122,F4V24_RS09465,F4V24_RS09465,-,-,-,-,-,pseudo,-,-,-,-,20191203,-
197,42590123,F4V24_RS09605,F4V24_RS09605,-,-,-,-,type II toxin-antitoxin system YafQ family toxin,protein-coding,-,-,-,type II toxin-antitoxin system YafQ family toxin,20210123,-
197,42590124,tssB,F4V24_RS09420,-,-,-,-,-,pseudo,-,-,-,-,20191203,-
197,42590125,F4V24_RS09540,F4V24_RS09540,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
197,42590126,F4V24_RS09525,F4V24_RS09525,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590127,F4V24_RS09620,F4V24_RS09620,-,-,-,-,type II toxin-antitoxin system HicA family toxin,protein-coding,-,-,-,type II toxin-antitoxin system HicA family toxin,20210123,-
197,42590128,tssM,F4V24_RS09450,-,-,-,-,type VI secretion system membrane subunit TssM,protein-coding,-,-,-,type VI secretion system membrane subunit TssM,20200905,-
197,42590129,F4V24_RS09555,F4V24_RS09555,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42590130,tssG,F4V24_RS09400,-,-,-,-,type VI secretion system baseplate subunit TssG,protein-coding,-,-,-,type VI secretion system baseplate subunit TssG,20210424,-
197,42590131,tssE,F4V24_RS09410,-,-,-,-,type VI secretion system baseplate subunit TssE,protein-coding,-,-,-,type VI secretion system baseplate subunit TssE,20210320,-
197,42590132,F4V24_RS09250,F4V24_RS09250,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590133,tssK,F4V24_RS09435,-,-,-,-,-,pseudo,-,-,-,-,20191203,-
197,42590134,F4V24_RS09240,F4V24_RS09240,-,-,-,-,DUF3825 domain-containing protein,protein-coding,-,-,-,DUF3825 domain-containing protein,20210406,-
197,42590135,F4V24_RS09290,F4V24_RS09290,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590136,F4V24_RS09295,F4V24_RS09295,-,-,-,-,tyrosine-type recombinase/integrase,protein-coding,-,-,-,tyrosine-type recombinase/integrase,20191203,-
197,42590137,F4V24_RS09270,F4V24_RS09270,-,-,-,-,-,pseudo,-,-,-,-,20191203,-
197,42590138,F4V24_RS09265,F4V24_RS09265,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
197,42590139,F4V24_RS09300,F4V24_RS09300,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191203,-
197,42590140,F4V24_RS09245,F4V24_RS09245,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20191206,-
