#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2321390,65066016,KMC36_gp002,KMC36_gp002,PYPS2T_002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2321390,65066187,KMC36_gp173,KMC36_gp173,PYPS2T_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2321390,65066188,KMC36_gp174,KMC36_gp174,PYPS2T_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066189,KMC36_gp175,KMC36_gp175,PYPS2T_175,-,-,-,RNA polymerase sigma factor for late transcription,protein-coding,-,-,-,RNA polymerase sigma factor for late transcription,20210609,-
2321390,65066190,KMC36_gp176,KMC36_gp176,PYPS2T_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066191,KMC36_gp177,KMC36_gp177,PYPS2T_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066192,KMC36_gp178,KMC36_gp178,PYPS2T_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2321390,65066193,KMC36_gp179,KMC36_gp179,PYPS2T_179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066194,KMC36_gp180,KMC36_gp180,PYPS2T_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066195,KMC36_gp181,KMC36_gp181,PYPS2T_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066196,KMC36_gp182,KMC36_gp182,PYPS2T_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066197,KMC36_gp183,KMC36_gp183,PYPS2T_183,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210607,-
2321390,65066198,KMC36_gp184,KMC36_gp184,PYPS2T_184,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210607,-
2321390,65066199,KMC36_gp185,KMC36_gp185,PYPS2T_185,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210607,-
2321390,65066200,KMC36_gp186,KMC36_gp186,PYPS2T_186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066201,KMC36_gp187,KMC36_gp187,PYPS2T_187,-,-,-,"ribonucleotide reductase of class III (anaerobic), activating protein",protein-coding,-,-,-,"ribonucleotide reductase of class III (anaerobic), activating protein",20210607,-
2321390,65066202,KMC36_gp188,KMC36_gp188,PYPS2T_188,-,-,-,"ribonucleotide reductase of class III (anaerobic), large subunit",protein-coding,-,-,-,"ribonucleotide reductase of class III (anaerobic), large subunit",20210607,-
2321390,65066203,KMC36_gp189,KMC36_gp189,PYPS2T_189,-,-,-,packaging and recombination endonuclease VII,protein-coding,-,-,-,packaging and recombination endonuclease VII,20210607,-
2321390,65066204,KMC36_gp190,KMC36_gp190,PYPS2T_190,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066205,KMC36_gp191,KMC36_gp191,PYPS2T_191,-,-,-,protease inhibitor,protein-coding,-,-,-,protease inhibitor,20210607,-
2321390,65066206,KMC36_gp192,KMC36_gp192,PYPS2T_192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066207,KMC36_gp193,KMC36_gp193,PYPS2T_193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066208,KMC36_gp194,KMC36_gp194,PYPS2T_194,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2321390,65066209,KMC36_gp195,KMC36_gp195,PYPS2T_195,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2321390,65066210,KMC36_gp196,KMC36_gp196,PYPS2T_196,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2321390,65066211,KMC36_gp197,KMC36_gp197,PYPS2T_197,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2321390,65066212,KMC36_gp198,KMC36_gp198,PYPS2T_198,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2321390,65066213,KMC36_gp199,KMC36_gp199,PYPS2T_199,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2321390,65066214,KMC36_gp200,KMC36_gp200,PYPS2T_200,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2321390,65066215,KMC36_gp201,KMC36_gp201,PYPS2T_201,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2321390,65066216,KMC36_gp202,KMC36_gp202,PYPS2T_202,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2321390,65066217,KMC36_gp203,KMC36_gp203,PYPS2T_203,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2321390,65066218,KMC36_gp204,KMC36_gp204,PYPS2T_204,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2321390,65066219,KMC36_gp205,KMC36_gp205,PYPS2T_205,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210607,-
2321390,65066220,KMC36_gp206,KMC36_gp206,PYPS2T_206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066221,KMC36_gp207,KMC36_gp207,PYPS2T_207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066222,KMC36_gp208,KMC36_gp208,PYPS2T_208,-,-,-,molybdopterin-guanine dinucleotide biosynthesis protein,protein-coding,-,-,-,molybdopterin-guanine dinucleotide biosynthesis protein,20210607,-
2321390,65066223,KMC36_gp209,KMC36_gp209,PYPS2T_209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066224,KMC36_gp210,KMC36_gp210,PYPS2T_210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066225,KMC36_gp211,KMC36_gp211,PYPS2T_211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066226,KMC36_gp212,KMC36_gp212,PYPS2T_212,-,-,-,molybdopterin-guanine dinucleotide biosynthesis protein,protein-coding,-,-,-,molybdopterin-guanine dinucleotide biosynthesis protein,20210607,-
2321390,65066227,KMC36_gp213,KMC36_gp213,PYPS2T_213,-,-,-,molybdopterin-guanine dinucleotide biosynthesis protein,protein-coding,-,-,-,molybdopterin-guanine dinucleotide biosynthesis protein,20210607,-
2321390,65066228,KMC36_gp214,KMC36_gp214,PYPS2T_214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066229,KMC36_gp215,KMC36_gp215,PYPS2T_215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066230,KMC36_gp216,KMC36_gp216,PYPS2T_216,-,-,-,antiholin,protein-coding,-,-,-,antiholin,20210607,-
2321390,65066231,KMC36_gp217,KMC36_gp217,PYPS2T_217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066232,KMC36_gp218,KMC36_gp218,PYPS2T_218,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210607,-
2321390,65066233,KMC36_gp219,KMC36_gp219,PYPS2T_219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066234,KMC36_gp220,KMC36_gp220,PYPS2T_220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066235,KMC36_gp221,KMC36_gp221,PYPS2T_221,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066236,KMC36_gp222,KMC36_gp222,PYPS2T_222,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210607,-
2321390,65066237,KMC36_gp223,KMC36_gp223,PYPS2T_223,-,-,-,ADP-ribose binding module protein,protein-coding,-,-,-,ADP-ribose binding module protein,20210612,-
2321390,65066238,KMC36_gp224,KMC36_gp224,PYPS2T_224,-,-,-,valyl-tRNA synthetase,protein-coding,-,-,-,valyl-tRNA synthetase,20210607,-
2321390,65066239,KMC36_gp225,KMC36_gp225,PYPS2T_225,-,-,-,endoribonuclease,protein-coding,-,-,-,endoribonuclease,20210607,-
2321390,65066240,KMC36_gp226,KMC36_gp226,PYPS2T_226,-,-,-,endoribonuclease,protein-coding,-,-,-,endoribonuclease,20210607,-
2321390,65066241,KMC36_gp227,KMC36_gp227,PYPS2T_227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066242,KMC36_gp228,KMC36_gp228,PYPS2T_228,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066243,KMC36_gp229,KMC36_gp229,PYPS2T_229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066244,KMC36_gp230,KMC36_gp230,PYPS2T_230,-,-,-,pyruvate formate-lyase,protein-coding,-,-,-,pyruvate formate-lyase,20210607,-
2321390,65066245,KMC36_gp231,KMC36_gp231,PYPS2T_231,-,-,-,endoribonuclease,protein-coding,-,-,-,endoribonuclease,20210607,-
2321390,65066246,KMC36_gp232,KMC36_gp232,PYPS2T_232,-,-,-,endoribonuclease,protein-coding,-,-,-,endoribonuclease,20210607,-
2321390,65066247,KMC36_gp233,KMC36_gp233,PYPS2T_233,-,-,-,endoribonuclease,protein-coding,-,-,-,endoribonuclease,20210607,-
2321390,65066248,KMC36_gp234,KMC36_gp234,PYPS2T_234,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20210607,-
2321390,65066249,KMC36_gp235,KMC36_gp235,PYPS2T_235,-,-,-,nudix hydrolase,protein-coding,-,-,-,nudix hydrolase,20210609,-
2321390,65066250,KMC36_gp236,KMC36_gp236,PYPS2T_236,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066251,KMC36_gp237,KMC36_gp237,PYPS2T_237,-,-,-,sulfurtransferase,protein-coding,-,-,-,sulfurtransferase,20210607,-
2321390,65066252,KMC36_gp238,KMC36_gp238,PYPS2T_238,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066253,KMC36_gp239,KMC36_gp239,PYPS2T_239,-,-,-,host specificity protein,protein-coding,-,-,-,host specificity protein,20210607,-
2321390,65066254,KMC36_gp240,KMC36_gp240,PYPS2T_240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066255,KMC36_gp241,KMC36_gp241,PYPS2T_241,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066256,KMC36_gp242,KMC36_gp242,PYPS2T_242,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066257,KMC36_gt001,KMC36_gt001,tRNA-001,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2321390,65066258,KMC36_gp268,KMC36_gp268,PYPS2T_244,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066259,KMC36_gp267,KMC36_gp267,PYPS2T_245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066260,KMC36_gp266,KMC36_gp266,PYPS2T_246,-,-,-,internal (core) protein,protein-coding,-,-,-,internal (core) protein,20210607,-
2321390,65066261,KMC36_gp265,KMC36_gp265,PYPS2T_247,-,-,-,internal (core) protein,protein-coding,-,-,-,internal (core) protein,20210607,-
2321390,65066262,KMC36_gp264,KMC36_gp264,PYPS2T_248,-,-,-,RNA ligase/cyclic nucleotide phosphodiesterase,protein-coding,-,-,-,RNA ligase/cyclic nucleotide phosphodiesterase,20210607,-
2321390,65066263,KMC36_gp263,KMC36_gp263,PYPS2T_249,-,-,-,tail fiber assembly protein,protein-coding,-,-,-,tail fiber assembly protein,20210609,-
2321390,65066264,KMC36_gp262,KMC36_gp262,PYPS2T_250,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20210607,-
2321390,65066265,KMC36_gp261,KMC36_gp261,PYPS2T_251,-,-,-,tail completion protein,protein-coding,-,-,-,tail completion protein,20210607,-
2321390,65066266,KMC36_gp260,KMC36_gp260,PYPS2T_252,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20210612,-
2321390,65066267,KMC36_gp259,KMC36_gp259,PYPS2T_253,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210609,-
2321390,65066268,KMC36_gp258,KMC36_gp258,PYPS2T_254,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210609,-
2321390,65066269,KMC36_gp257,KMC36_gp257,PYPS2T_255,-,-,-,baseplate hub structural protein,protein-coding,-,-,-,baseplate hub structural protein,20210607,-
2321390,65066270,KMC36_gp256,KMC36_gp256,PYPS2T_256,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210607,-
2321390,65066271,KMC36_gp255,KMC36_gp255,PYPS2T_257,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066272,KMC36_gp254,KMC36_gp254,PYPS2T_258,-,-,-,phospholipase,protein-coding,-,-,-,phospholipase,20210612,-
2321390,65066273,KMC36_gp253,KMC36_gp253,PYPS2T_259,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2321390,65066274,KMC36_gp252,KMC36_gp252,PYPS2T_260,-,-,-,baseplate wedge initiator protein,protein-coding,-,-,-,baseplate wedge initiator protein,20210607,-
2321390,65066275,KMC36_gp251,KMC36_gp251,PYPS2T_261,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210607,-
2321390,65066276,KMC36_gp250,KMC36_gp250,PYPS2T_262,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066277,KMC36_gp249,KMC36_gp249,PYPS2T_263,-,-,-,baseplate wedge tail fiber connector protein,protein-coding,-,-,-,baseplate wedge tail fiber connector protein,20210607,-
2321390,65066278,KMC36_gp248,KMC36_gp248,PYPS2T_264,-,-,-,baseplate wedge subunit and tail pin protein,protein-coding,-,-,-,baseplate wedge subunit and tail pin protein,20210607,-
2321390,65066279,KMC36_gp247,KMC36_gp247,PYPS2T_265,-,-,-,straight tail fiber (short tail fiber) protein,protein-coding,-,-,-,straight tail fiber (short tail fiber) protein,20210607,-
2321390,65066280,KMC36_gp246,KMC36_gp246,PYPS2T_266,-,-,-,fibritin protein,protein-coding,-,-,-,fibritin protein,20210607,-
2321390,65066281,KMC36_gp245,KMC36_gp245,PYPS2T_267,-,-,-,neck/collar protein,protein-coding,-,-,-,neck/collar protein,20210607,-
2321390,65066282,KMC36_gp244,KMC36_gp244,PYPS2T_268,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210607,-
2321390,65066283,KMC36_gp243,KMC36_gp243,PYPS2T_269,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20210607,-
2321390,65066284,KMC36_gt002,KMC36_gt002,tRNA-002,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2321390,65066285,KMC36_gt003,KMC36_gt003,tRNA-003,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2321390,65066286,KMC36_gt004,KMC36_gt004,tRNA-004,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2321390,65066287,KMC36_gt005,KMC36_gt005,tRNA-005,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2321390,65066288,KMC36_gt006,KMC36_gt006,tRNA-006,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2321390,65066289,KMC36_gt007,KMC36_gt007,tRNA-007,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2321390,65066290,KMC36_gt008,KMC36_gt008,tRNA-008,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2321390,65066291,KMC36_gt009,KMC36_gt009,tRNA-009,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2321390,65066292,KMC36_gt010,KMC36_gt010,tRNA-010,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2321390,65066293,KMC36_gp269,KMC36_gp269,PYPS2T_243,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2321390,65066294,KMC36_gp001,KMC36_gp001,PYPS2T_001,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
2321390,65242931,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
