#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1508678,40068213,FDG79_gp002,FDG79_gp002,ECTP3_00160,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
1508678,40068391,FDG79_gp195,FDG79_gp195,ECTP3_00338,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068392,FDG79_gp194,FDG79_gp194,ECTP3_00339,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068393,FDG79_gp193,FDG79_gp193,ECTP3_00340,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068394,FDG79_gp192,FDG79_gp192,ECTP3_00341,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068395,FDG79_gp191,FDG79_gp191,ECTP3_00342,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068396,FDG79_gp190,FDG79_gp190,ECTP3_00343,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068397,FDG79_gp189,FDG79_gp189,ECTP3_00344,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068398,FDG79_gp188,FDG79_gp188,ECTP3_00345,-,-,-,calcineurin-like phosphoesterase superfamily domain protein,protein-coding,-,-,-,calcineurin-like phosphoesterase superfamily domain protein,20200629,-
1508678,40068399,FDG79_gp187,FDG79_gp187,ECTP3_00346,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068400,FDG79_gp186,FDG79_gp186,ECTP3_00347,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068401,FDG79_gp185,FDG79_gp185,ECTP3_00348,-,-,-,chromosome segregation protein,protein-coding,-,-,-,chromosome segregation protein,20200629,-
1508678,40068402,FDG79_gp184,FDG79_gp184,ECTP3_00349,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068403,FDG79_gp183,FDG79_gp183,ECTP3_00350,-,-,-,RNA polymerase binding RpbA,protein-coding,-,-,-,RNA polymerase binding RpbA,20200629,-
1508678,40068404,FDG79_gp182,FDG79_gp182,ECTP3_00351,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068405,FDG79_gp181,FDG79_gp181,ECTP3_00352,-,-,-,replication factor C small subunit,protein-coding,-,-,-,replication factor C small subunit,20200629,-
1508678,40068406,FDG79_gp180,FDG79_gp180,ECTP3_00353,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068407,FDG79_gp179,FDG79_gp179,ECTP3_00354,-,-,-,translational regulator,protein-coding,-,-,-,translational regulator,20200629,-
1508678,40068408,polB,FDG79_gp178,ECTP3_00355,-,-,-,DNA polymerase II,protein-coding,-,-,-,DNA polymerase II,20200629,-
1508678,40068409,kpsF,FDG79_gp177,ECTP3_00356,-,-,-,arabinose 5-phosphate isomerase KpsF,protein-coding,-,-,-,arabinose 5-phosphate isomerase KpsF,20200926,-
1508678,40068410,FDG79_gp176,FDG79_gp176,ECTP3_00357,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068411,glmU,FDG79_gp175,ECTP3_00358,-,-,-,bifunctional protein GlmU,protein-coding,-,-,-,bifunctional protein GlmU,20200629,-
1508678,40068412,FDG79_gp174,FDG79_gp174,ECTP3_00359,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068413,FDG79_gp173,FDG79_gp173,ECTP3_00360,-,-,-,peptidase family U32 protein,protein-coding,-,-,-,peptidase family U32 protein,20200629,-
1508678,40068414,FDG79_gp172,FDG79_gp172,ECTP3_00361,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068415,thyA,FDG79_gp171,ECTP3_00362,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210116,-
1508678,40068416,FDG79_gp170,FDG79_gp170,ECTP3_00363,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068417,FDG79_gp169,FDG79_gp169,ECTP3_00364,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068418,FDG79_gp168,FDG79_gp168,ECTP3_00365,-,-,-,recombinase A,protein-coding,-,-,-,recombinase A,20210130,-
1508678,40068419,FDG79_gp167,FDG79_gp167,ECTP3_00366,-,-,-,head assembly protein,protein-coding,-,-,-,head assembly protein,20200905,-
1508678,40068420,FDG79_gp166,FDG79_gp166,ECTP3_00367,-,-,-,replicative DNA helicase,protein-coding,-,-,-,replicative DNA helicase,20200629,-
1508678,40068421,FDG79_gp165,FDG79_gp165,ECTP3_00368,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068422,FDG79_gp164,FDG79_gp164,ECTP3_00369,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068423,FDG79_gp163,FDG79_gp163,ECTP3_00370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068424,FDG79_gp162,FDG79_gp162,ECTP3_00371,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068425,FDG79_gp161,FDG79_gp161,ECTP3_00372,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1508678,40068426,FDG79_gp160,FDG79_gp160,ECTP3_00373,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068427,FDG79_gp159,FDG79_gp159,ECTP3_00374,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068428,FDG79_gp158,FDG79_gp158,ECTP3_00375,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068429,FDG79_gp157,FDG79_gp157,ECTP3_00376,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1508678,40068430,FDG79_gp156,FDG79_gp156,ECTP3_00377,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068431,FDG79_gp155,FDG79_gp155,ECTP3_00378,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068432,FDG79_gp154,FDG79_gp154,ECTP3_00379,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20200629,-
1508678,40068433,FDG79_gp153,FDG79_gp153,ECTP3_00380,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068434,FDG79_gp152,FDG79_gp152,ECTP3_00381,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068435,FDG79_gp151,FDG79_gp151,ECTP3_00382,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1508678,40068436,FDG79_gp150,FDG79_gp150,ECTP3_00383,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068437,FDG79_gp149,FDG79_gp149,ECTP3_00384,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068438,FDG79_gp148,FDG79_gp148,ECTP3_00385,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068439,FDG79_gp147,FDG79_gp147,ECTP3_00386,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068440,FDG79_gp146,FDG79_gp146,ECTP3_00387,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068441,FDG79_gp145,FDG79_gp145,ECTP3_00388,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068442,FDG79_gp144,FDG79_gp144,ECTP3_00389,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068443,FDG79_gp143,FDG79_gp143,ECTP3_00390,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068444,FDG79_gp142,FDG79_gp142,ECTP3_00391,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068445,FDG79_gp141,FDG79_gp141,ECTP3_00392,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068446,recD2,FDG79_gp140,ECTP3_00393,-,-,-,ATP-dependent RecD-like DNA helicase,protein-coding,-,-,-,ATP-dependent RecD-like DNA helicase,20200629,-
1508678,40068447,FDG79_gp139,FDG79_gp139,ECTP3_00394,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068448,FDG79_gp138,FDG79_gp138,ECTP3_00395,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068449,FDG79_gp137,FDG79_gp137,ECTP3_00396,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068450,FDG79_gp136,FDG79_gp136,ECTP3_00397,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068451,FDG79_gp135,FDG79_gp135,ECTP3_00398,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068452,FDG79_gp134,FDG79_gp134,ECTP3_00399,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068453,FDG79_gp133,FDG79_gp133,ECTP3_00400,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068454,FDG79_gp132,FDG79_gp132,ECTP3_00401,-,-,-,zinc ribbon domain protein,protein-coding,-,-,-,zinc ribbon domain protein,20200629,-
1508678,40068455,FDG79_gp131,FDG79_gp131,ECTP3_00402,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068456,parE,FDG79_gp130,ECTP3_00403,-,-,-,DNA topoisomerase 4 subunit B,protein-coding,-,-,-,DNA topoisomerase 4 subunit B,20201221,-
1508678,40068457,FDG79_gp129,FDG79_gp129,ECTP3_00404,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068458,FDG79_gp128,FDG79_gp128,ECTP3_00405,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210130,-
1508678,40068459,FDG79_gp127,FDG79_gp127,ECTP3_00406,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068460,FDG79_gp126,FDG79_gp126,ECTP3_00407,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068461,FDG79_gp125,FDG79_gp125,ECTP3_00408,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068462,FDG79_gp124,FDG79_gp124,ECTP3_00409,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068463,FDG79_gp123,FDG79_gp123,ECTP3_00410,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068464,FDG79_gp122,FDG79_gp122,ECTP3_00411,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068465,FDG79_gp121,FDG79_gp121,ECTP3_00412,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068466,FDG79_gp120,FDG79_gp120,ECTP3_00413,-,-,-,"naphthalene 1,2-dioxygenase",protein-coding,-,-,-,"naphthalene 1,2-dioxygenase",20201221,-
1508678,40068467,FDG79_gp119,FDG79_gp119,ECTP3_00414,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068468,FDG79_gp118,FDG79_gp118,ECTP3_00415,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068469,gyrA,FDG79_gp117,ECTP3_00416,-,-,-,DNA gyrase subunit A,protein-coding,-,-,-,DNA gyrase subunit A,20201221,-
1508678,40068470,FDG79_gp116,FDG79_gp116,ECTP3_00417,-,-,-,"transcription factor MotA, activation domain",protein-coding,-,-,-,"transcription factor MotA, activation domain",20200629,-
1508678,40068471,FDG79_gp115,FDG79_gp115,ECTP3_00418,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068472,FDG79_gp114,FDG79_gp114,ECTP3_00419,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068473,FDG79_gp113,FDG79_gp113,ECTP3_00420,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068474,FDG79_gp112,FDG79_gp112,ECTP3_00421,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068475,FDG79_gp111,FDG79_gp111,ECTP3_00422,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068476,FDG79_gp110,FDG79_gp110,ECTP3_00423,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068477,FDG79_gp109,FDG79_gp109,ECTP3_00424,-,-,-,anti-sigma factor A,protein-coding,-,-,-,anti-sigma factor A,20210123,-
1508678,40068478,FDG79_gp108,FDG79_gp108,ECTP3_00425,-,-,-,holin,protein-coding,-,-,-,holin,20200629,-
1508678,40068479,FDG79_gp107,FDG79_gp107,ECTP3_00426,-,-,-,tail fiber assembly protein,protein-coding,-,-,-,tail fiber assembly protein,20200629,-
1508678,40068480,FDG79_gp106,FDG79_gp106,ECTP3_00427,-,-,-,tail collar domain protein,protein-coding,-,-,-,tail collar domain protein,20200629,-
1508678,40068481,FDG79_gp105,FDG79_gp105,ECTP3_00428,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
1508678,40068482,FDG79_gp104,FDG79_gp104,ECTP3_00429,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068483,FDG79_gp103,FDG79_gp103,ECTP3_00430,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1508678,40068484,FDG79_gp001,FDG79_gp001,ECTP3_00159,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200629,-
1508678,40120170,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
