#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656520,65064086,KMC29_gp002,KMC29_gp002,pSeSNUABM01_002,-,-,-,putative DNA topoisomerase,protein-coding,-,-,-,putative DNA topoisomerase,20210608,-
2656520,65064249,KMC29_gp166,KMC29_gp166,pSeSNUABM01_167,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20210608,-
2656520,65064250,KMC29_gp167,KMC29_gp167,pSeSNUABM01_168,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20210608,-
2656520,65064251,KMC29_gp168,KMC29_gp168,pSeSNUABM01_169,-,-,-,putative tail sheath protein,protein-coding,-,-,-,putative tail sheath protein,20210608,-
2656520,65064252,KMC29_gp169,KMC29_gp169,pSeSNUABM01_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064253,KMC29_gp170,KMC29_gp170,pSeSNUABM01_171,-,-,-,putative tail tube protein,protein-coding,-,-,-,putative tail tube protein,20210608,-
2656520,65064254,KMC29_gp171,KMC29_gp171,pSeSNUABM01_172,-,-,-,putative portal vertex of the head,protein-coding,-,-,-,putative portal vertex of the head,20210608,-
2656520,65064255,KMC29_gp172,KMC29_gp172,pSeSNUABM01_173,-,-,-,putative prohead core protein,protein-coding,-,-,-,putative prohead core protein,20210608,-
2656520,65064256,KMC29_gp173,KMC29_gp173,pSeSNUABM01_174,-,-,-,putative prohead core protein,protein-coding,-,-,-,putative prohead core protein,20210608,-
2656520,65064257,KMC29_gp174,KMC29_gp174,pSeSNUABM01_175,-,-,-,putative prohead core scaffolding protein,protein-coding,-,-,-,putative prohead core scaffolding protein,20210612,-
2656520,65064258,KMC29_gp175,KMC29_gp175,pSeSNUABM01_176,-,-,-,putative prohead core protein,protein-coding,-,-,-,putative prohead core protein,20210608,-
2656520,65064259,KMC29_gp176,KMC29_gp176,pSeSNUABM01_177,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20210608,-
2656520,65064260,KMC29_gp177,KMC29_gp177,pSeSNUABM01_178,-,-,-,putative capsid vertex protein,protein-coding,-,-,-,putative capsid vertex protein,20210608,-
2656520,65064261,KMC29_gp178,KMC29_gp178,pSeSNUABM01_179,-,-,-,putative RNA ligase,protein-coding,-,-,-,putative RNA ligase,20210608,-
2656520,65064262,KMC29_gp179,KMC29_gp179,pSeSNUABM01_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064263,KMC29_gp180,KMC29_gp180,pSeSNUABM01_181,-,-,-,protein of unknown function DUF2774,protein-coding,-,-,-,protein of unknown function DUF2774,20210608,-
2656520,65064264,KMC29_gp181,KMC29_gp181,pSeSNUABM01_182,-,-,-,putative large head outer capsid protein,protein-coding,-,-,-,putative large head outer capsid protein,20210608,-
2656520,65064265,KMC29_gp182,KMC29_gp182,pSeSNUABM01_183,-,-,-,putative inhibitor of prohead protease,protein-coding,-,-,-,putative inhibitor of prohead protease,20210608,-
2656520,65064266,KMC29_gp183,KMC29_gp183,pSeSNUABM01_184,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20210608,-
2656520,65064267,KMC29_gp184,KMC29_gp184,pSeSNUABM01_185,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20210608,-
2656520,65064268,KMC29_gp185,KMC29_gp185,pSeSNUABM01_186,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20210608,-
2656520,65064269,KMC29_gp186,KMC29_gp186,pSeSNUABM01_187,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20210609,-
2656520,65064270,KMC29_gp187,KMC29_gp187,pSeSNUABM01_188,-,-,-,protein of unknown function DUF2685,protein-coding,-,-,-,protein of unknown function DUF2685,20210608,-
2656520,65064271,KMC29_gp188,KMC29_gp188,pSeSNUABM01_189,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20210608,-
2656520,65064272,KMC29_gp189,KMC29_gp189,pSeSNUABM01_190,-,-,-,"putative recombination, repair and ssDNA binding protein",protein-coding,-,-,-,"putative recombination, repair and ssDNA binding protein",20210608,-
2656520,65064273,KMC29_gp190,KMC29_gp190,pSeSNUABM01_191,-,-,-,putative baseplate assembly protein,protein-coding,-,-,-,putative baseplate assembly protein,20210608,-
2656520,65064274,KMC29_gp191,KMC29_gp191,pSeSNUABM01_192,-,-,-,putative baseplate hub assembly protein,protein-coding,-,-,-,putative baseplate hub assembly protein,20210608,-
2656520,65064275,KMC29_gp192,KMC29_gp192,pSeSNUABM01_193,-,-,-,putative baseplate hub assembly protein,protein-coding,-,-,-,putative baseplate hub assembly protein,20210608,-
2656520,65064276,KMC29_gp193,KMC29_gp193,pSeSNUABM01_194,-,-,-,putative baseplate hub subunit,protein-coding,-,-,-,putative baseplate hub subunit,20210608,-
2656520,65064277,KMC29_gp194,KMC29_gp194,pSeSNUABM01_195,-,-,-,putative baseplate hub distal subunit,protein-coding,-,-,-,putative baseplate hub distal subunit,20210609,-
2656520,65064278,KMC29_gp195,KMC29_gp195,pSeSNUABM01_196,-,-,-,putative baseplate hub subunit and tail length determinator,protein-coding,-,-,-,putative baseplate hub subunit and tail length determinator,20210608,-
2656520,65064279,KMC29_gp196,KMC29_gp196,pSeSNUABM01_197,-,-,-,putative baseplate tail tube cap,protein-coding,-,-,-,putative baseplate tail tube cap,20210608,-
2656520,65064280,KMC29_gp197,KMC29_gp197,pSeSNUABM01_198,-,-,-,putative baseplate subunit,protein-coding,-,-,-,putative baseplate subunit,20210608,-
2656520,65064281,KMC29_gp198,KMC29_gp198,pSeSNUABM01_199,-,-,-,protein of unknown function DUF5498,protein-coding,-,-,-,protein of unknown function DUF5498,20210612,-
2656520,65064282,KMC29_gp199,KMC29_gp199,pSeSNUABM01_200,-,-,-,putative ADP ribosyltransferase,protein-coding,-,-,-,putative ADP ribosyltransferase,20210612,-
2656520,65064283,KMC29_gp200,KMC29_gp200,pSeSNUABM01_201,-,-,-,putative ADP ribosyltransferase,protein-coding,-,-,-,putative ADP ribosyltransferase,20210608,-
2656520,65064284,KMC29_gp201,KMC29_gp201,pSeSNUABM01_202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064285,KMC29_gp202,KMC29_gp202,pSeSNUABM01_203,-,-,-,putative DNA ligase,protein-coding,-,-,-,putative DNA ligase,20210608,-
2656520,65064286,KMC29_gp131,KMC29_gp131,pSeSNUABM01_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064287,KMC29_gp203,KMC29_gp203,pSeSNUABM01_204,-,-,-,protein of unknown function DUF3045,protein-coding,-,-,-,protein of unknown function DUF3045,20210608,-
2656520,65064288,KMC29_gp204,KMC29_gp204,pSeSNUABM01_205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064289,KMC29_gp205,KMC29_gp205,pSeSNUABM01_206,-,-,-,protein of unknown function DUF2883,protein-coding,-,-,-,protein of unknown function DUF2883,20210608,-
2656520,65064290,KMC29_gp206,KMC29_gp206,pSeSNUABM01_207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064291,KMC29_gp207,KMC29_gp207,pSeSNUABM01_208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064292,KMC29_gp208,KMC29_gp208,pSeSNUABM01_209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2656520,65064293,KMC29_gp209,KMC29_gp209,pSeSNUABM01_210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064294,KMC29_gp210,KMC29_gp210,pSeSNUABM01_211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064295,KMC29_gp211,KMC29_gp211,pSeSNUABM01_212,-,-,-,putative rIII lysis inhibition accessory protein,protein-coding,-,-,-,putative rIII lysis inhibition accessory protein,20210608,-
2656520,65064296,KMC29_gp212,KMC29_gp212,pSeSNUABM01_213,-,-,-,head assembly cochaperone with GroEL,protein-coding,-,-,-,head assembly cochaperone with GroEL,20210612,-
2656520,65064297,KMC29_gp213,KMC29_gp213,pSeSNUABM01_214,-,-,-,WYL_2 domain containing protein,protein-coding,-,-,-,WYL_2 domain containing protein,20210608,-
2656520,65064298,KMC29_gp214,KMC29_gp214,pSeSNUABM01_215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064299,KMC29_gp215,KMC29_gp215,pSeSNUABM01_216,-,-,-,putative dCMP deaminase,protein-coding,-,-,-,putative dCMP deaminase,20210609,-
2656520,65064300,KMC29_gp216,KMC29_gp216,pSeSNUABM01_217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064301,KMC29_gp217,KMC29_gp217,pSeSNUABM01_218,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064302,KMC29_gp218,KMC29_gp218,pSeSNUABM01_219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064303,KMC29_gp219,KMC29_gp219,pSeSNUABM01_220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064304,KMC29_gp220,KMC29_gp220,pSeSNUABM01_221,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064305,KMC29_gp221,KMC29_gp221,pSeSNUABM01_222,-,-,-,putative polynucleotide kinase,protein-coding,-,-,-,putative polynucleotide kinase,20210608,-
2656520,65064306,KMC29_gp222,KMC29_gp222,pSeSNUABM01_223,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064307,KMC29_gp223,KMC29_gp223,pSeSNUABM01_224,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064308,KMC29_gp224,KMC29_gp224,pSeSNUABM01_225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064309,KMC29_gp225,KMC29_gp225,pSeSNUABM01_226,-,-,-,putative spanin Rz,protein-coding,-,-,-,putative spanin Rz,20210608,-
2656520,65064310,KMC29_gp226,KMC29_gp226,pSeSNUABM01_227,-,-,-,putative inhibitor of host transcription,protein-coding,-,-,-,putative inhibitor of host transcription,20210608,-
2656520,65064311,KMC29_gp227,KMC29_gp227,pSeSNUABM01_228,-,-,-,putative RNA ligase,protein-coding,-,-,-,putative RNA ligase,20210608,-
2656520,65064312,KMC29_gp228,KMC29_gp228,pSeSNUABM01_229,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20210608,-
2656520,65064313,KMC29_gp229,KMC29_gp229,pSeSNUABM01_230,-,-,-,putative ribonucleotide reductase beta subunit,protein-coding,-,-,-,putative ribonucleotide reductase beta subunit,20210608,-
2656520,65064314,KMC29_gp230,KMC29_gp230,pSeSNUABM01_231,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20210608,-
2656520,65064315,KMC29_gp231,KMC29_gp231,pSeSNUABM01_232,-,-,-,putative ribonucleotide reductase beta subunit,protein-coding,-,-,-,putative ribonucleotide reductase beta subunit,20210608,-
2656520,65064316,KMC29_gp232,KMC29_gp232,pSeSNUABM01_233,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20210608,-
2656520,65064317,KMC29_gp233,KMC29_gp233,pSeSNUABM01_234,-,-,-,putative ribnonucleotide reductase alpha subunit,protein-coding,-,-,-,putative ribnonucleotide reductase alpha subunit,20210608,-
2656520,65064318,KMC29_gp234,KMC29_gp234,pSeSNUABM01_235,-,-,-,protein of unknown function DUF5496,protein-coding,-,-,-,protein of unknown function DUF5496,20210608,-
2656520,65064319,KMC29_gp235,KMC29_gp235,pSeSNUABM01_236,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20210608,-
2656520,65064320,KMC29_gp236,KMC29_gp236,pSeSNUABM01_237,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20210612,-
2656520,65064321,KMC29_gp237,KMC29_gp237,pSeSNUABM01_238,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20210608,-
2656520,65064322,KMC29_gp238,KMC29_gp238,pSeSNUABM01_239,-,-,-,putative glucose-1-phosphate adenylyltranseferase,protein-coding,-,-,-,putative glucose-1-phosphate adenylyltranseferase,20210608,-
2656520,65064323,KMC29_gp239,KMC29_gp239,pSeSNUABM01_240,-,-,-,putative dihydrofolate reductase,protein-coding,-,-,-,putative dihydrofolate reductase,20210608,-
2656520,65064324,KMC29_gp240,KMC29_gp240,pSeSNUABM01_241,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064325,KMC29_gp241,KMC29_gp241,pSeSNUABM01_242,-,-,-,protein of unknown function DUF5417,protein-coding,-,-,-,protein of unknown function DUF5417,20210608,-
2656520,65064326,KMC29_gp242,KMC29_gp242,pSeSNUABM01_243,-,-,-,putative FRDD2 protein,protein-coding,-,-,-,putative FRDD2 protein,20210608,-
2656520,65064327,KMC29_gp243,KMC29_gp243,pSeSNUABM01_244,-,-,-,putative FRD3 protein,protein-coding,-,-,-,putative FRD3 protein,20210609,-
2656520,65064328,KMC29_gp244,KMC29_gp244,pSeSNUABM01_245,-,-,-,putative ssDNA binding protein,protein-coding,-,-,-,putative ssDNA binding protein,20210608,-
2656520,65064329,KMC29_gp245,KMC29_gp245,pSeSNUABM01_246,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20210608,-
2656520,65064330,KMC29_gp246,KMC29_gp246,pSeSNUABM01_247,-,-,-,putative DNA helicase loader,protein-coding,-,-,-,putative DNA helicase loader,20210608,-
2656520,65064331,KMC29_gp247,KMC29_gp247,pSeSNUABM01_248,-,-,-,putative late-transcription coactivator,protein-coding,-,-,-,putative late-transcription coactivator,20210608,-
2656520,65064332,KMC29_gp248,KMC29_gp248,pSeSNUABM01_249,-,-,-,putative dsDNA binding protein,protein-coding,-,-,-,putative dsDNA binding protein,20210612,-
2656520,65064333,KMC29_gp249,KMC29_gp249,pSeSNUABM01_250,-,-,-,putative RnaseH,protein-coding,-,-,-,putative RnaseH,20210608,-
2656520,65064334,KMC29_gp250,KMC29_gp250,pSeSNUABM01_251,-,-,-,putative long tail fiber protein,protein-coding,-,-,-,putative long tail fiber protein,20210608,-
2656520,65064335,KMC29_gp251,KMC29_gp251,pSeSNUABM01_252,-,-,-,putative hinge connector of long tail fiber,protein-coding,-,-,-,putative hinge connector of long tail fiber,20210608,-
2656520,65064336,KMC29_gp252,KMC29_gp252,pSeSNUABM01_253,-,-,-,putative hinge connector of long tail fiber distal connector,protein-coding,-,-,-,putative hinge connector of long tail fiber distal connector,20210608,-
2656520,65064337,KMC29_gp253,KMC29_gp253,pSeSNUABM01_254,-,-,-,putative long tail fiber distal subunit,protein-coding,-,-,-,putative long tail fiber distal subunit,20210608,-
2656520,65064338,KMC29_gp254,KMC29_gp254,pSeSNUABM01_255,-,-,-,putative tail fiber adhesin,protein-coding,-,-,-,putative tail fiber adhesin,20210608,-
2656520,65064339,KMC29_gp255,KMC29_gp255,pSeSNUABM01_256,-,-,-,holin T,protein-coding,-,-,-,holin T,20210608,-
2656520,65064340,KMC29_gp256,KMC29_gp256,pSeSNUABM01_257,-,-,-,putative anti-sigma factor,protein-coding,-,-,-,putative anti-sigma factor,20210612,-
2656520,65064341,KMC29_gp257,KMC29_gp257,pSeSNUABM01_258,-,-,-,putative anti-sigma factor,protein-coding,-,-,-,putative anti-sigma factor,20210608,-
2656520,65064342,KMC29_gp258,KMC29_gp258,pSeSNUABM01_259,-,-,-,putative inhibitor of MrcBC restriction endonuclease,protein-coding,-,-,-,putative inhibitor of MrcBC restriction endonuclease,20210608,-
2656520,65064343,KMC29_gp259,KMC29_gp259,pSeSNUABM01_260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064344,KMC29_gp260,KMC29_gp260,pSeSNUABM01_261,-,-,-,putative anti-restriction nuclease,protein-coding,-,-,-,putative anti-restriction nuclease,20210608,-
2656520,65064345,KMC29_gp261,KMC29_gp261,pSeSNUABM01_262,-,-,-,putative anti-restriction nuclease,protein-coding,-,-,-,putative anti-restriction nuclease,20210608,-
2656520,65064346,KMC29_gp262,KMC29_gp262,pSeSNUABM01_263,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064347,KMC29_gp263,KMC29_gp263,pSeSNUABM01_264,-,-,-,putative activator of middle period transcription,protein-coding,-,-,-,putative activator of middle period transcription,20210608,-
2656520,65064348,KMC29_gp264,KMC29_gp264,pSeSNUABM01_265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064349,KMC29_gp265,KMC29_gp265,pSeSNUABM01_266,-,-,-,putative DNA topoisomerase II medium subunit,protein-coding,-,-,-,putative DNA topoisomerase II medium subunit,20210608,-
2656520,65064350,KMC29_gp266,KMC29_gp266,pSeSNUABM01_267,-,-,-,putative nuclear disruption protein,protein-coding,-,-,-,putative nuclear disruption protein,20210608,-
2656520,65064351,KMC29_gp267,KMC29_gp267,pSeSNUABM01_268,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064352,KMC29_gp268,KMC29_gp268,pSeSNUABM01_269,-,-,-,putative outer membrane protein,protein-coding,-,-,-,putative outer membrane protein,20210608,-
2656520,65064353,KMC29_gp269,KMC29_gp269,pSeSNUABM01_270,-,-,-,putative periplasmic protein,protein-coding,-,-,-,putative periplasmic protein,20210608,-
2656520,65064354,KMC29_gp270,KMC29_gp270,pSeSNUABM01_271,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064355,KMC29_gp271,KMC29_gp271,pSeSNUABM01_272,-,-,-,putative outer membrane protein,protein-coding,-,-,-,putative outer membrane protein,20210608,-
2656520,65064356,KMC29_gp272,KMC29_gp272,pSeSNUABM01_273,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064357,KMC29_gp273,KMC29_gp273,pSeSNUABM01_274,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20210608,-
2656520,65064358,KMC29_gp274,KMC29_gp274,pSeSNUABM01_275,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064359,KMC29_gp275,KMC29_gp275,pSeSNUABM01_276,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65064360,KMC29_gp276,KMC29_gp276,pSeSNUABM01_277,-,-,-,putative rIIB lysis inhibitor,protein-coding,-,-,-,putative rIIB lysis inhibitor,20210608,-
2656520,65064361,KMC29_gp001,KMC29_gp001,pSeSNUABM01_001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2656520,65243263,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
