#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713301,55816988,HYQ30_gp002,HYQ30_gp002,heyday_2,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210327,-
2713301,55817165,HYQ30_gp179,HYQ30_gp179,heyday_179,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210313,-
2713301,55817166,HYQ30_gp180,HYQ30_gp180,heyday_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817167,HYQ30_gp181,HYQ30_gp181,heyday_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817168,HYQ30_gp182,HYQ30_gp182,heyday_182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817169,HYQ30_gp183,HYQ30_gp183,heyday_183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817170,HYQ30_gp184,HYQ30_gp184,heyday_184,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713301,55817171,HYQ30_gp185,HYQ30_gp185,heyday_185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817172,HYQ30_gp186,HYQ30_gp186,heyday_186,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55817173,HYQ30_gp187,HYQ30_gp187,heyday_187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713301,55817174,HYQ30_gp001,HYQ30_gp001,heyday_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713301,55863690,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200909,-
