#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
697581,25405473,TCARB_RS00005,TCARB_RS00005,TCARB_0001,-,-,-,adenosine-specific kinase,protein-coding,-,-,-,adenosine-specific kinase,20201026,-
697581,25405978,TCARB_RS02530,TCARB_RS02530,TCARB_0527,-,-,-,GDP-mannose dehydrogenase,protein-coding,-,-,-,GDP-mannose dehydrogenase,20201026,-
697581,25405979,TCARB_RS02535,TCARB_RS02535,TCARB_0528,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405980,TCARB_RS02540,TCARB_RS02540,TCARB_0529,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405981,TCARB_RS02545,TCARB_RS02545,TCARB_0530,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405982,TCARB_RS02550,TCARB_RS02550,TCARB_0531,-,-,-,DUF72 domain-containing protein,protein-coding,-,-,-,DUF72 domain-containing protein,20200829,-
697581,25405983,TCARB_RS02555,TCARB_RS02555,TCARB_0532,-,-,-,M48 family metalloprotease,protein-coding,-,-,-,M48 family metalloprotease,20201026,-
697581,25405984,TCARB_RS02560,TCARB_RS02560,TCARB_0533,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20200829,-
697581,25405985,TCARB_RS02565,TCARB_RS02565,TCARB_0534,-,-,-,type II toxin-antitoxin system VapC family toxin,protein-coding,-,-,-,type II toxin-antitoxin system VapC family toxin,20200829,-
697581,25405986,TCARB_RS02570,TCARB_RS02570,TCARB_0535,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
697581,25405987,TCARB_RS02575,TCARB_RS02575,TCARB_0536,-,-,-,ATP-binding cassette domain-containing protein,protein-coding,-,-,-,ATP-binding cassette domain-containing protein,20210424,-
697581,25405988,TCARB_RS02580,TCARB_RS02580,TCARB_0537,-,-,-,ABC transporter,protein-coding,-,-,-,ABC transporter,20201026,-
697581,25405989,TCARB_RS02585,TCARB_RS02585,TCARB_0538,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210529,-
697581,25405990,TCARB_RS02590,TCARB_RS02590,TCARB_0539,-,-,-,radical SAM protein,protein-coding,-,-,-,radical SAM protein,20200829,-
697581,25405991,TCARB_RS02595,TCARB_RS02595,TCARB_0540,-,-,-,HEAT repeat domain-containing protein,protein-coding,-,-,-,HEAT repeat domain-containing protein,20200829,-
697581,25405992,TCARB_RS02600,TCARB_RS02600,TCARB_0541,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201026,-
697581,25405993,TCARB_RS02605,TCARB_RS02605,TCARB_0542,-,-,-,aldo/keto reductase,protein-coding,-,-,-,aldo/keto reductase,20200829,-
697581,25405994,rbcL,TCARB_RS02610,TCARB_0543,-,-,-,type III ribulose-bisphosphate carboxylase,protein-coding,-,-,-,type III ribulose-bisphosphate carboxylase,20200829,-
697581,25405995,TCARB_RS02615,TCARB_RS02615,TCARB_0544,-,-,-,zinc ribbon domain-containing protein,protein-coding,-,-,-,zinc ribbon domain-containing protein,20200829,-
697581,25405996,TCARB_RS02620,TCARB_RS02620,TCARB_0545,-,-,-,B12-binding domain-containing radical SAM protein,protein-coding,-,-,-,B12-binding domain-containing radical SAM protein,20210529,-
697581,25405997,TCARB_RS02625,TCARB_RS02625,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25405998,TCARB_RS02630,TCARB_RS02630,TCARB_0547,-,-,-,iron-containing alcohol dehydrogenase,protein-coding,-,-,-,iron-containing alcohol dehydrogenase,20200919,-
697581,25405999,TCARB_RS02635,TCARB_RS02635,TCARB_0548,-,-,-,carbon-nitrogen hydrolase family protein,protein-coding,-,-,-,carbon-nitrogen hydrolase family protein,20200829,-
697581,25406000,TCARB_RS02640,TCARB_RS02640,-,-,-,-,division/cell wall cluster transcriptional repressor MraZ,protein-coding,-,-,-,division/cell wall cluster transcriptional repressor MraZ,20200919,-
697581,25406001,TCARB_RS02645,TCARB_RS02645,TCARB_0549,-,-,-,HAD family hydrolase,protein-coding,-,-,-,HAD family hydrolase,20200829,-
697581,25406002,TCARB_RS02650,TCARB_RS02650,TCARB_0551,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200831,-
697581,25406003,TCARB_RS02655,TCARB_RS02655,TCARB_0552,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20201217,-
697581,25406004,TCARB_RS02660,TCARB_RS02660,TCARB_0553,-,-,-,type II toxin-antitoxin system VapC family toxin,protein-coding,-,-,-,type II toxin-antitoxin system VapC family toxin,20200829,-
697581,25406005,TCARB_RS02665,TCARB_RS02665,TCARB_0554,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406006,TCARB_RS02670,TCARB_RS02670,TCARB_0555,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406007,TCARB_RS02675,TCARB_RS02675,TCARB_0556,-,-,-,SPASM domain-containing protein,protein-coding,-,-,-,SPASM domain-containing protein,20200919,-
697581,25406008,TCARB_RS02680,TCARB_RS02680,TCARB_0557,-,-,-,CopG family ribbon-helix-helix protein,protein-coding,-,-,-,CopG family ribbon-helix-helix protein,20200829,-
697581,25406009,TCARB_RS02685,TCARB_RS02685,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
697581,25406010,TCARB_RS02690,TCARB_RS02690,TCARB_0558,-,-,-,carbohydrate kinase,protein-coding,-,-,-,carbohydrate kinase,20201217,-
697581,25406011,TCARB_RS02695,TCARB_RS02695,TCARB_0560,-,-,-,FAD-binding oxidoreductase,protein-coding,-,-,-,FAD-binding oxidoreductase,20200829,-
697581,25406012,TCARB_RS02700,TCARB_RS02700,TCARB_0561,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406013,TCARB_RS02705,TCARB_RS02705,TCARB_0562,-,-,-,FAD-dependent oxidoreductase,protein-coding,-,-,-,FAD-dependent oxidoreductase,20200829,-
697581,25406014,TCARB_RS02710,TCARB_RS02710,TCARB_0563,-,-,-,FAD-dependent oxidoreductase,protein-coding,-,-,-,FAD-dependent oxidoreductase,20200829,-
697581,25406015,TCARB_RS02715,TCARB_RS02715,TCARB_0564,-,-,-,DUF1667 domain-containing protein,protein-coding,-,-,-,DUF1667 domain-containing protein,20200919,-
697581,25406016,TCARB_RS02720,TCARB_RS02720,TCARB_0565,-,-,-,YbaK/EbsC family protein,protein-coding,-,-,-,YbaK/EbsC family protein,20210529,-
697581,25406017,TCARB_RS02725,TCARB_RS02725,TCARB_0566,-,-,-,tyrosine--tRNA ligase,protein-coding,-,-,-,tyrosine--tRNA ligase,20200829,-
697581,25406018,TCARB_RS02730,TCARB_RS02730,TCARB_0567,-,-,-,rhomboid family intramembrane serine protease,protein-coding,-,-,-,rhomboid family intramembrane serine protease,20200829,-
697581,25406019,TCARB_RS02735,TCARB_RS02735,TCARB_0568,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406020,TCARB_RS02740,TCARB_RS02740,TCARB_0569,-,-,-,NUDIX hydrolase,protein-coding,-,-,-,NUDIX hydrolase,20200831,-
697581,25406021,TCARB_RS02745,TCARB_RS02745,TCARB_0570,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25406022,TCARB_RS02750,TCARB_RS02750,TCARB_0571,-,-,-,extracellular solute-binding protein,protein-coding,-,-,-,extracellular solute-binding protein,20200829,-
697581,25406023,TCARB_RS02755,TCARB_RS02755,TCARB_0572,-,-,-,sugar ABC transporter permease,protein-coding,-,-,-,sugar ABC transporter permease,20200829,-
697581,25406024,TCARB_RS02760,TCARB_RS02760,TCARB_0573,-,-,-,carbohydrate ABC transporter permease,protein-coding,-,-,-,carbohydrate ABC transporter permease,20200829,-
697581,25406025,TCARB_RS02765,TCARB_RS02765,TCARB_0574,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20201026,-
697581,25406026,TCARB_RS02770,TCARB_RS02770,TCARB_0575,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25406027,TCARB_RS02775,TCARB_RS02775,TCARB_0576,-,-,-,bacteriocin,protein-coding,-,-,-,bacteriocin,20201026,-
697581,25406028,TCARB_RS02780,TCARB_RS02780,-,-,-,-,glycoside hydrolase family 65 protein,protein-coding,-,-,-,glycoside hydrolase family 65 protein,20201217,-
697581,25406029,TCARB_RS02785,TCARB_RS02785,-,-,-,-,glycoside hydrolase family 65 protein,protein-coding,-,-,-,glycoside hydrolase family 65 protein,20200919,-
697581,25406030,TCARB_RS02790,TCARB_RS02790,TCARB_0579,-,-,-,HAD family hydrolase,protein-coding,-,-,-,HAD family hydrolase,20201026,-
697581,25406031,TCARB_RS02795,TCARB_RS02795,TCARB_0581,-,-,-,nitroreductase family protein,protein-coding,-,-,-,nitroreductase family protein,20201026,-
697581,25406032,TCARB_RS02800,TCARB_RS02800,TCARB_0582,-,-,-,YkgJ family cysteine cluster protein,protein-coding,-,-,-,YkgJ family cysteine cluster protein,20201026,-
697581,25406033,TCARB_RS02805,TCARB_RS02805,TCARB_0583,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406034,TCARB_RS02810,TCARB_RS02810,TCARB_0584,-,-,-,carbohydrate kinase family protein,protein-coding,-,-,-,carbohydrate kinase family protein,20200829,-
697581,25406035,TCARB_RS02815,TCARB_RS02815,TCARB_0585,-,-,-,class I fructose-bisphosphate aldolase family protein,protein-coding,-,-,-,class I fructose-bisphosphate aldolase family protein,20200829,-
697581,25406036,TCARB_RS02820,TCARB_RS02820,TCARB_0586,-,-,-,bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase,protein-coding,-,-,-,bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase,20200829,-
697581,25406037,TCARB_RS02825,TCARB_RS02825,TCARB_0587,-,-,-,preprotein translocase subunit TatC,protein-coding,-,-,-,preprotein translocase subunit TatC,20210424,-
697581,25406038,TCARB_RS02830,TCARB_RS02830,TCARB_0588,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406039,TCARB_RS02835,TCARB_RS02835,TCARB_0589,-,-,-,twin-arginine translocase subunit TatC,protein-coding,-,-,-,twin-arginine translocase subunit TatC,20200829,-
697581,25406040,TCARB_RS02840,TCARB_RS02840,TCARB_0590,-,-,-,GNAT family N-acetyltransferase,protein-coding,-,-,-,GNAT family N-acetyltransferase,20210529,-
697581,25406041,TCARB_RS02845,TCARB_RS02845,TCARB_0591,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
697581,25406042,TCARB_RS02850,TCARB_RS02850,TCARB_0592,-,-,-,NAAT family transporter,protein-coding,-,-,-,NAAT family transporter,20200829,-
697581,25406043,TCARB_RS02855,TCARB_RS02855,TCARB_0593,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20200919,-
697581,25406044,TCARB_RS02860,TCARB_RS02860,TCARB_0594,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406045,TCARB_RS02865,TCARB_RS02865,TCARB_0596,-,-,-,nucleotidyltransferase domain-containing protein,protein-coding,-,-,-,nucleotidyltransferase domain-containing protein,20200829,-
697581,25406046,TCARB_RS02870,TCARB_RS02870,TCARB_0597,-,-,-,HEPN domain-containing protein,protein-coding,-,-,-,HEPN domain-containing protein,20200829,-
697581,25406047,TCARB_RS02875,TCARB_RS02875,TCARB_0598,-,-,-,cation transporter,protein-coding,-,-,-,cation transporter,20200919,-
697581,25406048,TCARB_RS02880,TCARB_RS02880,TCARB_0599,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
697581,25406049,TCARB_RS02885,TCARB_RS02885,TCARB_0600,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20201026,-
697581,25406050,TCARB_RS02890,TCARB_RS02890,TCARB_0601,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20201026,-
697581,25406051,TCARB_RS02895,TCARB_RS02895,TCARB_0602,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20201026,-
697581,25406052,TCARB_RS02900,TCARB_RS02900,TCARB_0603,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210529,-
697581,25406053,TCARB_RS02905,TCARB_RS02905,TCARB_0604,-,-,-,phosphoglycolate phosphatase,protein-coding,-,-,-,phosphoglycolate phosphatase,20200829,-
697581,25406054,TCARB_RS02910,TCARB_RS02910,TCARB_0605,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406055,TCARB_RS02915,TCARB_RS02915,TCARB_0606,-,-,-,molybdopterin-dependent oxidoreductase,protein-coding,-,-,-,molybdopterin-dependent oxidoreductase,20200829,-
697581,25406056,TCARB_RS02920,TCARB_RS02920,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406057,TCARB_RS02925,TCARB_RS02925,TCARB_0609,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406058,TCARB_RS02930,TCARB_RS02930,TCARB_0610,-,-,-,alpha-mannosidase,protein-coding,-,-,-,alpha-mannosidase,20201026,-
697581,25406059,TCARB_RS02935,TCARB_RS02935,TCARB_0611,-,-,-,DASS family sodium-coupled anion symporter,protein-coding,-,-,-,DASS family sodium-coupled anion symporter,20210424,-
697581,25406060,hypD,TCARB_RS02940,TCARB_0612,-,-,-,hydrogenase formation protein HypD,protein-coding,-,-,-,hydrogenase formation protein HypD,20200829,-
697581,25406061,TCARB_RS02945,TCARB_RS02945,TCARB_0613,-,-,-,HypC/HybG/HupF family hydrogenase formation chaperone,protein-coding,-,-,-,HypC/HybG/HupF family hydrogenase formation chaperone,20201026,-
697581,25406062,hypE,TCARB_RS02950,TCARB_0614,-,-,-,hydrogenase expression/formation protein HypE,protein-coding,-,-,-,hydrogenase expression/formation protein HypE,20201026,-
697581,25406063,TCARB_RS02955,TCARB_RS02955,TCARB_0616,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25406064,TCARB_RS02960,TCARB_RS02960,-,-,-,-,DUF86 domain-containing protein,protein-coding,-,-,-,DUF86 domain-containing protein,20200829,-
697581,25406065,TCARB_RS02965,TCARB_RS02965,-,-,-,-,MBL fold metallo-hydrolase,protein-coding,-,-,-,MBL fold metallo-hydrolase,20201026,-
697581,25406066,TCARB_RS02970,TCARB_RS02970,TCARB_0618,-,-,-,AMP-binding protein,protein-coding,-,-,-,AMP-binding protein,20200829,-
697581,25406067,TCARB_RS02975,TCARB_RS02975,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406068,TCARB_RS02980,TCARB_RS02980,TCARB_0620,-,-,-,DUF134 domain-containing protein,protein-coding,-,-,-,DUF134 domain-containing protein,20210424,-
697581,25406069,TCARB_RS02985,TCARB_RS02985,TCARB_0621,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406070,pcp,TCARB_RS02990,TCARB_0622,-,-,-,pyroglutamyl-peptidase I,protein-coding,-,-,-,pyroglutamyl-peptidase I,20201026,-
697581,25406071,TCARB_RS02995,TCARB_RS02995,TCARB_0624,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20201026,-
697581,25406072,TCARB_RS03000,TCARB_RS03000,TCARB_0625,-,-,-,ATP-binding cassette domain-containing protein,protein-coding,-,-,-,ATP-binding cassette domain-containing protein,20200829,-
697581,25406073,TCARB_RS03005,TCARB_RS03005,TCARB_0626,-,-,-,PadR family transcriptional regulator,protein-coding,-,-,-,PadR family transcriptional regulator,20200829,-
697581,25406074,TCARB_RS03010,TCARB_RS03010,TCARB_0627,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406075,TCARB_RS03015,TCARB_RS03015,TCARB_0628,-,-,-,SLC45 family MFS transporter,protein-coding,-,-,-,SLC45 family MFS transporter,20200919,-
697581,25406076,TCARB_RS03020,TCARB_RS03020,TCARB_0629,-,-,-,phosphate uptake regulator PhoU,protein-coding,-,-,-,phosphate uptake regulator PhoU,20201026,-
697581,25406077,TCARB_RS03025,TCARB_RS03025,TCARB_0630,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406078,TCARB_RS03030,TCARB_RS03030,TCARB_0631,-,-,-,DedA family protein,protein-coding,-,-,-,DedA family protein,20200829,-
697581,25406079,TCARB_RS03035,TCARB_RS03035,TCARB_0632,-,-,-,PD-(D/E)XK nuclease family protein,protein-coding,-,-,-,PD-(D/E)XK nuclease family protein,20201026,-
697581,25406080,TCARB_RS03040,TCARB_RS03040,TCARB_0633,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406081,TCARB_RS03045,TCARB_RS03045,TCARB_0635,-,-,-,mechanosensitive ion channel,protein-coding,-,-,-,mechanosensitive ion channel,20201026,-
697581,25406082,TCARB_RS03050,TCARB_RS03050,TCARB_0636,-,-,-,HEPN domain-containing protein,protein-coding,-,-,-,HEPN domain-containing protein,20200829,-
697581,25406083,TCARB_RS03055,TCARB_RS03055,TCARB_0637,-,-,-,nucleotidyltransferase domain-containing protein,protein-coding,-,-,-,nucleotidyltransferase domain-containing protein,20200829,-
697581,25406084,TCARB_RS03060,TCARB_RS03060,TCARB_0638,-,-,-,beta-galactosidase trimerization domain-containing protein,protein-coding,-,-,-,beta-galactosidase trimerization domain-containing protein,20200829,-
697581,25406085,TCARB_RS03065,TCARB_RS03065,TCARB_0639,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25406086,TCARB_RS03070,TCARB_RS03070,TCARB_0640,-,-,-,extracellular solute-binding protein,protein-coding,-,-,-,extracellular solute-binding protein,20201217,-
697581,25406087,TCARB_RS03075,TCARB_RS03075,TCARB_0641,-,-,-,sugar ABC transporter permease,protein-coding,-,-,-,sugar ABC transporter permease,20200829,-
697581,25406088,TCARB_RS03080,TCARB_RS03080,TCARB_0642,-,-,-,carbohydrate ABC transporter permease,protein-coding,-,-,-,carbohydrate ABC transporter permease,20200829,-
697581,25406089,TCARB_RS03085,TCARB_RS03085,TCARB_0643,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20200829,-
697581,25406090,TCARB_RS03090,TCARB_RS03090,TCARB_0644,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20201026,-
697581,25406091,TCARB_RS03095,TCARB_RS03095,TCARB_0646,-,-,-,amidohydrolase,protein-coding,-,-,-,amidohydrolase,20210424,-
697581,25406092,TCARB_RS03100,TCARB_RS03100,TCARB_0647,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20201026,-
697581,25406093,TCARB_RS03105,TCARB_RS03105,TCARB_0648,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25406094,TCARB_RS03110,TCARB_RS03110,TCARB_0649,-,-,-,DUF3782 domain-containing protein,protein-coding,-,-,-,DUF3782 domain-containing protein,20201026,-
697581,25406095,TCARB_RS03115,TCARB_RS03115,TCARB_0650,-,-,-,MBL fold metallo-hydrolase,protein-coding,-,-,-,MBL fold metallo-hydrolase,20200919,-
697581,25406096,TCARB_RS03120,TCARB_RS03120,TCARB_0651,-,-,-,type II toxin-antitoxin system HicB family antitoxin,protein-coding,-,-,-,type II toxin-antitoxin system HicB family antitoxin,20200829,-
697581,25406097,TCARB_RS03125,TCARB_RS03125,TCARB_0653,-,-,-,MBL fold metallo-hydrolase,protein-coding,-,-,-,MBL fold metallo-hydrolase,20200829,-
697581,25406098,TCARB_RS03130,TCARB_RS03130,TCARB_0654,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25406099,TCARB_RS03135,TCARB_RS03135,TCARB_0655,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406100,TCARB_RS03140,TCARB_RS03140,TCARB_0656,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20201026,-
697581,25406101,TCARB_RS03145,TCARB_RS03145,TCARB_0657,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25406102,TCARB_RS03150,TCARB_RS03150,TCARB_0658,-,-,-,geranylgeranylglycerol-phosphate geranylgeranyltransferase,protein-coding,-,-,-,geranylgeranylglycerol-phosphate geranylgeranyltransferase,20200829,-
697581,25406103,TCARB_RS03155,TCARB_RS03155,TCARB_0659,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201026,-
697581,25406104,TCARB_RS03160,TCARB_RS03160,TCARB_0660,-,-,-,PaREP1 family protein,protein-coding,-,-,-,PaREP1 family protein,20201026,-
697581,25406105,TCARB_RS03165,TCARB_RS03165,TCARB_0661,-,-,-,DUF86 domain-containing protein,protein-coding,-,-,-,DUF86 domain-containing protein,20201026,-
697581,25406106,TCARB_RS03170,TCARB_RS03170,TCARB_0662,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406107,TCARB_RS03175,TCARB_RS03175,TCARB_0663,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201026,-
697581,25406108,TCARB_RS03180,TCARB_RS03180,TCARB_0664,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406109,TCARB_RS03185,TCARB_RS03185,TCARB_0665,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20200829,-
697581,25406110,TCARB_RS03190,TCARB_RS03190,TCARB_0668,-,-,-,tropomyosin,protein-coding,-,-,-,tropomyosin,20200829,-
697581,25406111,TCARB_RS03195,TCARB_RS03195,TCARB_0669,-,-,-,PaREP1 family protein,protein-coding,-,-,-,PaREP1 family protein,20201026,-
697581,25406112,TCARB_RS03200,TCARB_RS03200,TCARB_0670,-,-,-,DUF3782 domain-containing protein,protein-coding,-,-,-,DUF3782 domain-containing protein,20201217,-
697581,25406113,TCARB_RS03205,TCARB_RS03205,TCARB_0671,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406114,TCARB_RS03210,TCARB_RS03210,TCARB_0672,-,-,-,glucose-1-phosphate thymidylyltransferase,protein-coding,-,-,-,glucose-1-phosphate thymidylyltransferase,20201026,-
697581,25406115,rfbB,TCARB_RS03215,TCARB_0673,-,-,-,"dTDP-glucose 4,6-dehydratase",protein-coding,-,-,-,"dTDP-glucose 4,6-dehydratase",20201026,-
697581,25406116,rfbD,TCARB_RS03220,TCARB_0674,-,-,-,dTDP-4-dehydrorhamnose reductase,protein-coding,-,-,-,dTDP-4-dehydrorhamnose reductase,20201026,-
697581,25406117,TCARB_RS03225,TCARB_RS03225,TCARB_0675,-,-,-,"dTDP-4-dehydrorhamnose 3,5-epimerase family protein",protein-coding,-,-,-,"dTDP-4-dehydrorhamnose 3,5-epimerase family protein",20200829,-
697581,25406118,TCARB_RS03230,TCARB_RS03230,TCARB_0676,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406119,TCARB_RS03235,TCARB_RS03235,TCARB_0678,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406120,TCARB_RS03240,TCARB_RS03240,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
697581,25406121,TCARB_RS03245,TCARB_RS03245,TCARB_0680,-,-,-,glycosyltransferase family 2 protein,protein-coding,-,-,-,glycosyltransferase family 2 protein,20200829,-
697581,25406122,TCARB_RS03250,TCARB_RS03250,TCARB_0681,-,-,-,DUF1972 domain-containing protein,protein-coding,-,-,-,DUF1972 domain-containing protein,20200829,-
697581,25406123,TCARB_RS03255,TCARB_RS03255,TCARB_0682,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200829,-
697581,25406124,TCARB_RS03260,TCARB_RS03260,TCARB_0683,-,-,-,glycosyltransferase family 2 protein,protein-coding,-,-,-,glycosyltransferase family 2 protein,20200829,-
697581,25406125,TCARB_RS03265,TCARB_RS03265,TCARB_0684,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
697581,25406126,TCARB_RS03270,TCARB_RS03270,TCARB_0685,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210529,-
697581,25406127,TCARB_RS03275,TCARB_RS03275,TCARB_0686,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20200829,-
697581,25406128,TCARB_RS03280,TCARB_RS03280,TCARB_0687,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406129,TCARB_RS03285,TCARB_RS03285,-,-,-,-,class I SAM-dependent methyltransferase,protein-coding,-,-,-,class I SAM-dependent methyltransferase,20200919,-
697581,25406131,TCARB_RS03295,TCARB_RS03295,TCARB_0689,-,-,-,nucleotide sugar dehydrogenase,protein-coding,-,-,-,nucleotide sugar dehydrogenase,20201217,-
697581,25406132,wecB,TCARB_RS03300,TCARB_0690,-,-,-,UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing),protein-coding,-,-,-,UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing),20200919,-
697581,25406133,TCARB_RS03305,TCARB_RS03305,TCARB_0691,-,-,-,TIGR04076 family protein,protein-coding,-,-,-,TIGR04076 family protein,20200829,-
697581,25406134,TCARB_RS03310,TCARB_RS03310,TCARB_0692,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406135,TCARB_RS03315,TCARB_RS03315,TCARB_0693,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
697581,25406136,TCARB_RS03320,TCARB_RS03320,TCARB_0694,-,-,-,PaREP1 family protein,protein-coding,-,-,-,PaREP1 family protein,20200919,-
697581,25406137,TCARB_RS03325,TCARB_RS03325,TCARB_0695,-,-,-,type II toxin-antitoxin system VapC family toxin,protein-coding,-,-,-,type II toxin-antitoxin system VapC family toxin,20200829,-
697581,25406138,TCARB_RS03330,TCARB_RS03330,TCARB_0696,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20200919,-
697581,25406139,TCARB_RS03335,TCARB_RS03335,TCARB_0697,-,-,-,type II toxin-antitoxin system HicB family antitoxin,protein-coding,-,-,-,type II toxin-antitoxin system HicB family antitoxin,20200919,-
697581,25406140,TCARB_RS03340,TCARB_RS03340,TCARB_0699,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20200829,-
697581,25406141,TCARB_RS03345,TCARB_RS03345,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200829,-
