#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1033806,16545868,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Halorhabdus tiamatea JCM 14471; Halorhabdus tiamatea str. SARL4B; Halorhabdus tiamatea strain SARL4B).,other,-,-,-,-,20180801,-
1033806,23797859,HTIA_RS04015,HTIA_RS04015,HTIA_0806,-,I,-,chemotaxis protein CheC,protein-coding,-,-,-,chemotaxis protein CheC,20210312,-
1033806,23797860,HTIA_RS04010,HTIA_RS04010,HTIA_0805,-,I,-,response regulator,protein-coding,-,-,-,response regulator,20210312,-
1033806,23797861,HTIA_RS04005,HTIA_RS04005,HTIA_0804,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797862,HTIA_RS04000,HTIA_RS04000,HTIA_0803,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797863,HTIA_RS03995,HTIA_RS03995,HTIA_0802,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797864,HTIA_RS03990,HTIA_RS03990,HTIA_0801,-,I,-,flagellin,protein-coding,-,-,-,flagellin,20210312,-
1033806,23797865,HTIA_RS03985,HTIA_RS03985,HTIA_0800,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797866,HTIA_RS03980,HTIA_RS03980,HTIA_0799,-,I,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20210312,-
1033806,23797867,HTIA_RS03975,HTIA_RS03975,HTIA_0798,-,I,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210312,-
1033806,23797868,HTIA_RS03970,HTIA_RS03970,HTIA_0797,-,I,-,purine-binding chemotaxis protein CheW,protein-coding,-,-,-,purine-binding chemotaxis protein CheW,20210312,-
1033806,23797869,HTIA_RS03965,HTIA_RS03965,HTIA_0796,-,I,-,chemotaxis response regulator protein-glutamate methylesterase,protein-coding,-,-,-,chemotaxis response regulator protein-glutamate methylesterase,20210312,-
1033806,23797870,HTIA_RS03960,HTIA_RS03960,HTIA_0795,-,I,-,chemotaxis protein CheA,protein-coding,-,-,-,chemotaxis protein CheA,20210312,-
1033806,23797871,HTIA_RS03955,HTIA_RS03955,HTIA_0794,-,I,-,protein-glutamate O-methyltransferase CheR,protein-coding,-,-,-,protein-glutamate O-methyltransferase CheR,20210312,-
1033806,23797872,HTIA_RS03950,HTIA_RS03950,HTIA_0793,-,I,-,HEAT repeat domain-containing protein,protein-coding,-,-,-,HEAT repeat domain-containing protein,20210312,-
1033806,23797873,HTIA_RS03945,HTIA_RS03945,HTIA_0792,-,I,-,CheF family chemotaxis protein,protein-coding,-,-,-,CheF family chemotaxis protein,20210312,-
1033806,23797874,HTIA_RS03940,HTIA_RS03940,HTIA_0791,-,I,-,CheF family chemotaxis protein,protein-coding,-,-,-,CheF family chemotaxis protein,20210312,-
1033806,23797875,HTIA_RS03935,HTIA_RS03935,HTIA_0790,-,I,-,30S ribosomal protein S6e,protein-coding,-,-,-,30S ribosomal protein S6e,20210312,-
1033806,23797876,HTIA_RS03930,HTIA_RS03930,HTIA_0789,-,I,-,CopD family protein,protein-coding,-,-,-,CopD family protein,20210312,-
1033806,23797877,HTIA_RS03925,HTIA_RS03925,HTIA_0788,-,I,-,chemotaxis protein CheC,protein-coding,-,-,-,chemotaxis protein CheC,20210312,-
1033806,23797878,HTIA_RS03920,HTIA_RS03920,HTIA_0787,-,I,-,squalene/phytoene synthase family protein,protein-coding,-,-,-,squalene/phytoene synthase family protein,20210312,-
1033806,23797879,HTIA_RS03915,HTIA_RS03915,HTIA_0786,-,I,-,cystathionine gamma-synthase,protein-coding,-,-,-,cystathionine gamma-synthase,20210312,-
1033806,23797880,HTIA_RS03910,HTIA_RS03910,HTIA_0785,-,I,-,PLP-dependent cysteine synthase family protein,protein-coding,-,-,-,PLP-dependent cysteine synthase family protein,20210312,-
1033806,23797881,HTIA_RS03905,HTIA_RS03905,HTIA_0784,-,I,-,DHH family phosphoesterase,protein-coding,-,-,-,DHH family phosphoesterase,20210312,-
1033806,23797882,HTIA_RS03900,HTIA_RS03900,HTIA_0783,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797883,HTIA_RS03895,HTIA_RS03895,HTIA_0782,-,I,-,IS5-like element ISHti8 family transposase,protein-coding,-,-,-,IS5-like element ISHti8 family transposase,20210312,-
1033806,23797885,HTIA_RS03885,HTIA_RS03885,HTIA_0781,-,I,-,uroporphyrinogen-III synthase,protein-coding,-,-,-,uroporphyrinogen-III synthase,20210312,-
1033806,23797886,hemC,HTIA_RS03880,HTIA_0780,-,I,-,hydroxymethylbilane synthase,protein-coding,-,-,-,hydroxymethylbilane synthase,20210312,-
1033806,23797887,HTIA_RS03875,HTIA_RS03875,HTIA_0779,-,I,-,"CDP-2,3-bis-(O-geranylgeranyl)-sn-glycerol synthase",protein-coding,-,-,-,"CDP-2,3-bis-(O-geranylgeranyl)-sn-glycerol synthase",20210312,-
1033806,23797888,HTIA_RS03870,HTIA_RS03870,HTIA_0778,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797889,pyrF,HTIA_RS03865,HTIA_0777,-,I,-,orotidine-5'-phosphate decarboxylase,protein-coding,-,-,-,orotidine-5'-phosphate decarboxylase,20210312,-
1033806,23797890,HTIA_RS03860,HTIA_RS03860,HTIA_0776,-,I,-,HAD family hydrolase,protein-coding,-,-,-,HAD family hydrolase,20210312,-
1033806,23797891,HTIA_RS03855,HTIA_RS03855,HTIA_0775,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797892,HTIA_RS03850,HTIA_RS03850,HTIA_0774,-,I,-,DUF2240 family protein,protein-coding,-,-,-,DUF2240 family protein,20210312,-
1033806,23797893,HTIA_RS03845,HTIA_RS03845,HTIA_0773,-,I,-,ferredoxin,protein-coding,-,-,-,ferredoxin,20210312,-
1033806,23797894,HTIA_RS03840,HTIA_RS03840,HTIA_0772,-,I,-,30S ribosomal protein S8e,protein-coding,-,-,-,30S ribosomal protein S8e,20210312,-
1033806,23797895,HTIA_RS03835,HTIA_RS03835,HTIA_0771,-,I,-,phosphate uptake regulator PhoU,protein-coding,-,-,-,phosphate uptake regulator PhoU,20210312,-
1033806,23797896,HTIA_RS03830,HTIA_RS03830,HTIA_0770,-,I,-,phosphate ABC transporter substrate-binding protein PstS family protein,protein-coding,-,-,-,phosphate ABC transporter substrate-binding protein PstS family protein,20210312,-
1033806,23797897,pstC,HTIA_RS03825,HTIA_0769,-,I,-,phosphate ABC transporter permease subunit PstC,protein-coding,-,-,-,phosphate ABC transporter permease subunit PstC,20210312,-
1033806,23797898,pstA,HTIA_RS03820,HTIA_0768,-,I,-,phosphate ABC transporter permease PstA,protein-coding,-,-,-,phosphate ABC transporter permease PstA,20210312,-
1033806,23797899,pstB,HTIA_RS03815,HTIA_0767,-,I,-,phosphate ABC transporter ATP-binding protein,protein-coding,-,-,-,phosphate ABC transporter ATP-binding protein,20210312,-
1033806,23797900,phoU,HTIA_RS03810,HTIA_0766,-,I,-,phosphate signaling complex protein PhoU,protein-coding,-,-,-,phosphate signaling complex protein PhoU,20210312,-
1033806,23797901,radB,HTIA_RS03805,HTIA_0765,-,I,-,DNA repair and recombination protein RadB,protein-coding,-,-,-,DNA repair and recombination protein RadB,20210312,-
1033806,23797902,HTIA_RS03800,HTIA_RS03800,HTIA_0764,-,I,-,Subtilisin protein,protein-coding,-,-,-,Subtilisin protein,20210312,-
1033806,23797903,HTIA_RS03795,HTIA_RS03795,HTIA_0763,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797904,larC,HTIA_RS03790,HTIA_0762,-,I,-,nickel pincer cofactor biosynthesis protein LarC,protein-coding,-,-,-,nickel pincer cofactor biosynthesis protein LarC,20210312,-
1033806,23797905,HTIA_RS03785,HTIA_RS03785,HTIA_0761,-,I,-,ketopantoate reductase family protein,protein-coding,-,-,-,ketopantoate reductase family protein,20210312,-
1033806,23797906,HTIA_RS03780,HTIA_RS03780,HTIA_0760,-,I,-,NifU family protein,protein-coding,-,-,-,NifU family protein,20210312,-
1033806,23797907,HTIA_RS03775,HTIA_RS03775,HTIA_0759,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797908,HTIA_RS03770,HTIA_RS03770,HTIA_0758,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797909,HTIA_RS03765,HTIA_RS03765,HTIA_0757,-,I,-,2-oxoacid:ferredoxin oxidoreductase subunit beta,protein-coding,-,-,-,2-oxoacid:ferredoxin oxidoreductase subunit beta,20210312,-
1033806,23797910,HTIA_RS03760,HTIA_RS03760,HTIA_0756,-,I,-,2-oxoacid:acceptor oxidoreductase subunit alpha,protein-coding,-,-,-,2-oxoacid:acceptor oxidoreductase subunit alpha,20210312,-
1033806,23797912,HTIA_RS03750,HTIA_RS03750,HTIA_0755,-,I,-,FAD-dependent oxidoreductase,protein-coding,-,-,-,FAD-dependent oxidoreductase,20210312,-
1033806,23797913,ftsZ,HTIA_RS03745,HTIA_0754,-,I,-,cell division protein FtsZ,protein-coding,-,-,-,cell division protein FtsZ,20210312,-
1033806,23797914,HTIA_RS03740,HTIA_RS03740,HTIA_0753,-,I,-,protein translocase SEC61 complex subunit gamma,protein-coding,-,-,-,protein translocase SEC61 complex subunit gamma,20210312,-
1033806,23797915,HTIA_RS03735,HTIA_RS03735,HTIA_0752,-,I,-,transcription elongation factor Spt5,protein-coding,-,-,-,transcription elongation factor Spt5,20210312,-
1033806,23797916,HTIA_RS03730,HTIA_RS03730,HTIA_0751,-,I,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210312,-
1033806,23797917,HTIA_RS03725,HTIA_RS03725,HTIA_0750,-,I,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210312,-
1033806,23797918,HTIA_RS03720,HTIA_RS03720,HTIA_0748,-,I,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210312,-
1033806,23797919,HTIA_RS03715,HTIA_RS03715,HTIA_0747,-,I,-,phosphoadenosine phosphosulfate reductase family protein,protein-coding,-,-,-,phosphoadenosine phosphosulfate reductase family protein,20210312,-
1033806,23797920,HTIA_RS03710,HTIA_RS03710,HTIA_0746,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797921,HTIA_RS03705,HTIA_RS03705,HTIA_0745,-,I,-,NAD(P)/FAD-dependent oxidoreductase,protein-coding,-,-,-,NAD(P)/FAD-dependent oxidoreductase,20210312,-
1033806,23797922,HTIA_RS03700,HTIA_RS03700,HTIA_0744,-,I,-,2Fe-2S iron-sulfur cluster binding domain-containing protein,protein-coding,-,-,-,2Fe-2S iron-sulfur cluster binding domain-containing protein,20210312,-
1033806,23797923,HTIA_RS03695,HTIA_RS03695,HTIA_0743,-,I,-,geranylgeranyl reductase family protein,protein-coding,-,-,-,geranylgeranyl reductase family protein,20210312,-
1033806,23797924,HTIA_RS03690,HTIA_RS03690,HTIA_0742,-,I,-,amidohydrolase,protein-coding,-,-,-,amidohydrolase,20210312,-
1033806,23797925,HTIA_RS03685,HTIA_RS03685,HTIA_0741,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797926,HTIA_RS03680,HTIA_RS03680,HTIA_0740,-,I,-,NUDIX domain-containing protein,protein-coding,-,-,-,NUDIX domain-containing protein,20210312,-
1033806,23797927,HTIA_RS03675,HTIA_RS03675,HTIA_0739,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797928,HTIA_RS03670,HTIA_RS03670,HTIA_0738,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797929,HTIA_RS03665,HTIA_RS03665,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797930,HTIA_RS03660,HTIA_RS03660,HTIA_0736,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797931,HTIA_RS03655,HTIA_RS03655,HTIA_0735,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797932,HTIA_RS03650,HTIA_RS03650,HTIA_0734,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797933,HTIA_RS03645,HTIA_RS03645,HTIA_0733,-,I,-,Mut7-C RNAse domain-containing protein,protein-coding,-,-,-,Mut7-C RNAse domain-containing protein,20210312,-
1033806,23797934,HTIA_RS03640,HTIA_RS03640,HTIA_0732,-,I,-,alpha-glucuronidase,protein-coding,-,-,-,alpha-glucuronidase,20210312,-
1033806,23797935,HTIA_RS03635,HTIA_RS03635,HTIA_0731,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797936,HTIA_RS03630,HTIA_RS03630,HTIA_0730,-,I,-,transposase,protein-coding,-,-,-,transposase,20210312,-
1033806,23797937,uxaC,HTIA_RS03625,HTIA_0729,-,I,-,glucuronate isomerase,protein-coding,-,-,-,glucuronate isomerase,20210312,-
1033806,23797938,HTIA_RS03620,HTIA_RS03620,HTIA_0728,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797939,HTIA_RS03615,HTIA_RS03615,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797940,HTIA_RS03610,HTIA_RS03610,HTIA_0726,-,I,-,mannonate dehydratase,protein-coding,-,-,-,mannonate dehydratase,20210406,-
1033806,23797941,HTIA_RS03605,HTIA_RS03605,HTIA_0725,-,I,-,SDR family oxidoreductase,protein-coding,-,-,-,SDR family oxidoreductase,20210312,-
1033806,23797942,HTIA_RS03600,HTIA_RS03600,HTIA_0724,-,I,-,glycoside hydrolase family 3 C-terminal domain-containing protein,protein-coding,-,-,-,glycoside hydrolase family 3 C-terminal domain-containing protein,20210605,-
1033806,23797943,HTIA_RS03595,HTIA_RS03595,HTIA_0723,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797944,HTIA_RS03590,HTIA_RS03590,HTIA_0722,-,I,-,Rrf2 family transcriptional regulator,protein-coding,-,-,-,Rrf2 family transcriptional regulator,20210312,-
1033806,23797945,HTIA_RS03585,HTIA_RS03585,HTIA_0721,-,I,-,glycoside hydrolase family 4,protein-coding,-,-,-,glycoside hydrolase family 4,20210312,-
1033806,23797946,HTIA_RS03580,HTIA_RS03580,HTIA_0720,-,I,-,carbohydrate ABC transporter substrate-binding protein,protein-coding,-,-,-,carbohydrate ABC transporter substrate-binding protein,20210312,-
1033806,23797947,HTIA_RS03575,HTIA_RS03575,HTIA_0719,-,I,-,transketolase,protein-coding,-,-,-,transketolase,20210312,-
1033806,23797948,HTIA_RS03570,HTIA_RS03570,HTIA_0718,-,I,-,transketolase family protein,protein-coding,-,-,-,transketolase family protein,20210312,-
1033806,23797949,fsa,HTIA_RS03565,HTIA_0717,-,I,-,fructose-6-phosphate aldolase,protein-coding,-,-,-,fructose-6-phosphate aldolase,20210312,-
1033806,23797950,HTIA_RS03560,HTIA_RS03560,HTIA_0716,-,I,-,PAS domain S-box protein,protein-coding,-,-,-,PAS domain S-box protein,20210312,-
1033806,23797951,HTIA_RS03555,HTIA_RS03555,HTIA_0715,-,I,-,aldo/keto reductase,protein-coding,-,-,-,aldo/keto reductase,20210312,-
1033806,23797952,HTIA_RS03550,HTIA_RS03550,HTIA_0714,-,I,-,triosephosphate isomerase,protein-coding,-,-,-,triosephosphate isomerase,20210312,-
1033806,23797953,HTIA_RS03545,HTIA_RS03545,HTIA_0713,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797954,prs,HTIA_RS03540,HTIA_0712,-,I,-,ribose-phosphate diphosphokinase,protein-coding,-,-,-,ribose-phosphate diphosphokinase,20210312,-
1033806,23797955,rpe,HTIA_RS03535,HTIA_0711,-,I,-,ribulose-phosphate 3-epimerase,protein-coding,-,-,-,ribulose-phosphate 3-epimerase,20210312,-
1033806,23797956,rpiA,HTIA_RS03530,HTIA_0710,-,I,-,ribose-5-phosphate isomerase RpiA,protein-coding,-,-,-,ribose-5-phosphate isomerase RpiA,20210312,-
1033806,23797957,HTIA_RS03525,HTIA_RS03525,HTIA_0709,-,I,-,pseudo,pseudo,-,-,-,-,20210312,-
1033806,23797958,HTIA_RS03520,HTIA_RS03520,HTIA_0708,-,I,-,VWA domain-containing protein,protein-coding,-,-,-,VWA domain-containing protein,20210312,-
1033806,23797959,HTIA_RS03515,HTIA_RS03515,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797960,HTIA_RS03510,HTIA_RS03510,HTIA_0707,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797961,HTIA_RS03505,HTIA_RS03505,-,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797962,HTIA_RS03500,HTIA_RS03500,HTIA_0706,-,I,-,ThuA domain-containing protein,protein-coding,-,-,-,ThuA domain-containing protein,20210312,-
1033806,23797963,HTIA_RS03495,HTIA_RS03495,HTIA_0705,-,I,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20210312,-
1033806,23797964,HTIA_RS03490,HTIA_RS03490,HTIA_0704,-,I,-,type II toxin-antitoxin system VapC family toxin,protein-coding,-,-,-,type II toxin-antitoxin system VapC family toxin,20210312,-
1033806,23797965,hflX,HTIA_RS03485,HTIA_0703,-,I,-,GTPase HflX,protein-coding,-,-,-,GTPase HflX,20210312,-
1033806,23797966,HTIA_RS03480,HTIA_RS03480,HTIA_0702,-,I,-,bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase,protein-coding,-,-,-,bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase,20210312,-
1033806,23797967,HTIA_RS03475,HTIA_RS03475,HTIA_0700,-,I,-,acylphosphatase,protein-coding,-,-,-,acylphosphatase,20210312,-
1033806,23797968,HTIA_RS03470,HTIA_RS03470,HTIA_0699,-,I,-,8-oxoguanine DNA glycosylase,protein-coding,-,-,-,8-oxoguanine DNA glycosylase,20210312,-
1033806,23797969,HTIA_RS03465,HTIA_RS03465,HTIA_0698,-,I,-,DUF555 domain-containing protein,protein-coding,-,-,-,DUF555 domain-containing protein,20210312,-
1033806,23797970,HTIA_RS03460,HTIA_RS03460,HTIA_0697,-,I,-,UPF0058 family protein,protein-coding,-,-,-,UPF0058 family protein,20210312,-
1033806,23797971,HTIA_RS03455,HTIA_RS03455,HTIA_0696,-,I,-,translation initiation factor IF-2 subunit beta,protein-coding,-,-,-,translation initiation factor IF-2 subunit beta,20210312,-
1033806,23797972,HTIA_RS03450,HTIA_RS03450,HTIA_0695,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797973,trxA,HTIA_RS03445,HTIA_0694,-,I,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210312,-
1033806,23797974,HTIA_RS03440,HTIA_RS03440,HTIA_0693,-,I,-,MarR family transcriptional regulator,protein-coding,-,-,-,MarR family transcriptional regulator,20210312,-
1033806,23797975,HTIA_RS03435,HTIA_RS03435,HTIA_0692,-,I,-,DnaJ domain-containing protein,protein-coding,-,-,-,DnaJ domain-containing protein,20210312,-
1033806,23797976,menD,HTIA_RS03430,HTIA_0691,-,I,-,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase,protein-coding,-,-,-,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase,20210312,-
1033806,23797977,HTIA_RS03425,HTIA_RS03425,HTIA_0690,-,I,-,isochorismate synthase,protein-coding,-,-,-,isochorismate synthase,20210312,-
1033806,23797978,HTIA_RS03420,HTIA_RS03420,HTIA_0689,-,I,-,amino acid-binding protein,protein-coding,-,-,-,amino acid-binding protein,20210312,-
1033806,23797979,HTIA_RS03415,HTIA_RS03415,HTIA_0688,-,I,-,homoserine dehydrogenase,protein-coding,-,-,-,homoserine dehydrogenase,20210312,-
1033806,23797980,HTIA_RS03410,HTIA_RS03410,HTIA_0687,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1033806,23797981,tuf,HTIA_RS03405,HTIA_0686,-,I,-,translation elongation factor EF-1 subunit alpha,protein-coding,-,-,-,translation elongation factor EF-1 subunit alpha,20210312,-
1033806,23797982,HTIA_RS03400,HTIA_RS03400,HTIA_0685,-,I,-,30S ribosomal protein S10,protein-coding,-,-,-,30S ribosomal protein S10,20210605,-
1033806,23797983,HTIA_RS03395,HTIA_RS03395,HTIA_0684,-,I,-,tRNA,tRNA,-,-,-,-,20210312,-
1033806,23797984,HTIA_RS03390,HTIA_RS03390,HTIA_0683,-,I,-,aminotransferase class V-fold PLP-dependent enzyme,protein-coding,-,-,-,aminotransferase class V-fold PLP-dependent enzyme,20210312,-
1033806,23797985,HTIA_RS03385,HTIA_RS03385,HTIA_0682,-,I,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210312,-
1033806,23797986,HTIA_RS03380,HTIA_RS03380,HTIA_0681,-,I,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20210312,-
1033806,23797987,HTIA_RS03375,HTIA_RS03375,HTIA_0680,-,I,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20210312,-
1033806,23797988,HTIA_RS03370,HTIA_RS03370,HTIA_0679,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23797989,HTIA_RS03365,HTIA_RS03365,HTIA_0678,-,I,-,zinc ribbon domain-containing protein,protein-coding,-,-,-,zinc ribbon domain-containing protein,20210312,-
1033806,23797990,HTIA_RS03360,HTIA_RS03360,HTIA_0677,-,I,-,tRNA,tRNA,-,-,-,-,20210312,-
1033806,23797991,HTIA_RS03355,HTIA_RS03355,HTIA_0676,-,I,-,DNA-directed RNA polymerase subunit H,protein-coding,-,-,-,DNA-directed RNA polymerase subunit H,20210312,-
1033806,23797992,HTIA_RS03350,HTIA_RS03350,HTIA_0675,-,I,-,DNA-directed RNA polymerase subunit B'',protein-coding,-,-,-,DNA-directed RNA polymerase subunit B'',20210312,-
1033806,23797993,rpoB,HTIA_RS03345,HTIA_0674,-,I,-,DNA-directed RNA polymerase subunit B,protein-coding,-,-,-,DNA-directed RNA polymerase subunit B,20210312,-
1033806,23797994,HTIA_RS03340,HTIA_RS03340,HTIA_0673,-,I,-,DNA-directed RNA polymerase subunit A',protein-coding,-,-,-,DNA-directed RNA polymerase subunit A',20210312,-
1033806,23797995,HTIA_RS03335,HTIA_RS03335,HTIA_0672,-,I,-,DNA-directed RNA polymerase subunit A'',protein-coding,-,-,-,DNA-directed RNA polymerase subunit A'',20210312,-
1033806,23797996,HTIA_RS03330,HTIA_RS03330,HTIA_0671,-,I,-,NusA-like transcription termination signal-binding factor,protein-coding,-,-,-,NusA-like transcription termination signal-binding factor,20210312,-
1033806,23797997,HTIA_RS03325,HTIA_RS03325,HTIA_0670,-,I,-,serpin family protein,protein-coding,-,-,-,serpin family protein,20210312,-
1033806,23797998,HTIA_RS03320,HTIA_RS03320,HTIA_0669,-,I,-,translation initiation factor IF-2 subunit beta,protein-coding,-,-,-,translation initiation factor IF-2 subunit beta,20210312,-
1033806,23797999,HTIA_RS03315,HTIA_RS03315,HTIA_0668,-,I,-,glycosyltransferase family 4 protein,protein-coding,-,-,-,glycosyltransferase family 4 protein,20210312,-
1033806,23798000,HTIA_RS03310,HTIA_RS03310,-,-,I,-,translation initiation factor eIF-1A,protein-coding,-,-,-,translation initiation factor eIF-1A,20210312,-
1033806,23798001,HTIA_RS03305,HTIA_RS03305,HTIA_0667,-,I,-,tRNA,tRNA,-,-,-,-,20210312,-
1033806,23798002,HTIA_RS03300,HTIA_RS03300,HTIA_0666,-,I,-,GNAT family N-acetyltransferase,protein-coding,-,-,-,GNAT family N-acetyltransferase,20210312,-
1033806,23798003,HTIA_RS03295,HTIA_RS03295,HTIA_0665,-,I,-,NAD(P)/FAD-dependent oxidoreductase,protein-coding,-,-,-,NAD(P)/FAD-dependent oxidoreductase,20210312,-
1033806,23798004,HTIA_RS03290,HTIA_RS03290,HTIA_0664,-,I,-,response regulator,protein-coding,-,-,-,response regulator,20210312,-
1033806,23798005,HTIA_RS03285,HTIA_RS03285,HTIA_0663,-,I,-,D-2-hydroxyacid dehydrogenase,protein-coding,-,-,-,D-2-hydroxyacid dehydrogenase,20210312,-
1033806,23798006,HTIA_RS03280,HTIA_RS03280,HTIA_0662,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798007,asd,HTIA_RS03275,HTIA_0661,-,I,-,aspartate-semialdehyde dehydrogenase,protein-coding,-,-,-,aspartate-semialdehyde dehydrogenase,20210312,-
1033806,23798008,HTIA_RS03270,HTIA_RS03270,HTIA_0660,-,I,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210312,-
1033806,23798009,HTIA_RS03265,HTIA_RS03265,HTIA_0659,-,I,-,30S ribosomal protein S17e,protein-coding,-,-,-,30S ribosomal protein S17e,20210312,-
1033806,23798010,HTIA_RS03260,HTIA_RS03260,HTIA_0658,-,I,-,DUF447 family protein,protein-coding,-,-,-,DUF447 family protein,20210312,-
1033806,23798011,HTIA_RS03255,HTIA_RS03255,HTIA_0657,-,I,-,triphosphoribosyl-dephospho-CoA synthase,protein-coding,-,-,-,triphosphoribosyl-dephospho-CoA synthase,20210312,-
1033806,23798012,HTIA_RS03250,HTIA_RS03250,HTIA_0656,-,I,-,tRNA-dihydrouridine synthase,protein-coding,-,-,-,tRNA-dihydrouridine synthase,20210312,-
1033806,23798013,HTIA_RS03245,HTIA_RS03245,HTIA_0655,-,I,-,2-phospho-L-lactate transferase,protein-coding,-,-,-,2-phospho-L-lactate transferase,20210312,-
1033806,23798014,HTIA_RS03240,HTIA_RS03240,HTIA_0654,-,I,-,protein phosphatase,protein-coding,-,-,-,protein phosphatase,20210312,-
1033806,23798015,HTIA_RS03235,HTIA_RS03235,HTIA_0653,-,I,-,HD domain-containing protein,protein-coding,-,-,-,HD domain-containing protein,20210312,-
1033806,23798016,HTIA_RS03230,HTIA_RS03230,HTIA_0652,-,I,-,amidohydrolase family protein,protein-coding,-,-,-,amidohydrolase family protein,20210312,-
1033806,23798017,HTIA_RS03225,HTIA_RS03225,HTIA_0651,-,I,-,universal stress protein,protein-coding,-,-,-,universal stress protein,20210312,-
1033806,23798018,ndk,HTIA_RS03220,HTIA_0650,-,I,-,nucleoside-diphosphate kinase,protein-coding,-,-,-,nucleoside-diphosphate kinase,20210312,-
1033806,23798019,HTIA_RS03215,HTIA_RS03215,HTIA_0649,-,I,-,50S ribosomal protein L24e,protein-coding,-,-,-,50S ribosomal protein L24e,20210312,-
1033806,23798020,HTIA_RS03210,HTIA_RS03210,HTIA_0648,-,I,-,30S ribosomal protein S28e,protein-coding,-,-,-,30S ribosomal protein S28e,20210312,-
