#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
7209,9937370,LOAG_00014,LOAG_00014,-,-,Unknown,-,6-phosphofructokinase,protein-coding,-,-,-,6-phosphofructokinase,20201104,-
7209,9941620,LOAG_04217,LOAG_04217,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941621,LOAG_04216,LOAG_04216,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941622,LOAG_04223,LOAG_04223,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941623,LOAG_04224,LOAG_04224,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941624,LOAG_04222,LOAG_04222,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941625,LOAG_04221,LOAG_04221,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941626,LOAG_04229,LOAG_04229,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941627,LOAG_04228,LOAG_04228,-,-,Unknown,-,cleavage and polyadenylation specificity factor subunit 5,protein-coding,-,-,-,cleavage and polyadenylation specificity factor subunit 5,20201104,-
7209,9941628,LOAG_17807,LOAG_17807,LOAG_04227,-,Unknown,-,DNA-directed RNA polymerase,protein-coding,-,-,-,DNA-directed RNA polymerase,20201104,-
7209,9941630,LOAG_04225,LOAG_04225,-,-,Unknown,-,heparan sulfate 2-O-sulfotransferase,protein-coding,-,-,-,heparan sulfate 2-O-sulfotransferase,20201104,-
7209,9941631,LOAG_04235,LOAG_04235,-,-,Unknown,-,leucine Rich Repeat family protein,protein-coding,-,-,-,leucine Rich Repeat family protein,20201104,-
7209,9941632,LOAG_04232,LOAG_04232,-,-,Unknown,-,chromatin assembly factor 1 subunit B,protein-coding,-,-,-,chromatin assembly factor 1 subunit B,20201104,-
7209,9941633,LOAG_04233,LOAG_04233,-,-,Unknown,-,tyrosyl-tRNA synthetase,protein-coding,-,-,-,tyrosyl-tRNA synthetase,20201104,-
7209,9941634,LOAG_04234,LOAG_04234,-,-,Unknown,-,endonuclease/Exonuclease/phosphatase,protein-coding,-,-,-,endonuclease/Exonuclease/phosphatase,20201104,-
7209,9941635,LOAG_04230,LOAG_04230,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941636,LOAG_04231,LOAG_04231,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941637,LOAG_17509,LOAG_17509,LOAG_04238,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941638,LOAG_04239,LOAG_04239,-,-,Unknown,-,ATP synthase g subunit family protein,protein-coding,-,-,-,ATP synthase g subunit family protein,20201104,-
7209,9941639,LOAG_04240,LOAG_04240,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941640,LOAG_04241,LOAG_04241,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941641,LOAG_04242,LOAG_04242,-,-,Unknown,-,repair protein Rad1/Rec1/Rad17 containing protein,protein-coding,-,-,-,repair protein Rad1/Rec1/Rad17 containing protein,20201104,-
7209,9941643,LOAG_17508,LOAG_17508,LOAG_04237,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941644,LOAG_04236,LOAG_04236,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941645,LOAG_04246,LOAG_04246,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941646,LOAG_04247,LOAG_04247,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941648,LOAG_04245,LOAG_04245,-,-,Unknown,-,sugar transporter,protein-coding,-,-,-,sugar transporter,20201104,-
7209,9941649,LOAG_17176,LOAG_17176,LOAG_04244,-,Unknown,-,STE/STE20/MSN protein kinase,protein-coding,-,-,-,STE/STE20/MSN protein kinase,20201104,-
7209,9941650,LOAG_04250,LOAG_04250,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941651,LOAG_04251,LOAG_04251,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941652,LOAG_04249,LOAG_04249,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941653,LOAG_04255,LOAG_04255,-,-,Unknown,-,MOFRL family protein,protein-coding,-,-,-,MOFRL family protein,20201104,-
7209,9941654,LOAG_04252,LOAG_04252,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941655,LOAG_04253,LOAG_04253,-,-,Unknown,-,transcription elongation factor SPT4,protein-coding,-,-,-,transcription elongation factor SPT4,20201104,-
7209,9941656,LOAG_04254,LOAG_04254,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941657,LOAG_04259,LOAG_04259,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941658,LOAG_04260,LOAG_04260,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941659,LOAG_04258,LOAG_04258,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941661,LOAG_04257,LOAG_04257,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941662,LOAG_04263,LOAG_04263,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941663,LOAG_04264,LOAG_04264,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941664,LOAG_04262,LOAG_04262,-,-,Unknown,-,DNA replication licensing factor mcm-6,protein-coding,-,-,-,DNA replication licensing factor mcm-6,20201104,-
7209,9941665,LOAG_04261,LOAG_04261,-,-,Unknown,-,TPR Domain containing protein,protein-coding,-,-,-,TPR Domain containing protein,20201104,-
7209,9941666,LOAG_04267,LOAG_04267,-,-,Unknown,-,YjeF,protein-coding,-,-,-,YjeF,20201104,-
7209,9941667,LOAG_04268,LOAG_04268,-,-,Unknown,-,alkyldihydroxyacetonephosphate synthase,protein-coding,-,-,-,alkyldihydroxyacetonephosphate synthase,20201104,-
7209,9941668,LOAG_04269,LOAG_04269,-,-,Unknown,-,60S ribosomal protein L12,protein-coding,-,-,-,60S ribosomal protein L12,20201104,-
7209,9941669,LOAG_04270,LOAG_04270,-,-,Unknown,-,CCR4-NOT transcription complex subunit 7,protein-coding,-,-,-,CCR4-NOT transcription complex subunit 7,20201104,-
7209,9941670,LOAG_04266,LOAG_04266,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941672,LOAG_04272,LOAG_04272,-,-,Unknown,-,zinc finger protein,protein-coding,-,-,-,zinc finger protein,20201104,-
7209,9941673,LOAG_04273,LOAG_04273,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941674,LOAG_04271,LOAG_04271,-,-,Unknown,-,ER lumen protein retaining receptor,protein-coding,-,-,-,ER lumen protein retaining receptor,20201104,-
7209,9941675,LOAG_04276,LOAG_04276,-,-,Unknown,-,elongation factor TS family protein,protein-coding,-,-,-,elongation factor TS family protein,20201104,-
7209,9941676,LOAG_16498,LOAG_16498,LOAG_04275,-,Unknown,-,CBR-TAG-333 protein,protein-coding,-,-,-,CBR-TAG-333 protein,20201104,-
7209,9941679,LOAG_16775,LOAG_16775,LOAG_04281,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941680,LOAG_16774,LOAG_16774,LOAG_04279,-,Unknown,-,RanBP1 domain-containing protein,protein-coding,-,-,-,RanBP1 domain-containing protein,20201104,-
7209,9941681,LOAG_04278,LOAG_04278,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941683,LOAG_04284,LOAG_04284,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941684,LOAG_04285,LOAG_04285,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941685,LOAG_04283,LOAG_04283,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941686,LOAG_04282,LOAG_04282,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941687,LOAG_04289,LOAG_04289,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941688,LOAG_04288,LOAG_04288,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941689,LOAG_18567,LOAG_18567,LOAG_04287,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941691,LOAG_04293,LOAG_04293,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941693,LOAG_04292,LOAG_04292,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941694,LOAG_04291,LOAG_04291,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941695,LOAG_04290,LOAG_04290,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941696,LOAG_04297,LOAG_04297,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941697,LOAG_04298,LOAG_04298,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941698,LOAG_04296,LOAG_04296,-,-,Unknown,-,variant SH3 domain-containing protein,protein-coding,-,-,-,variant SH3 domain-containing protein,20201104,-
7209,9941699,LOAG_04295,LOAG_04295,-,-,Unknown,-,collagen protein 14,protein-coding,-,-,-,collagen protein 14,20201104,-
7209,9941700,LOAG_16849,LOAG_16849,LOAG_04300,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941701,LOAG_04299,LOAG_04299,-,-,Unknown,-,C2 domain-containing protein,protein-coding,-,-,-,C2 domain-containing protein,20201104,-
7209,9941702,LOAG_04304,LOAG_04304,-,-,Unknown,-,DRS-2 protein,protein-coding,-,-,-,DRS-2 protein,20201104,-
7209,9941703,LOAG_04305,LOAG_04305,-,-,Unknown,-,DRS-2 protein,protein-coding,-,-,-,DRS-2 protein,20201104,-
7209,9941704,LOAG_16558,LOAG_16558,LOAG_04306,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941705,LOAG_04302,LOAG_04302,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941706,LOAG_04303,LOAG_04303,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941707,LOAG_04301,LOAG_04301,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941708,LOAG_04309,LOAG_04309,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941709,LOAG_04308,LOAG_04308,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941710,LOAG_04307,LOAG_04307,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941711,LOAG_04312,LOAG_04312,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941712,LOAG_04313,LOAG_04313,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941713,LOAG_18040,LOAG_18040,LOAG_04314,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941714,LOAG_04310,LOAG_04310,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941715,LOAG_20061,LOAG_20061,LOAG_20033,-,Unknown,-,tRNA,tRNA,-,-,-,-,20201104,-
7209,9941716,LOAG_04311,LOAG_04311,-,-,Unknown,-,TLK protein kinase,protein-coding,-,-,-,TLK protein kinase,20201104,-
7209,9941717,LOAG_04317,LOAG_04317,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941719,LOAG_04316,LOAG_04316,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941720,LOAG_17589,LOAG_17589,LOAG_04315,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941721,LOAG_04327,LOAG_04327,-,-,Unknown,-,cbs-prov protein,protein-coding,-,-,-,cbs-prov protein,20201104,-
7209,9941722,LOAG_04325,LOAG_04325,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941723,LOAG_17427,LOAG_17427,LOAG_04320,-,Unknown,-,EB module family protein,protein-coding,-,-,-,EB module family protein,20201104,-
7209,9941724,LOAG_04323,LOAG_04323,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941725,LOAG_04324,LOAG_04324,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941727,LOAG_04322,LOAG_04322,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941729,LOAG_04321,LOAG_04321,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941730,LOAG_04319,LOAG_04319,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941731,LOAG_04332,LOAG_04332,-,-,Unknown,-,arginine/serine-rich splicing factor 1B,protein-coding,-,-,-,arginine/serine-rich splicing factor 1B,20201104,-
7209,9941732,LOAG_04333,LOAG_04333,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941733,LOAG_04334,LOAG_04334,-,-,Unknown,-,arginine/serine-rich splicing factor 1,protein-coding,-,-,-,arginine/serine-rich splicing factor 1,20201104,-
7209,9941734,LOAG_04335,LOAG_04335,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941735,LOAG_20051,LOAG_20051,LOAG_20034,-,Unknown,-,tRNA,tRNA,-,-,-,-,20201104,-
7209,9941736,LOAG_04330,LOAG_04330,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941737,LOAG_04329,LOAG_04329,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941738,LOAG_04331,LOAG_04331,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941740,LOAG_17430,LOAG_17430,LOAG_04340,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941741,LOAG_04341,LOAG_04341,-,-,Unknown,-,FKBP-type peptidyl-prolyl cis-trans isomerase-30,protein-coding,-,-,-,FKBP-type peptidyl-prolyl cis-trans isomerase-30,20201104,-
7209,9941742,LOAG_04336,LOAG_04336,-,-,Unknown,-,eukaryotic translation initiation factor 4E type 3,protein-coding,-,-,-,eukaryotic translation initiation factor 4E type 3,20201104,-
7209,9941743,LOAG_04338,LOAG_04338,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941744,LOAG_04337,LOAG_04337,-,-,Unknown,-,melatonin receptor type 1A,protein-coding,-,-,-,melatonin receptor type 1A,20201104,-
7209,9941745,LOAG_04344,LOAG_04344,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941747,LOAG_04343,LOAG_04343,-,-,Unknown,-,cytokine inducible SH2-containing protein 5,protein-coding,-,-,-,cytokine inducible SH2-containing protein 5,20201104,-
7209,9941748,LOAG_04342,LOAG_04342,-,-,Unknown,-,ATPase,protein-coding,-,-,-,ATPase,20201104,-
7209,9941749,LOAG_04348,LOAG_04348,-,-,Unknown,-,30S ribosomal protein S28e,protein-coding,-,-,-,30S ribosomal protein S28e,20201104,-
7209,9941750,LOAG_04349,LOAG_04349,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941751,LOAG_04347,LOAG_04347,-,-,Unknown,-,structure-specific recognition protein 1,protein-coding,-,-,-,structure-specific recognition protein 1,20201104,-
7209,9941752,LOAG_04346,LOAG_04346,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941753,LOAG_04353,LOAG_04353,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941754,LOAG_04354,LOAG_04354,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941755,LOAG_04352,LOAG_04352,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941756,LOAG_04351,LOAG_04351,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941757,LOAG_18220,LOAG_18220,LOAG_04350,-,Unknown,-,RhoGAP domain-containing protein,protein-coding,-,-,-,RhoGAP domain-containing protein,20201104,-
7209,9941758,LOAG_04356,LOAG_04356,-,-,Unknown,-,abl-interactor 1,protein-coding,-,-,-,abl-interactor 1,20201104,-
7209,9941759,LOAG_04357,LOAG_04357,-,-,Unknown,-,ULK/ULK protein kinase,protein-coding,-,-,-,ULK/ULK protein kinase,20201104,-
7209,9941760,LOAG_04355,LOAG_04355,-,-,Unknown,-,fukutin,protein-coding,-,-,-,fukutin,20201104,-
7209,9941761,LOAG_04359,LOAG_04359,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941762,LOAG_04360,LOAG_04360,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941763,LOAG_18549,LOAG_18549,LOAG_04358,-,Unknown,-,CMGC/DYRK/PRP4 protein kinase,protein-coding,-,-,-,CMGC/DYRK/PRP4 protein kinase,20201104,-
7209,9941764,LOAG_04363,LOAG_04363,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941765,LOAG_04362,LOAG_04362,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941766,LOAG_04361,LOAG_04361,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941767,LOAG_04366,LOAG_04366,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941768,LOAG_04367,LOAG_04367,-,-,Unknown,-,50S ribosomal protein L16,protein-coding,-,-,-,50S ribosomal protein L16,20201104,-
7209,9941769,LOAG_04368,LOAG_04368,-,-,Unknown,-,CAMK/TRBL protein kinase,protein-coding,-,-,-,CAMK/TRBL protein kinase,20201104,-
7209,9941770,LOAG_16534,LOAG_16534,LOAG_04369,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941771,LOAG_04365,LOAG_04365,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941772,LOAG_04364,LOAG_04364,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941773,LOAG_04372,LOAG_04372,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941774,LOAG_04370,LOAG_04370,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941775,LOAG_18315,LOAG_18315,LOAG_04371,-,Unknown,-,zinc finger protein,protein-coding,-,-,-,zinc finger protein,20201104,-
7209,9941776,LOAG_04376,LOAG_04376,-,-,Unknown,-,fork head domain-containing protein,protein-coding,-,-,-,fork head domain-containing protein,20201104,-
7209,9941777,LOAG_04377,LOAG_04377,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941778,LOAG_04375,LOAG_04375,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941779,LOAG_04378,LOAG_04378,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941781,LOAG_16435,LOAG_16435,LOAG_04373,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941782,LOAG_04382,LOAG_04382,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941783,LOAG_04383,LOAG_04383,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941784,LOAG_04380,LOAG_04380,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941785,LOAG_04381,LOAG_04381,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941786,LOAG_04379,LOAG_04379,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941787,LOAG_04386,LOAG_04386,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941788,LOAG_04387,LOAG_04387,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941789,LOAG_04388,LOAG_04388,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941790,LOAG_04385,LOAG_04385,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941791,LOAG_04384,LOAG_04384,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941792,LOAG_04391,LOAG_04391,-,-,Unknown,-,60S ribosomal protein L21,protein-coding,-,-,-,60S ribosomal protein L21,20201104,-
7209,9941793,LOAG_04392,LOAG_04392,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941794,LOAG_04393,LOAG_04393,-,-,Unknown,-,BUD31 protein,protein-coding,-,-,-,BUD31 protein,20201104,-
7209,9941795,LOAG_17554,LOAG_17554,LOAG_04394,-,Unknown,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201104,-
7209,9941797,LOAG_04390,LOAG_04390,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941799,LOAG_18586,LOAG_18586,LOAG_04399,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941800,LOAG_04396,LOAG_04396,-,-,Unknown,-,T-box protein 2,protein-coding,-,-,-,T-box protein 2,20201104,-
7209,9941801,LOAG_04397,LOAG_04397,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941804,LOAG_04400,LOAG_04400,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941805,LOAG_04403,LOAG_04403,-,-,Unknown,-,TPR Domain containing protein,protein-coding,-,-,-,TPR Domain containing protein,20201104,-
7209,9941806,LOAG_04406,LOAG_04406,-,-,Unknown,-,G-patch domain-containing protein,protein-coding,-,-,-,G-patch domain-containing protein,20201104,-
7209,9941807,LOAG_16959,LOAG_16959,LOAG_04407,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941808,LOAG_04408,LOAG_04408,-,-,Unknown,-,membrane protein,protein-coding,-,-,-,membrane protein,20201104,-
7209,9941809,LOAG_04404,LOAG_04404,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941810,LOAG_04405,LOAG_04405,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941811,LOAG_04402,LOAG_04402,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941812,LOAG_04410,LOAG_04410,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941813,LOAG_04411,LOAG_04411,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941814,LOAG_04409,LOAG_04409,-,-,Unknown,-,cuticlin 1,protein-coding,-,-,-,cuticlin 1,20201104,-
7209,9941815,LOAG_04413,LOAG_04413,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941816,LOAG_17928,LOAG_17928,LOAG_04414,-,Unknown,-,RGC/RGC protein kinase,protein-coding,-,-,-,RGC/RGC protein kinase,20201104,-
7209,9941817,LOAG_04412,LOAG_04412,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941818,LOAG_04417,LOAG_04417,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941819,LOAG_04415,LOAG_04415,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941820,LOAG_04416,LOAG_04416,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941821,LOAG_04420,LOAG_04420,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941822,LOAG_04421,LOAG_04421,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941823,LOAG_04422,LOAG_04422,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941824,LOAG_04419,LOAG_04419,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941825,LOAG_17561,LOAG_17561,LOAG_04418,-,Unknown,-,tubulin beta chain,protein-coding,-,-,-,tubulin beta chain,20201104,-
7209,9941826,LOAG_04425,LOAG_04425,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941827,LOAG_04426,LOAG_04426,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
7209,9941828,LOAG_04427,LOAG_04427,-,-,Unknown,-,TK/FER protein kinase,protein-coding,-,-,-,TK/FER protein kinase,20201104,-
7209,9941829,LOAG_04428,LOAG_04428,-,-,Unknown,-,polyubiquitin 1,protein-coding,-,-,-,polyubiquitin 1,20201104,-
7209,9941830,LOAG_16404,LOAG_16404,LOAG_04424,-,Unknown,-,kinesin motor domain-containing protein,protein-coding,-,-,-,kinesin motor domain-containing protein,20201104,-
7209,9941831,LOAG_04423,LOAG_04423,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201104,-
