#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
595528,14894399,CAOG_08376,CAOG_08376,-,-,Unknown,-,propionyl-CoA carboxylase subunit alpha,protein-coding,-,-,-,propionyl-CoA carboxylase subunit alpha,20201223,-
595528,14896467,CAOG_06460,CAOG_06460,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896468,CAOG_06461,CAOG_06461,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896471,CAOG_06464,CAOG_06464,-,-,Unknown,-,Dock7 protein,protein-coding,-,-,-,Dock7 protein,20201223,-
595528,14896472,CAOG_06465,CAOG_06465,-,-,Unknown,-,30S ribosomal protein S28e,protein-coding,-,-,-,30S ribosomal protein S28e,20201223,-
595528,14896473,CAOG_06466,CAOG_06466,-,-,Unknown,-,serine/threonine-protein phosphatase 4 regulatory subunit 1,protein-coding,-,-,-,serine/threonine-protein phosphatase 4 regulatory subunit 1,20201223,-
595528,14896474,CAOG_06467,CAOG_06467,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896475,CAOG_06468,CAOG_06468,-,-,Unknown,-,protein kinase APK1B,protein-coding,-,-,-,protein kinase APK1B,20201223,-
595528,14896476,CAOG_06469,CAOG_06469,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896477,CAOG_06470,CAOG_06470,-,-,Unknown,-,transcription factor unc-3,protein-coding,-,-,-,transcription factor unc-3,20201223,-
595528,14896478,CAOG_06471,CAOG_06471,-,-,Unknown,-,ATP-binding domain-containing protein 4,protein-coding,-,-,-,ATP-binding domain-containing protein 4,20201223,-
595528,14896479,CAOG_06472,CAOG_06472,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896480,CAOG_06473,CAOG_06473,-,-,Unknown,-,enoyl-CoA hydratase,protein-coding,-,-,-,enoyl-CoA hydratase,20201223,-
595528,14896481,CAOG_06474,CAOG_06474,-,-,Unknown,-,glycerol-3-phosphate acyltransferase,protein-coding,-,-,-,glycerol-3-phosphate acyltransferase,20201223,-
595528,14896482,CAOG_06475,CAOG_06475,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896483,CAOG_06476,CAOG_06476,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896484,CAOG_06477,CAOG_06477,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896485,CAOG_06478,CAOG_06478,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896486,CAOG_06479,CAOG_06479,-,-,Unknown,-,phospholipase D1,protein-coding,-,-,-,phospholipase D1,20201223,-
595528,14896487,CAOG_06480,CAOG_06480,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896488,CAOG_06481,CAOG_06481,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896489,CAOG_06482,CAOG_06482,-,-,Unknown,-,guanylate kinase,protein-coding,-,-,-,guanylate kinase,20201223,-
595528,14896490,CAOG_06483,CAOG_06483,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896491,CAOG_06484,CAOG_06484,-,-,Unknown,-,peroxisomal biogenesis factor 11 gamma,protein-coding,-,-,-,peroxisomal biogenesis factor 11 gamma,20201223,-
595528,14896492,CAOG_06485,CAOG_06485,-,-,Unknown,-,peptidyl-prolyl cis-trans isomerase-like 2,protein-coding,-,-,-,peptidyl-prolyl cis-trans isomerase-like 2,20201223,-
595528,14896493,CAOG_06486,CAOG_06486,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896494,CAOG_06487,CAOG_06487,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896495,CAOG_06488,CAOG_06488,-,-,Unknown,-,ubiquitin carboxyl-terminal hydrolase,protein-coding,-,-,-,ubiquitin carboxyl-terminal hydrolase,20201223,-
595528,14896496,CAOG_06489,CAOG_06489,-,-,Unknown,-,platelet-activating factor acetylhydrolase IB subunit alpha,protein-coding,-,-,-,platelet-activating factor acetylhydrolase IB subunit alpha,20201223,-
595528,14896497,CAOG_06490,CAOG_06490,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896498,CAOG_06491,CAOG_06491,-,-,Unknown,-,BRCA1/BRCA2-containing complex,protein-coding,-,-,-,BRCA1/BRCA2-containing complex,20201223,-
595528,14896499,CAOG_06492,CAOG_06492,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896500,CAOG_06493,CAOG_06493,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896501,CAOG_06494,CAOG_06494,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896502,CAOG_06495,CAOG_06495,-,-,Unknown,-,maf-like protein,protein-coding,-,-,-,maf-like protein,20201223,-
595528,14896503,CAOG_06496,CAOG_06496,-,-,Unknown,-,WD repeat-containing protein 91,protein-coding,-,-,-,WD repeat-containing protein 91,20201223,-
595528,14896504,CAOG_06497,CAOG_06497,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896505,CAOG_06498,CAOG_06498,-,-,Unknown,-,transcriptional repressor NF-X1,protein-coding,-,-,-,transcriptional repressor NF-X1,20201223,-
595528,14896506,CAOG_06499,CAOG_06499,-,-,Unknown,-,Nox1 protein,protein-coding,-,-,-,Nox1 protein,20201223,-
595528,14896507,CAOG_06500,CAOG_06500,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896508,CAOG_06501,CAOG_06501,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896509,CAOG_06502,CAOG_06502,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896510,CAOG_06503,CAOG_06503,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896511,CAOG_06504,CAOG_06504,-,-,Unknown,-,riboflavin-specific deaminase/GTP cyclohydrolase II,protein-coding,-,-,-,riboflavin-specific deaminase/GTP cyclohydrolase II,20201223,-
595528,14896512,CAOG_06505,CAOG_06505,-,-,Unknown,-,paxillin,protein-coding,-,-,-,paxillin,20201223,-
595528,14896513,CAOG_06506,CAOG_06506,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896514,CAOG_06507,CAOG_06507,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896515,CAOG_06508,CAOG_06508,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896516,CAOG_06509,CAOG_06509,-,-,Unknown,-,FAD dependent oxidoreductase,protein-coding,-,-,-,FAD dependent oxidoreductase,20201223,-
595528,14896517,CAOG_06510,CAOG_06510,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896518,CAOG_06511,CAOG_06511,-,-,Unknown,-,aldehyde dehydrogenase family 8 member A1,protein-coding,-,-,-,aldehyde dehydrogenase family 8 member A1,20201223,-
595528,14896519,CAOG_06512,CAOG_06512,-,-,Unknown,-,26S proteasome regulatory complex,protein-coding,-,-,-,26S proteasome regulatory complex,20201223,-
595528,14896520,CAOG_06513,CAOG_06513,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896521,CAOG_06514,CAOG_06514,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896522,CAOG_06515,CAOG_06515,-,-,Unknown,-,serine/threonine protein kinase,protein-coding,-,-,-,serine/threonine protein kinase,20201223,-
595528,14896523,CAOG_06516,CAOG_06516,-,-,Unknown,-,short-chain specific acyl-CoA dehydrogenase,protein-coding,-,-,-,short-chain specific acyl-CoA dehydrogenase,20201223,-
595528,14896524,CAOG_06517,CAOG_06517,-,-,Unknown,-,isoleucyl-tRNA synthetase,protein-coding,-,-,-,isoleucyl-tRNA synthetase,20201223,-
595528,14896525,CAOG_06518,CAOG_06518,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896526,CAOG_06519,CAOG_06519,-,-,Unknown,-,plasma membrane calcium-transporting ATPase 4,protein-coding,-,-,-,plasma membrane calcium-transporting ATPase 4,20201223,-
595528,14896527,CAOG_06520,CAOG_06520,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896528,CAOG_06521,CAOG_06521,-,-,Unknown,-,zinc finger CCCH domain-containing protein 37,protein-coding,-,-,-,zinc finger CCCH domain-containing protein 37,20201223,-
595528,14896529,CAOG_06522,CAOG_06522,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896530,CAOG_06523,CAOG_06523,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896531,CAOG_06524,CAOG_06524,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896532,CAOG_06525,CAOG_06525,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896533,CAOG_06526,CAOG_06526,-,-,Unknown,-,tubulin,protein-coding,-,-,-,tubulin,20201223,-
595528,14896534,CAOG_06527,CAOG_06527,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896535,CAOG_06528,CAOG_06528,-,-,Unknown,-,stretch responsive protein,protein-coding,-,-,-,stretch responsive protein,20201223,-
595528,14896536,CAOG_06529,CAOG_06529,-,-,Unknown,-,max-like protein X,protein-coding,-,-,-,max-like protein X,20201223,-
595528,14896537,CAOG_06530,CAOG_06530,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896538,CAOG_06531,CAOG_06531,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896539,CAOG_06532,CAOG_06532,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896540,CAOG_06533,CAOG_06533,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896541,CAOG_06534,CAOG_06534,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896542,CAOG_06535,CAOG_06535,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896543,CAOG_06536,CAOG_06536,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896544,CAOG_06537,CAOG_06537,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896545,CAOG_06538,CAOG_06538,-,-,Unknown,-,ribosome maturation protein SBDS,protein-coding,-,-,-,ribosome maturation protein SBDS,20201223,-
595528,14896548,CAOG_06541,CAOG_06541,-,-,Unknown,-,zic family member 4,protein-coding,-,-,-,zic family member 4,20201223,-
595528,14896549,CAOG_06542,CAOG_06542,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896550,CAOG_06543,CAOG_06543,-,-,Unknown,-,molybdopterin synthase sulfurylase,protein-coding,-,-,-,molybdopterin synthase sulfurylase,20201223,-
595528,14896551,CAOG_06544,CAOG_06544,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896552,CAOG_06545,CAOG_06545,-,-,Unknown,-,"O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1",protein-coding,-,-,-,"O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1",20201223,-
595528,14896553,CAOG_06546,CAOG_06546,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896554,CAOG_06547,CAOG_06547,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896555,CAOG_06548,CAOG_06548,-,-,Unknown,-,neutral sphingomyelinase activation associated factor,protein-coding,-,-,-,neutral sphingomyelinase activation associated factor,20201223,-
595528,14896556,CAOG_06549,CAOG_06549,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896557,CAOG_06550,CAOG_06550,-,-,Unknown,-,branched chain alpha-ketoacid dehydrogenase kinase,protein-coding,-,-,-,branched chain alpha-ketoacid dehydrogenase kinase,20201223,-
595528,14896558,CAOG_06551,CAOG_06551,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896559,CAOG_06552,CAOG_06552,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896560,CAOG_06553,CAOG_06553,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896561,CAOG_06554,CAOG_06554,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896562,CAOG_06555,CAOG_06555,-,-,Unknown,-,short-chain dehydrogenase/reductase SDR,protein-coding,-,-,-,short-chain dehydrogenase/reductase SDR,20201223,-
595528,14896563,CAOG_06556,CAOG_06556,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896564,CAOG_06557,CAOG_06557,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896565,CAOG_06558,CAOG_06558,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896566,CAOG_06559,CAOG_06559,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896567,CAOG_06560,CAOG_06560,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896568,CAOG_06561,CAOG_06561,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896569,CAOG_06562,CAOG_06562,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896570,CAOG_06563,CAOG_06563,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896571,CAOG_06564,CAOG_06564,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896572,CAOG_06565,CAOG_06565,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896573,CAOG_06566,CAOG_06566,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896574,CAOG_06567,CAOG_06567,-,-,Unknown,-,serine/threonine-protein kinase PBS1,protein-coding,-,-,-,serine/threonine-protein kinase PBS1,20201223,-
595528,14896575,CAOG_06568,CAOG_06568,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896576,CAOG_06569,CAOG_06569,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896577,CAOG_06570,CAOG_06570,-,-,Unknown,-,proto-oncogene tyrosine-protein kinase FYN,protein-coding,-,-,-,proto-oncogene tyrosine-protein kinase FYN,20201223,-
595528,14896578,CAOG_06571,CAOG_06571,-,-,Unknown,-,short-chain dehydrogenase/reductase SDR,protein-coding,-,-,-,short-chain dehydrogenase/reductase SDR,20201223,-
595528,14896579,CAOG_06572,CAOG_06572,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896580,CAOG_06573,CAOG_06573,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896581,CAOG_06574,CAOG_06574,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896582,CAOG_06575,CAOG_06575,-,-,Unknown,-,N-acetylglucosamine kinase,protein-coding,-,-,-,N-acetylglucosamine kinase,20201223,-
595528,14896583,CAOG_06576,CAOG_06576,-,-,Unknown,-,ubiquitin-like modifier-activating enzyme 1,protein-coding,-,-,-,ubiquitin-like modifier-activating enzyme 1,20201223,-
595528,14896584,CAOG_06577,CAOG_06577,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896585,CAOG_06578,CAOG_06578,-,-,Unknown,-,inosine monophosphate dehydrogenase 2,protein-coding,-,-,-,inosine monophosphate dehydrogenase 2,20201223,-
595528,14896586,CAOG_06579,CAOG_06579,-,-,Unknown,-,patatin-like phospholipase domain-containing protein,protein-coding,-,-,-,patatin-like phospholipase domain-containing protein,20201223,-
595528,14896587,CAOG_06580,CAOG_06580,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896588,CAOG_06581,CAOG_06581,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896589,CAOG_06582,CAOG_06582,-,-,Unknown,-,tyrosine-protein kinase transforming protein Fes,protein-coding,-,-,-,tyrosine-protein kinase transforming protein Fes,20201223,-
595528,14896590,CAOG_06583,CAOG_06583,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896591,CAOG_06584,CAOG_06584,-,-,Unknown,-,splicing factor 3a subunit 2,protein-coding,-,-,-,splicing factor 3a subunit 2,20201223,-
595528,14896592,CAOG_06585,CAOG_06585,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896593,CAOG_06586,CAOG_06586,-,-,Unknown,-,fimbrin,protein-coding,-,-,-,fimbrin,20201223,-
595528,14896598,CAOG_06591,CAOG_06591,-,-,Unknown,-,adenylosuccinate lyase,protein-coding,-,-,-,adenylosuccinate lyase,20201223,-
595528,14896599,CAOG_06592,CAOG_06592,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896600,CAOG_06593,CAOG_06593,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896601,CAOG_06594,CAOG_06594,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896602,CAOG_06595,CAOG_06595,-,-,Unknown,-,ribose-phosphate pyrophosphokinase 2,protein-coding,-,-,-,ribose-phosphate pyrophosphokinase 2,20201223,-
595528,14896603,CAOG_06213,CAOG_06213,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896604,CAOG_05796,CAOG_05796,-,-,Unknown,-,tyrosine-protein kinase transforming protein ros,protein-coding,-,-,-,tyrosine-protein kinase transforming protein ros,20201223,-
595528,14896605,CAOG_05797,CAOG_05797,-,-,Unknown,-,ferredoxin 1-like protein,protein-coding,-,-,-,ferredoxin 1-like protein,20201223,-
595528,14896606,CAOG_05798,CAOG_05798,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896607,CAOG_05799,CAOG_05799,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896608,CAOG_05800,CAOG_05800,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896609,CAOG_05801,CAOG_05801,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896610,CAOG_05802,CAOG_05802,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896611,CAOG_05803,CAOG_05803,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896612,CAOG_05804,CAOG_05804,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896613,CAOG_05805,CAOG_05805,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896614,CAOG_05806,CAOG_05806,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896615,CAOG_05807,CAOG_05807,-,-,Unknown,-,sensor protein GacS,protein-coding,-,-,-,sensor protein GacS,20201223,-
595528,14896616,CAOG_05808,CAOG_05808,-,-,Unknown,-,HEAT repeat-containing protein,protein-coding,-,-,-,HEAT repeat-containing protein,20201223,-
595528,14896617,CAOG_05809,CAOG_05809,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896618,CAOG_05810,CAOG_05810,-,-,Unknown,-,small monomeric GTPase,protein-coding,-,-,-,small monomeric GTPase,20201223,-
595528,14896619,CAOG_05811,CAOG_05811,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896620,CAOG_05812,CAOG_05812,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896621,CAOG_05813,CAOG_05813,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896622,CAOG_05814,CAOG_05814,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896623,CAOG_05815,CAOG_05815,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896626,CAOG_05818,CAOG_05818,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896627,CAOG_05819,CAOG_05819,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896628,CAOG_05820,CAOG_05820,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896629,CAOG_05821,CAOG_05821,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896630,CAOG_05822,CAOG_05822,-,-,Unknown,-,ABC transporter,protein-coding,-,-,-,ABC transporter,20201223,-
595528,14896631,CAOG_05823,CAOG_05823,-,-,Unknown,-,vacuolar assembling/sorting protein VPS16,protein-coding,-,-,-,vacuolar assembling/sorting protein VPS16,20201223,-
595528,14896632,CAOG_05824,CAOG_05824,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896633,CAOG_05825,CAOG_05825,-,-,Unknown,-,digestive organ expansion factor,protein-coding,-,-,-,digestive organ expansion factor,20201223,-
595528,14896634,CAOG_05826,CAOG_05826,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896635,CAOG_05827,CAOG_05827,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896636,CAOG_05828,CAOG_05828,-,-,Unknown,-,branched-chain-amino-acid aminotransferase,protein-coding,-,-,-,branched-chain-amino-acid aminotransferase,20201223,-
595528,14896639,CAOG_05831,CAOG_05831,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896640,CAOG_05832,CAOG_05832,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896641,CAOG_05833,CAOG_05833,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896642,CAOG_05834,CAOG_05834,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896643,CAOG_05835,CAOG_05835,-,-,Unknown,-,protein arginine methyltransferase 3,protein-coding,-,-,-,protein arginine methyltransferase 3,20201223,-
595528,14896644,CAOG_05836,CAOG_05836,-,-,Unknown,-,alanine aminotransferase,protein-coding,-,-,-,alanine aminotransferase,20201223,-
595528,14896645,CAOG_05837,CAOG_05837,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896646,CAOG_05838,CAOG_05838,-,-,Unknown,-,RS21-C6 protein,protein-coding,-,-,-,RS21-C6 protein,20201223,-
595528,14896647,CAOG_05839,CAOG_05839,-,-,Unknown,-,ubiquitin-conjugating enzyme E2,protein-coding,-,-,-,ubiquitin-conjugating enzyme E2,20201223,-
595528,14896650,CAOG_05842,CAOG_05842,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896651,CAOG_05843,CAOG_05843,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896652,CAOG_05844,CAOG_05844,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896653,CAOG_05845,CAOG_05845,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896654,CAOG_05846,CAOG_05846,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896655,CAOG_05847,CAOG_05847,-,-,Unknown,-,testis-specific protein kinase 1,protein-coding,-,-,-,testis-specific protein kinase 1,20201223,-
595528,14896656,CAOG_05848,CAOG_05848,-,-,Unknown,-,cell cycle checkpoint control protein,pseudo,-,-,-,-,20201223,-
595528,14896657,CAOG_05849,CAOG_05849,-,-,Unknown,-,thioesterase superfamily protein,protein-coding,-,-,-,thioesterase superfamily protein,20201223,-
595528,14896658,CAOG_05850,CAOG_05850,-,-,Unknown,-,mitogen-activated kinase 7,protein-coding,-,-,-,mitogen-activated kinase 7,20201223,-
595528,14896659,CAOG_05851,CAOG_05851,-,-,Unknown,-,progestin and adipoQ receptor family member IIIa,protein-coding,-,-,-,progestin and adipoQ receptor family member IIIa,20201223,-
595528,14896660,CAOG_05852,CAOG_05852,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896661,CAOG_05853,CAOG_05853,-,-,Unknown,-,chaperonin containing TCP1,protein-coding,-,-,-,chaperonin containing TCP1,20201223,-
595528,14896662,CAOG_05854,CAOG_05854,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896663,CAOG_05855,CAOG_05855,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896664,CAOG_05856,CAOG_05856,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896665,CAOG_05857,CAOG_05857,-,-,Unknown,-,MMP37-like protein,protein-coding,-,-,-,MMP37-like protein,20201223,-
595528,14896666,CAOG_05858,CAOG_05858,-,-,Unknown,-,Cdc6B protein,protein-coding,-,-,-,Cdc6B protein,20201223,-
595528,14896667,CAOG_05859,CAOG_05859,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
595528,14896668,CAOG_05860,CAOG_05860,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201223,-
