#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
933801,10044094,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Acidianus hospitalis str. W1; Acidianus hospitalis strain W1).,other,-,-,-,-,20101221,-
933801,10599770,AHOS_RS01710,AHOS_RS01710,Ahos_0329,-,-,-,DUF871 family protein,protein-coding,-,-,-,DUF871 family protein,20210529,-
933801,10599771,glmS,AHOS_RS01715,Ahos_0330,-,-,-,glutamine--fructose-6-phosphate transaminase (isomerizing),protein-coding,-,-,-,glutamine--fructose-6-phosphate transaminase (isomerizing),20190827,-
933801,10599772,nagA,AHOS_RS01720,Ahos_0331,-,-,-,N-acetylglucosamine-6-phosphate deacetylase,protein-coding,-,-,-,N-acetylglucosamine-6-phosphate deacetylase,20190827,-
933801,10599773,AHOS_RS01725,AHOS_RS01725,Ahos_0332,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599774,AHOS_RS01730,AHOS_RS01730,Ahos_0333,-,-,-,glycoside hydrolase family 31 protein,protein-coding,-,-,-,glycoside hydrolase family 31 protein,20190827,-
933801,10599776,AHOS_RS01735,AHOS_RS01735,Ahos_0335,-,-,-,alpha-mannosidase,protein-coding,-,-,-,alpha-mannosidase,20190827,-
933801,10599777,AHOS_RS01740,AHOS_RS01740,Ahos_0336,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599778,AHOS_RS01745,AHOS_RS01745,Ahos_0337,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20190827,-
933801,10599779,AHOS_RS01750,AHOS_RS01750,Ahos_0338,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599781,AHOS_RS01760,AHOS_RS01760,Ahos_0340,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20190827,-
933801,10599782,AHOS_RS01765,AHOS_RS01765,Ahos_0341,-,-,-,ABC transporter ATP-binding protein,protein-coding,-,-,-,ABC transporter ATP-binding protein,20190827,-
933801,10599783,AHOS_RS01770,AHOS_RS01770,Ahos_0342,-,-,-,ABC transporter permease,protein-coding,-,-,-,ABC transporter permease,20190827,-
933801,10599784,AHOS_RS01775,AHOS_RS01775,Ahos_0343,-,-,-,DUF871 domain-containing protein,protein-coding,-,-,-,DUF871 domain-containing protein,20190827,-
933801,10599785,AHOS_RS01780,AHOS_RS01780,Ahos_0344,-,-,-,cellobiose-binding protein,protein-coding,-,-,-,cellobiose-binding protein,20190827,-
933801,10599786,AHOS_RS01785,AHOS_RS01785,Ahos_0345,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599787,AHOS_RS01790,AHOS_RS01790,Ahos_0346,-,-,-,bile acid beta-glucosidase,protein-coding,-,-,-,bile acid beta-glucosidase,20190827,-
933801,10599788,AHOS_RS01795,AHOS_RS01795,Ahos_0347,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
933801,10599789,AHOS_RS01800,AHOS_RS01800,Ahos_0348,-,-,-,CcmE superfamily domain-containing protein,protein-coding,-,-,-,CcmE superfamily domain-containing protein,20190827,-
933801,10599790,AHOS_RS01805,AHOS_RS01805,Ahos_0349,-,-,-,GNAT family N-acetyltransferase,protein-coding,-,-,-,GNAT family N-acetyltransferase,20190827,-
933801,10599791,AHOS_RS01810,AHOS_RS01810,Ahos_0350,-,-,-,DsrE family protein,protein-coding,-,-,-,DsrE family protein,20200830,-
933801,10599792,AHOS_RS01815,AHOS_RS01815,Ahos_0351,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599793,AHOS_RS01820,AHOS_RS01820,Ahos_0352,-,-,-,-,pseudo,-,-,-,-,20190827,-
933801,10599794,AHOS_RS01825,AHOS_RS01825,Ahos_0353,-,-,-,PIN domain-containing protein,protein-coding,-,-,-,PIN domain-containing protein,20200830,-
933801,10599795,AHOS_RS01830,AHOS_RS01830,Ahos_0354,-,-,-,antitoxin,protein-coding,-,-,-,antitoxin,20210529,-
933801,10599796,AHOS_RS01835,AHOS_RS01835,Ahos_0355,-,-,-,type II toxin-antitoxin system VapC family toxin,protein-coding,-,-,-,type II toxin-antitoxin system VapC family toxin,20190827,-
933801,10599797,AHOS_RS01840,AHOS_RS01840,Ahos_0356,-,-,-,AbrB family transcriptional regulator,protein-coding,-,-,-,AbrB family transcriptional regulator,20190827,-
933801,10599798,AHOS_RS01845,AHOS_RS01845,Ahos_0357,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599799,cas4,AHOS_RS01850,Ahos_0358,-,-,-,CRISPR-associated protein Cas4,protein-coding,-,-,-,CRISPR-associated protein Cas4,20190827,-
933801,10599800,AHOS_RS01855,AHOS_RS01855,Ahos_0359,-,-,-,TIGR01897 family CRISPR-associated protein,protein-coding,-,-,-,TIGR01897 family CRISPR-associated protein,20190827,-
933801,10599801,AHOS_RS01865,AHOS_RS01865,Ahos_0360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599802,AHOS_RS01870,AHOS_RS01870,Ahos_0361,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599803,AHOS_RS01875,AHOS_RS01875,Ahos_0362,-,-,-,type II toxin-antitoxin system VapC family toxin,protein-coding,-,-,-,type II toxin-antitoxin system VapC family toxin,20190827,-
933801,10599804,AHOS_RS01880,AHOS_RS01880,Ahos_0363,-,-,-,HD domain-containing protein,protein-coding,-,-,-,HD domain-containing protein,20200830,-
933801,10599805,AHOS_RS01885,AHOS_RS01885,Ahos_0364,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
933801,10599806,AHOS_RS01890,AHOS_RS01890,Ahos_0365,-,-,-,CRISPR-associated RAMP-motif protein,protein-coding,-,-,-,CRISPR-associated RAMP-motif protein,20190827,-
933801,10599807,AHOS_RS01895,AHOS_RS01895,Ahos_0366,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599808,AHOS_RS01900,AHOS_RS01900,Ahos_0367,-,-,-,"CRISPR-associated RAMP-motif protein, Csm3",protein-coding,-,-,-,"CRISPR-associated RAMP-motif protein, Csm3",20200905,-
933801,10599809,AHOS_RS01905,AHOS_RS01905,Ahos_0368,-,-,-,CRISPR-associated RAMP-motif protein,protein-coding,-,-,-,CRISPR-associated RAMP-motif protein,20190827,-
933801,10599810,AHOS_RS01910,AHOS_RS01910,Ahos_0369,-,-,-,CRISPR-associated RAMP-motif protein,protein-coding,-,-,-,CRISPR-associated RAMP-motif protein,20190827,-
933801,10599811,AHOS_RS01915,AHOS_RS01915,Ahos_0370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599813,cas4a,AHOS_RS01925,Ahos_0372,-,-,-,type I-A CRISPR-associated protein Cas4/Csa1,protein-coding,-,-,-,type I-A CRISPR-associated protein Cas4/Csa1,20190827,-
933801,10599814,AHOS_RS01930,AHOS_RS01930,Ahos_0373,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599815,AHOS_RS01935,AHOS_RS01935,Ahos_0374,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599816,AHOS_RS01940,AHOS_RS01940,Ahos_0375,-,-,-,PIN domain-containing protein,protein-coding,-,-,-,PIN domain-containing protein,20200905,-
933801,10599817,AHOS_RS01945,AHOS_RS01945,Ahos_0376,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599818,cas2,AHOS_RS01950,Ahos_0377,-,-,-,CRISPR-associated endonuclease Cas2,protein-coding,-,-,-,CRISPR-associated endonuclease Cas2,20190827,-
933801,10599819,cas1,AHOS_RS01955,Ahos_0378,-,-,-,CRISPR-associated endonuclease Cas1,protein-coding,-,-,-,CRISPR-associated endonuclease Cas1,20190827,-
933801,10599820,cas6,AHOS_RS01960,Ahos_0379,-,-,-,CRISPR-associated endoribonuclease Cas6,protein-coding,-,-,-,CRISPR-associated endoribonuclease Cas6,20190827,-
933801,10599821,AHOS_RS01965,AHOS_RS01965,Ahos_0380,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20190827,-
933801,10599822,AHOS_RS01970,AHOS_RS01970,Ahos_0381,-,-,-,-,pseudo,-,-,-,-,20200830,-
933801,10599824,AHOS_RS01975,AHOS_RS01975,Ahos_0384,-,-,-,AsnC family protein,protein-coding,-,-,-,AsnC family protein,20190827,-
933801,10599825,AHOS_RS01980,AHOS_RS01980,Ahos_0385,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20190827,-
933801,10599826,AHOS_RS01985,AHOS_RS01985,Ahos_0386,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200831,-
933801,10599827,AHOS_RS01990,AHOS_RS01990,Ahos_0387,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599828,AHOS_RS01995,AHOS_RS01995,Ahos_0388,-,-,-,DUF1854 domain-containing protein,protein-coding,-,-,-,DUF1854 domain-containing protein,20190827,-
933801,10599829,AHOS_RS02000,AHOS_RS02000,Ahos_0389,-,-,-,M20/M25/M40 family metallo-hydrolase,protein-coding,-,-,-,M20/M25/M40 family metallo-hydrolase,20200830,-
933801,10599830,AHOS_RS02005,AHOS_RS02005,Ahos_0390,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599833,tnpB,AHOS_RS02015,Ahos_0393,-,-,-,IS200/IS605 family element transposase accessory protein TnpB,protein-coding,-,-,-,IS200/IS605 family element transposase accessory protein TnpB,20200830,-
933801,10599834,AHOS_RS02020,AHOS_RS02020,Ahos_0394,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20190827,-
933801,10599835,AHOS_RS02025,AHOS_RS02025,Ahos_0395,-,-,-,type II toxin-antitoxin system VapC family toxin,protein-coding,-,-,-,type II toxin-antitoxin system VapC family toxin,20190827,-
933801,10599836,tnpB,AHOS_RS02030,Ahos_0396,-,-,-,IS200/IS605 family element transposase accessory protein TnpB,protein-coding,-,-,-,IS200/IS605 family element transposase accessory protein TnpB,20210529,-
933801,10599838,AHOS_RS02040,AHOS_RS02040,Ahos_0398,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20190827,-
933801,10599839,AHOS_RS02045,AHOS_RS02045,Ahos_0399,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20210529,-
933801,10599840,AHOS_RS02050,AHOS_RS02050,Ahos_0400,-,-,-,type II toxin-antitoxin system VapC family toxin,protein-coding,-,-,-,type II toxin-antitoxin system VapC family toxin,20190827,-
933801,10599841,AHOS_RS02055,AHOS_RS02055,Ahos_0401,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599842,AHOS_RS02060,AHOS_RS02060,Ahos_0402,-,-,-,DNA polymerase II,protein-coding,-,-,-,DNA polymerase II,20190827,-
933801,10599843,AHOS_RS02065,AHOS_RS02065,Ahos_0403,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200830,-
933801,10599844,AHOS_RS02070,AHOS_RS02070,Ahos_0404,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200830,-
933801,10599845,tnpB,AHOS_RS02075,Ahos_0405,-,-,-,IS200/IS605 family element transposase accessory protein TnpB,protein-coding,-,-,-,IS200/IS605 family element transposase accessory protein TnpB,20200830,-
933801,10599846,AHOS_RS02080,AHOS_RS02080,Ahos_0406,-,-,-,IS607 family transposase,protein-coding,-,-,-,IS607 family transposase,20190827,-
933801,10599847,AHOS_RS02090,AHOS_RS02090,Ahos_0407,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599848,AHOS_RS02095,AHOS_RS02095,Ahos_0408,-,-,-,phospholipase D,protein-coding,-,-,-,phospholipase D,20210417,-
933801,10599851,AHOS_RS02115,AHOS_RS02115,Ahos_0411,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20190827,-
933801,10599852,AHOS_RS02120,AHOS_RS02120,Ahos_0412,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,protein-coding,-,-,-,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,20190827,-
933801,10599853,AHOS_RS02125,AHOS_RS02125,Ahos_0413,-,-,-,type II toxin-antitoxin system VapC family toxin,protein-coding,-,-,-,type II toxin-antitoxin system VapC family toxin,20190827,-
933801,10599854,AHOS_RS02130,AHOS_RS02130,Ahos_0414,-,-,-,type 1 glutamine amidotransferase,protein-coding,-,-,-,type 1 glutamine amidotransferase,20190827,-
933801,10599855,AHOS_RS02135,AHOS_RS02135,Ahos_0415,-,-,-,GntR family transcriptional regulator,protein-coding,-,-,-,GntR family transcriptional regulator,20190827,-
933801,10599857,AHOS_RS02145,AHOS_RS02145,Ahos_0417,-,-,-,amidohydrolase,protein-coding,-,-,-,amidohydrolase,20190827,-
933801,10599858,AHOS_RS02150,AHOS_RS02150,Ahos_0418,-,-,-,-,pseudo,-,-,-,-,20190827,-
933801,10599859,AHOS_RS02160,AHOS_RS02160,Ahos_0419,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599860,AHOS_RS02165,AHOS_RS02165,Ahos_0420,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20190827,-
933801,10599861,AHOS_RS02170,AHOS_RS02170,Ahos_0421,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599862,AHOS_RS02175,AHOS_RS02175,Ahos_0422,-,-,-,cytosine permease,protein-coding,-,-,-,cytosine permease,20200830,-
933801,10599865,AHOS_RS02180,AHOS_RS02180,Ahos_0425,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20190827,-
933801,10599866,AHOS_RS02185,AHOS_RS02185,Ahos_0426,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599867,AHOS_RS02190,AHOS_RS02190,Ahos_0427,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599868,AHOS_RS02195,AHOS_RS02195,Ahos_0428,-,-,-,S9 family peptidase,protein-coding,-,-,-,S9 family peptidase,20190827,-
933801,10599869,AHOS_RS02200,AHOS_RS02200,Ahos_0429,-,-,-,PaREP1 family protein,protein-coding,-,-,-,PaREP1 family protein,20200912,-
933801,10599870,AHOS_RS02205,AHOS_RS02205,Ahos_0430,-,-,-,Lrp/AsnC family transcriptional regulator,protein-coding,-,-,-,Lrp/AsnC family transcriptional regulator,20190827,-
933801,10599871,AHOS_RS02210,AHOS_RS02210,Ahos_0431,-,-,-,aspartate aminotransferase family protein,protein-coding,-,-,-,aspartate aminotransferase family protein,20190827,-
933801,10599872,AHOS_RS02215,AHOS_RS02215,Ahos_0432,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599873,AHOS_RS02220,AHOS_RS02220,Ahos_0433,-,-,-,membrane dipeptidase,protein-coding,-,-,-,membrane dipeptidase,20200830,-
933801,10599874,AHOS_RS02225,AHOS_RS02225,Ahos_0434,-,-,-,sugar porter family MFS transporter,protein-coding,-,-,-,sugar porter family MFS transporter,20190827,-
933801,10599875,AHOS_RS02230,AHOS_RS02230,Ahos_0435,-,-,-,phosphatase PAP2 family protein,protein-coding,-,-,-,phosphatase PAP2 family protein,20200830,-
933801,10599877,AHOS_RS02240,AHOS_RS02240,Ahos_0437,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599879,AHOS_RS02245,AHOS_RS02245,Ahos_0439,-,-,-,APC family permease,protein-coding,-,-,-,APC family permease,20210424,-
933801,10599880,AHOS_RS02250,AHOS_RS02250,Ahos_0440,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599881,AHOS_RS02255,AHOS_RS02255,Ahos_0441,-,-,-,DUF72 domain-containing protein,protein-coding,-,-,-,DUF72 domain-containing protein,20190827,-
933801,10599883,AHOS_RS02260,AHOS_RS02260,Ahos_0443,-,-,-,DNA double-strand break repair nuclease NurA,protein-coding,-,-,-,DNA double-strand break repair nuclease NurA,20200912,-
933801,10599884,AHOS_RS02265,AHOS_RS02265,Ahos_0444,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20190827,-
933801,10599885,AHOS_RS02270,AHOS_RS02270,Ahos_0445,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200905,-
933801,10599886,AHOS_RS02275,AHOS_RS02275,Ahos_0446,-,-,-,PaREP1 family protein,protein-coding,-,-,-,PaREP1 family protein,20200830,-
933801,10599887,AHOS_RS02280,AHOS_RS02280,Ahos_0447,-,-,-,pyrroline-5-carboxylate reductase,protein-coding,-,-,-,pyrroline-5-carboxylate reductase,20190827,-
933801,10599888,AHOS_RS02285,AHOS_RS02285,Ahos_0448,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599889,AHOS_RS02290,AHOS_RS02290,Ahos_0449,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599890,AHOS_RS02295,AHOS_RS02295,Ahos_0450,-,-,-,cyclase family protein,protein-coding,-,-,-,cyclase family protein,20210417,-
933801,10599891,AHOS_RS02300,AHOS_RS02300,Ahos_0451,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
933801,10599892,AHOS_RS02305,AHOS_RS02305,Ahos_0452,-,-,-,thymidylate kinase,protein-coding,-,-,-,thymidylate kinase,20210529,-
933801,10599893,tmk,AHOS_RS02310,Ahos_0453,-,-,-,dTMP kinase,protein-coding,-,-,-,dTMP kinase,20190827,-
933801,10599894,AHOS_RS02315,AHOS_RS02315,Ahos_0454,-,-,-,Ppx/GppA family phosphatase,protein-coding,-,-,-,Ppx/GppA family phosphatase,20190827,-
933801,10599895,sixA,AHOS_RS02320,Ahos_0455,-,-,-,phosphohistidine phosphatase SixA,protein-coding,-,-,-,phosphohistidine phosphatase SixA,20190827,-
933801,10599896,AHOS_RS02325,AHOS_RS02325,Ahos_0456,-,-,-,cupin domain-containing protein,protein-coding,-,-,-,cupin domain-containing protein,20200830,-
933801,10599897,AHOS_RS02330,AHOS_RS02330,Ahos_0457,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20190827,-
933801,10599899,AHOS_RS02335,AHOS_RS02335,Ahos_0459,-,-,-,amidohydrolase,protein-coding,-,-,-,amidohydrolase,20200905,-
933801,10599900,AHOS_RS02340,AHOS_RS02340,Ahos_0460,-,-,-,glutamine synthetase,protein-coding,-,-,-,glutamine synthetase,20190827,-
933801,10599901,AHOS_RS02345,AHOS_RS02345,Ahos_0461,-,-,-,amidohydrolase family protein,protein-coding,-,-,-,amidohydrolase family protein,20200912,-
933801,10599902,AHOS_RS02350,AHOS_RS02350,Ahos_0462,-,-,-,HAD family hydrolase,protein-coding,-,-,-,HAD family hydrolase,20190827,-
933801,10599903,AHOS_RS02355,AHOS_RS02355,Ahos_0463,-,-,-,TIGR00266 family protein,protein-coding,-,-,-,TIGR00266 family protein,20190827,-
933801,10599904,AHOS_RS02360,AHOS_RS02360,Ahos_0464,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20190827,-
933801,10599905,AHOS_RS02365,AHOS_RS02365,Ahos_0465,-,-,-,EVE domain-containing protein,protein-coding,-,-,-,EVE domain-containing protein,20200905,-
933801,10599906,AHOS_RS02370,AHOS_RS02370,Ahos_0466,-,-,-,DUF1286 domain-containing protein,protein-coding,-,-,-,DUF1286 domain-containing protein,20190827,-
933801,10599909,AHOS_RS02375,AHOS_RS02375,Ahos_0469,-,-,-,PaREP1 family protein,protein-coding,-,-,-,PaREP1 family protein,20200830,-
933801,10599910,AHOS_RS02380,AHOS_RS02380,Ahos_0470,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599911,AHOS_RS02385,AHOS_RS02385,Ahos_0471,-,-,-,DUF504 domain-containing protein,protein-coding,-,-,-,DUF504 domain-containing protein,20200830,-
933801,10599912,AHOS_RS02390,AHOS_RS02390,Ahos_0472,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599914,AHOS_RS02400,AHOS_RS02400,Ahos_0474,-,-,-,HEPN domain-containing protein,protein-coding,-,-,-,HEPN domain-containing protein,20190827,-
933801,10599915,AHOS_RS02405,AHOS_RS02405,Ahos_0475,-,-,-,nucleotidyltransferase domain-containing protein,protein-coding,-,-,-,nucleotidyltransferase domain-containing protein,20190827,-
933801,10599917,AHOS_RS02415,AHOS_RS02415,Ahos_0477,-,-,-,citramalate synthase,protein-coding,-,-,-,citramalate synthase,20200912,-
933801,10599918,AHOS_RS02420,AHOS_RS02420,Ahos_0478,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599919,AHOS_RS02425,AHOS_RS02425,Ahos_0479,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20190827,-
933801,10599920,AHOS_RS02430,AHOS_RS02430,Ahos_0480,-,-,-,cobalamin biosynthesis protein CbiG,protein-coding,-,-,-,cobalamin biosynthesis protein CbiG,20190827,-
933801,10599921,AHOS_RS02435,AHOS_RS02435,Ahos_0481,-,-,-,prepilin peptidase,protein-coding,-,-,-,prepilin peptidase,20200830,-
933801,10599922,AHOS_RS02440,AHOS_RS02440,Ahos_0482,-,-,-,acyl-CoA dehydrogenase,protein-coding,-,-,-,acyl-CoA dehydrogenase,20190827,-
933801,10599923,AHOS_RS02445,AHOS_RS02445,Ahos_0483,-,-,-,arsenic resistance protein ArsB,protein-coding,-,-,-,arsenic resistance protein ArsB,20190827,-
933801,10599924,AHOS_RS02450,AHOS_RS02450,Ahos_0484,-,-,-,acyl-CoA thioesterase,protein-coding,-,-,-,acyl-CoA thioesterase,20190827,-
933801,10599925,AHOS_RS02455,AHOS_RS02455,Ahos_0485,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599926,AHOS_RS02460,AHOS_RS02460,Ahos_0486,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20190827,-
933801,10599927,AHOS_RS02465,AHOS_RS02465,Ahos_0487,-,-,-,DNA double-strand break repair nuclease NurA,protein-coding,-,-,-,DNA double-strand break repair nuclease NurA,20210424,-
933801,10599928,AHOS_RS02470,AHOS_RS02470,Ahos_0488,-,-,-,FAD-dependent oxidoreductase,protein-coding,-,-,-,FAD-dependent oxidoreductase,20200830,-
933801,10599929,AHOS_RS02475,AHOS_RS02475,Ahos_0489,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599930,AHOS_RS02480,AHOS_RS02480,Ahos_0490,-,-,-,bifunctional phosphoglucose/phosphomannose isomerase,protein-coding,-,-,-,bifunctional phosphoglucose/phosphomannose isomerase,20190827,-
933801,10599931,AHOS_RS02485,AHOS_RS02485,Ahos_0491,-,-,-,cysteine--tRNA ligase,protein-coding,-,-,-,cysteine--tRNA ligase,20200905,-
933801,10599932,AHOS_RS02490,AHOS_RS02490,Ahos_0492,-,-,-,NUDIX hydrolase,protein-coding,-,-,-,NUDIX hydrolase,20190827,-
933801,10599933,AHOS_RS02495,AHOS_RS02495,Ahos_0493,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599934,AHOS_RS02500,AHOS_RS02500,Ahos_0494,-,-,-,Glu/Leu/Phe/Val dehydrogenase,protein-coding,-,-,-,Glu/Leu/Phe/Val dehydrogenase,20210417,-
933801,10599935,AHOS_RS02505,AHOS_RS02505,Ahos_0495,-,-,-,DUF131 domain-containing protein,protein-coding,-,-,-,DUF131 domain-containing protein,20190827,-
933801,10599936,AHOS_RS02510,AHOS_RS02510,Ahos_0496,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20200905,-
933801,10599937,AHOS_RS02515,AHOS_RS02515,Ahos_0497,-,-,-,SDR family oxidoreductase,protein-coding,-,-,-,SDR family oxidoreductase,20190827,-
933801,10599938,AHOS_RS02520,AHOS_RS02520,Ahos_0498,-,-,-,uracil-DNA glycosylase,protein-coding,-,-,-,uracil-DNA glycosylase,20190827,-
933801,10599939,AHOS_RS02525,AHOS_RS02525,Ahos_0499,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20190827,-
933801,10599941,AHOS_RS02530,AHOS_RS02530,Ahos_0500,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599942,AHOS_RS02535,AHOS_RS02535,Ahos_0501,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599943,AHOS_RS02540,AHOS_RS02540,Ahos_0502,-,-,-,sulfite exporter TauE/SafE family protein,protein-coding,-,-,-,sulfite exporter TauE/SafE family protein,20190827,-
933801,10599944,AHOS_RS02545,AHOS_RS02545,Ahos_0503,-,-,-,metal-dependent transcriptional regulator,protein-coding,-,-,-,metal-dependent transcriptional regulator,20200905,-
933801,10599945,AHOS_RS02550,AHOS_RS02550,Ahos_0504,-,-,-,cation:proton antiporter,protein-coding,-,-,-,cation:proton antiporter,20210417,-
933801,10599946,AHOS_RS02555,AHOS_RS02555,Ahos_0505,-,-,-,dihydrodipicolinate synthase family protein,protein-coding,-,-,-,dihydrodipicolinate synthase family protein,20190827,-
933801,10599947,AHOS_RS02560,AHOS_RS02560,Ahos_0506,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190827,-
933801,10599948,AHOS_RS02565,AHOS_RS02565,Ahos_0507,-,-,-,winged helix-turn-helix transcriptional regulator,protein-coding,-,-,-,winged helix-turn-helix transcriptional regulator,20190827,-
933801,10599950,AHOS_RS02570,AHOS_RS02570,Ahos_0509,-,-,-,cobalamin B12-binding domain-containing protein,protein-coding,-,-,-,cobalamin B12-binding domain-containing protein,20190827,-
933801,10599951,meaB,AHOS_RS02575,Ahos_0510,-,-,-,methylmalonyl Co-A mutase-associated GTPase MeaB,protein-coding,-,-,-,methylmalonyl Co-A mutase-associated GTPase MeaB,20190827,-
933801,10599952,AHOS_RS02580,AHOS_RS02580,Ahos_0511,-,-,-,DUF2250 domain-containing protein,protein-coding,-,-,-,DUF2250 domain-containing protein,20200905,-
933801,10599953,AHOS_RS02585,AHOS_RS02585,Ahos_0512,-,-,-,alpha/beta hydrolase,protein-coding,-,-,-,alpha/beta hydrolase,20190827,-
933801,10599954,AHOS_RS02590,AHOS_RS02590,Ahos_0513,-,-,-,NAD(P)/FAD-dependent oxidoreductase,protein-coding,-,-,-,NAD(P)/FAD-dependent oxidoreductase,20190827,-
933801,10599956,AHOS_RS02600,AHOS_RS02600,Ahos_0515,-,-,-,ATPase,protein-coding,-,-,-,ATPase,20190827,-
933801,10599957,psmB,AHOS_RS02605,Ahos_0516,-,-,-,archaeal proteasome endopeptidase complex subunit beta,protein-coding,-,-,-,archaeal proteasome endopeptidase complex subunit beta,20190827,-
