#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1392248,36540034,P168DRAFT_10038,P168DRAFT_10038,-,-,Unknown,-,Golgi apparatus membrane protein tvp18,protein-coding,-,-,-,Golgi apparatus membrane protein tvp18,20180512,-
1392248,36543081,P168DRAFT_276405,P168DRAFT_276405,-,-,Unknown,-,putative fatty acid synthase alpha subunit FasA,protein-coding,-,-,-,putative fatty acid synthase alpha subunit FasA,20180512,-
1392248,36543082,P168DRAFT_276413,P168DRAFT_276413,-,-,Unknown,-,Rap30/74 interaction domain-containing protein,protein-coding,-,-,-,Rap30/74 interaction domain-containing protein,20180512,-
1392248,36543083,P168DRAFT_276416,P168DRAFT_276416,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543084,P168DRAFT_276424,P168DRAFT_276424,-,-,Unknown,-,snoRNA binding protein,protein-coding,-,-,-,snoRNA binding protein,20180512,-
1392248,36543085,P168DRAFT_276437,P168DRAFT_276437,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543086,P168DRAFT_276446,P168DRAFT_276446,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543087,P168DRAFT_276450,P168DRAFT_276450,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543088,P168DRAFT_276454,P168DRAFT_276454,-,-,Unknown,-,ERG4/ERG24 ergosterol biosynthesis protein,protein-coding,-,-,-,ERG4/ERG24 ergosterol biosynthesis protein,20180512,-
1392248,36543089,P168DRAFT_276485,P168DRAFT_276485,-,-,Unknown,-,sphingoid base-phosphate phosphatase,protein-coding,-,-,-,sphingoid base-phosphate phosphatase,20180512,-
1392248,36543090,P168DRAFT_276488,P168DRAFT_276488,-,-,Unknown,-,cysteine proteinase,protein-coding,-,-,-,cysteine proteinase,20180512,-
1392248,36543091,P168DRAFT_276491,P168DRAFT_276491,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543092,P168DRAFT_276497,P168DRAFT_276497,-,-,Unknown,-,putative glycoside hydrolase,protein-coding,-,-,-,putative glycoside hydrolase,20180512,-
1392248,36543093,P168DRAFT_276538,P168DRAFT_276538,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543094,P168DRAFT_276543,P168DRAFT_276543,-,-,Unknown,-,carbonic anhydrase,protein-coding,-,-,-,carbonic anhydrase,20180512,-
1392248,36543095,P168DRAFT_276557,P168DRAFT_276557,-,-,Unknown,-,putative thiosulfate sulfurtransferase,protein-coding,-,-,-,putative thiosulfate sulfurtransferase,20180512,-
1392248,36543096,P168DRAFT_276574,P168DRAFT_276574,-,-,Unknown,-,ATP-dependent RNA helicase has1,protein-coding,-,-,-,ATP-dependent RNA helicase has1,20180512,-
1392248,36543097,P168DRAFT_276598,P168DRAFT_276598,-,-,Unknown,-,FAD/NAD(P)-binding domain-containing protein,protein-coding,-,-,-,FAD/NAD(P)-binding domain-containing protein,20180512,-
1392248,36543098,P168DRAFT_276611,P168DRAFT_276611,-,-,Unknown,-,"pleiotropic drug resistance protein, ABC superfamily",protein-coding,-,-,-,"pleiotropic drug resistance protein, ABC superfamily",20180512,-
1392248,36543099,P168DRAFT_276618,P168DRAFT_276618,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543100,P168DRAFT_276632,P168DRAFT_276632,-,-,Unknown,-,mitochondrial ornithine carrier protein,protein-coding,-,-,-,mitochondrial ornithine carrier protein,20180512,-
1392248,36543101,P168DRAFT_276660,P168DRAFT_276660,-,-,Unknown,-,AMP deaminase,protein-coding,-,-,-,AMP deaminase,20180512,-
1392248,36543102,P168DRAFT_276682,P168DRAFT_276682,-,-,Unknown,-,RNA-binding domain-containing protein,protein-coding,-,-,-,RNA-binding domain-containing protein,20180512,-
1392248,36543103,P168DRAFT_276686,P168DRAFT_276686,-,-,Unknown,-,putative NADH-ubiquinone oxidoreductase 21 kDa subunit,protein-coding,-,-,-,putative NADH-ubiquinone oxidoreductase 21 kDa subunit,20180512,-
1392248,36543104,P168DRAFT_276769,P168DRAFT_276769,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543105,P168DRAFT_276771,P168DRAFT_276771,-,-,Unknown,-,ATP-dependent RNA helicase,protein-coding,-,-,-,ATP-dependent RNA helicase,20180512,-
1392248,36543106,P168DRAFT_276779,P168DRAFT_276779,-,-,Unknown,-,60S ribosomal protein L13,protein-coding,-,-,-,60S ribosomal protein L13,20180512,-
1392248,36543107,P168DRAFT_276781,P168DRAFT_276781,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543108,P168DRAFT_276814,P168DRAFT_276814,-,-,Unknown,-,putative PHD finger domain protein,protein-coding,-,-,-,putative PHD finger domain protein,20180512,-
1392248,36543109,P168DRAFT_276819,P168DRAFT_276819,-,-,Unknown,-,curved DNA-binding protein,protein-coding,-,-,-,curved DNA-binding protein,20180512,-
1392248,36543110,P168DRAFT_276851,P168DRAFT_276851,-,-,Unknown,-,tricarboxylate carrier protein,protein-coding,-,-,-,tricarboxylate carrier protein,20180512,-
1392248,36543111,P168DRAFT_276852,P168DRAFT_276852,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543112,P168DRAFT_276917,P168DRAFT_276917,-,-,Unknown,-,phenylalanine ammonia-lyase,protein-coding,-,-,-,phenylalanine ammonia-lyase,20180512,-
1392248,36543113,P168DRAFT_276925,P168DRAFT_276925,-,-,Unknown,-,acid protease,protein-coding,-,-,-,acid protease,20180512,-
1392248,36543114,P168DRAFT_276928,P168DRAFT_276928,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543115,P168DRAFT_276958,P168DRAFT_276958,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543116,P168DRAFT_276981,P168DRAFT_276981,-,-,Unknown,-,cellobiose response regulator,protein-coding,-,-,-,cellobiose response regulator,20180512,-
1392248,36543117,P168DRAFT_276984,P168DRAFT_276984,-,-,Unknown,-,putative amino-acid N-acetyltransferase subunit Mak10,protein-coding,-,-,-,putative amino-acid N-acetyltransferase subunit Mak10,20180512,-
1392248,36543118,P168DRAFT_277006,P168DRAFT_277006,-,-,Unknown,-,60S ribosomal protein L10-B,protein-coding,-,-,-,60S ribosomal protein L10-B,20180512,-
1392248,36543119,P168DRAFT_277012,P168DRAFT_277012,-,-,Unknown,-,snare-like protein,protein-coding,-,-,-,snare-like protein,20180512,-
1392248,36543120,P168DRAFT_277030,P168DRAFT_277030,-,-,Unknown,-,putative NADH-ubiquinone dehydrogenase 24 kDa subunit,protein-coding,-,-,-,putative NADH-ubiquinone dehydrogenase 24 kDa subunit,20180512,-
1392248,36543130,P168DRAFT_277278,P168DRAFT_277278,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1392248,36543132,P168DRAFT_277394,P168DRAFT_277394,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543133,P168DRAFT_277412,P168DRAFT_277412,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543134,P168DRAFT_277414,P168DRAFT_277414,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543135,P168DRAFT_277447,P168DRAFT_277447,-,-,Unknown,-,SURF1-domain-containing protein,protein-coding,-,-,-,SURF1-domain-containing protein,20180512,-
1392248,36543136,P168DRAFT_277452,P168DRAFT_277452,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543137,P168DRAFT_277493,P168DRAFT_277493,-,-,Unknown,-,Phox-like protein,protein-coding,-,-,-,Phox-like protein,20180512,-
1392248,36543138,P168DRAFT_277507,P168DRAFT_277507,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543139,P168DRAFT_277527,P168DRAFT_277527,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543140,P168DRAFT_277538,P168DRAFT_277538,-,-,Unknown,-,NTF2-like protein,protein-coding,-,-,-,NTF2-like protein,20180512,-
1392248,36543141,P168DRAFT_277583,P168DRAFT_277583,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543142,P168DRAFT_277593,P168DRAFT_277593,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543143,P168DRAFT_277601,P168DRAFT_277601,-,-,Unknown,-,peroxisome assembly factor 2,protein-coding,-,-,-,peroxisome assembly factor 2,20180512,-
1392248,36543144,P168DRAFT_277619,P168DRAFT_277619,-,-,Unknown,-,general substrate transporter,protein-coding,-,-,-,general substrate transporter,20180512,-
1392248,36543145,P168DRAFT_277655,P168DRAFT_277655,-,-,Unknown,-,putative inorganic diphosphatase,protein-coding,-,-,-,putative inorganic diphosphatase,20180512,-
1392248,36543146,P168DRAFT_277662,P168DRAFT_277662,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543147,P168DRAFT_277672,P168DRAFT_277672,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543148,P168DRAFT_277673,P168DRAFT_277673,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543149,P168DRAFT_277718,P168DRAFT_277718,-,-,Unknown,-,CP2 transcription factor,protein-coding,-,-,-,CP2 transcription factor,20180512,-
1392248,36543150,P168DRAFT_277739,P168DRAFT_277739,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543151,P168DRAFT_277782,P168DRAFT_277782,-,-,Unknown,-,DUF1765-domain-containing protein,protein-coding,-,-,-,DUF1765-domain-containing protein,20180512,-
1392248,36543152,P168DRAFT_277792,P168DRAFT_277792,-,-,Unknown,-,negative regulator of sexual conjugation and meiosis,protein-coding,-,-,-,negative regulator of sexual conjugation and meiosis,20180512,-
1392248,36543153,P168DRAFT_277812,P168DRAFT_277812,-,-,Unknown,-,thiamine pyrophosphate-requiring enzyme,protein-coding,-,-,-,thiamine pyrophosphate-requiring enzyme,20180512,-
1392248,36543154,P168DRAFT_277834,P168DRAFT_277834,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543155,P168DRAFT_277835,P168DRAFT_277835,-,-,Unknown,-,serine/threonine protein kinase,protein-coding,-,-,-,serine/threonine protein kinase,20180512,-
1392248,36543156,P168DRAFT_277841,P168DRAFT_277841,-,-,Unknown,-,cyclin-like protein,protein-coding,-,-,-,cyclin-like protein,20180512,-
1392248,36543157,P168DRAFT_277843,P168DRAFT_277843,-,-,Unknown,-,camp-dependent protein kinase regulatory subunit PkaR/Bcy1,protein-coding,-,-,-,camp-dependent protein kinase regulatory subunit PkaR/Bcy1,20180512,-
1392248,36543158,P168DRAFT_277868,P168DRAFT_277868,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543159,P168DRAFT_277877,P168DRAFT_277877,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543160,P168DRAFT_277892,P168DRAFT_277892,-,-,Unknown,-,"phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent",protein-coding,-,-,-,"phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent",20180512,-
1392248,36543161,P168DRAFT_277896,P168DRAFT_277896,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543162,P168DRAFT_277901,P168DRAFT_277901,-,-,Unknown,-,"endo-1,5-alpha-L-arabinosidase",protein-coding,-,-,-,"endo-1,5-alpha-L-arabinosidase",20180512,-
1392248,36543163,P168DRAFT_277918,P168DRAFT_277918,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543164,P168DRAFT_277920,P168DRAFT_277920,-,-,Unknown,-,UDP-Glycosyltransferase/glycogen phosphorylase,protein-coding,-,-,-,UDP-Glycosyltransferase/glycogen phosphorylase,20180512,-
1392248,36543165,P168DRAFT_277926,P168DRAFT_277926,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543166,P168DRAFT_277934,P168DRAFT_277934,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543167,P168DRAFT_278001,P168DRAFT_278001,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543168,P168DRAFT_278002,P168DRAFT_278002,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543169,P168DRAFT_278003,P168DRAFT_278003,-,-,Unknown,-,putative sexual development protein,protein-coding,-,-,-,putative sexual development protein,20180512,-
1392248,36543170,P168DRAFT_278012,P168DRAFT_278012,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543171,P168DRAFT_278026,P168DRAFT_278026,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543172,P168DRAFT_278027,P168DRAFT_278027,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543173,P168DRAFT_278037,P168DRAFT_278037,-,-,Unknown,-,FAD-binding domain-containing protein,protein-coding,-,-,-,FAD-binding domain-containing protein,20180512,-
1392248,36543174,P168DRAFT_278041,P168DRAFT_278041,-,-,Unknown,-,Pal1-domain-containing protein,protein-coding,-,-,-,Pal1-domain-containing protein,20180512,-
1392248,36543175,P168DRAFT_278042,P168DRAFT_278042,-,-,Unknown,-,putative DNA replication licensing factor Mcm2,protein-coding,-,-,-,putative DNA replication licensing factor Mcm2,20180512,-
1392248,36543176,P168DRAFT_278047,P168DRAFT_278047,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543177,P168DRAFT_278055,P168DRAFT_278055,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543178,P168DRAFT_278064,P168DRAFT_278064,-,-,Unknown,-,oxidoreductase,protein-coding,-,-,-,oxidoreductase,20180512,-
1392248,36543179,P168DRAFT_278072,P168DRAFT_278072,-,-,Unknown,-,ribose-phosphate pyrophosphokinase 4,protein-coding,-,-,-,ribose-phosphate pyrophosphokinase 4,20180512,-
1392248,36543180,P168DRAFT_278084,P168DRAFT_278084,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543181,P168DRAFT_278087,P168DRAFT_278087,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543182,P168DRAFT_278099,P168DRAFT_278099,-,-,Unknown,-,Metallo-hydrolase/oxidoreductase,protein-coding,-,-,-,Metallo-hydrolase/oxidoreductase,20180512,-
1392248,36543183,P168DRAFT_278111,P168DRAFT_278111,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543184,P168DRAFT_278121,P168DRAFT_278121,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543185,P168DRAFT_278129,P168DRAFT_278129,-,-,Unknown,-,sensor histidine kinase/response regulator,protein-coding,-,-,-,sensor histidine kinase/response regulator,20180512,-
1392248,36543186,P168DRAFT_278146,P168DRAFT_278146,-,-,Unknown,-,dual specificity phosphatase,protein-coding,-,-,-,dual specificity phosphatase,20180512,-
1392248,36543187,P168DRAFT_278170,P168DRAFT_278170,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543188,P168DRAFT_278178,P168DRAFT_278178,-,-,Unknown,-,putative amino acid transporter,protein-coding,-,-,-,putative amino acid transporter,20180512,-
1392248,36543189,P168DRAFT_278181,P168DRAFT_278181,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543190,P168DRAFT_278187,P168DRAFT_278187,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543191,P168DRAFT_278192,P168DRAFT_278192,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543192,P168DRAFT_278196,P168DRAFT_278196,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543193,P168DRAFT_278197,P168DRAFT_278197,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543194,P168DRAFT_278209,P168DRAFT_278209,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543195,P168DRAFT_278213,P168DRAFT_278213,-,-,Unknown,-,toxin biosynthesis protein,protein-coding,-,-,-,toxin biosynthesis protein,20180502,-
1392248,36543196,P168DRAFT_278226,P168DRAFT_278226,-,-,Unknown,-,histone deacetylase,protein-coding,-,-,-,histone deacetylase,20180512,-
1392248,36543197,P168DRAFT_278227,P168DRAFT_278227,-,-,Unknown,-,glyceraldehyde-3-phosphate dehydrogenase,protein-coding,-,-,-,glyceraldehyde-3-phosphate dehydrogenase,20180512,-
1392248,36543198,P168DRAFT_278237,P168DRAFT_278237,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543199,P168DRAFT_278246,P168DRAFT_278246,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543200,P168DRAFT_278253,P168DRAFT_278253,-,-,Unknown,-,2-methylcitrate dehydratase PrpD,protein-coding,-,-,-,2-methylcitrate dehydratase PrpD,20180512,-
1392248,36543201,P168DRAFT_278258,P168DRAFT_278258,-,-,Unknown,-,NAD dependent epimerase/dehydratase family protein,protein-coding,-,-,-,NAD dependent epimerase/dehydratase family protein,20180512,-
1392248,36543202,P168DRAFT_278267,P168DRAFT_278267,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543203,P168DRAFT_278274,P168DRAFT_278274,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543204,P168DRAFT_278285,P168DRAFT_278285,-,-,Unknown,-,"Cu,Zn superoxide dismutase-like protein",protein-coding,-,-,-,"Cu,Zn superoxide dismutase-like protein",20180512,-
1392248,36543205,P168DRAFT_278291,P168DRAFT_278291,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543206,P168DRAFT_278318,P168DRAFT_278318,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543207,P168DRAFT_278327,P168DRAFT_278327,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543208,P168DRAFT_278356,P168DRAFT_278356,-,-,Unknown,-,PR-1-like protein,protein-coding,-,-,-,PR-1-like protein,20180512,-
1392248,36543209,P168DRAFT_278377,P168DRAFT_278377,-,-,Unknown,-,plant basic secretory protein,protein-coding,-,-,-,plant basic secretory protein,20180512,-
1392248,36543210,P168DRAFT_278389,P168DRAFT_278389,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543211,P168DRAFT_278395,P168DRAFT_278395,-,-,Unknown,-,"guanine nucleotide binding protein, alpha subunit",protein-coding,-,-,-,"guanine nucleotide binding protein, alpha subunit",20180512,-
1392248,36543212,P168DRAFT_278404,P168DRAFT_278404,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543213,P168DRAFT_278406,P168DRAFT_278406,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543214,P168DRAFT_278414,P168DRAFT_278414,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543215,P168DRAFT_278420,P168DRAFT_278420,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543216,P168DRAFT_278440,P168DRAFT_278440,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543217,P168DRAFT_278468,P168DRAFT_278468,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543218,P168DRAFT_278513,P168DRAFT_278513,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543219,P168DRAFT_278537,P168DRAFT_278537,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543220,P168DRAFT_278539,P168DRAFT_278539,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543221,P168DRAFT_278564,P168DRAFT_278564,-,-,Unknown,-,putative neutral amino acid permease,protein-coding,-,-,-,putative neutral amino acid permease,20180512,-
1392248,36543222,P168DRAFT_278640,P168DRAFT_278640,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543223,P168DRAFT_278641,P168DRAFT_278641,-,-,Unknown,-,putative ubiquitin-conjugating enzyme,protein-coding,-,-,-,putative ubiquitin-conjugating enzyme,20180512,-
1392248,36543224,P168DRAFT_278648,P168DRAFT_278648,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543225,P168DRAFT_278651,P168DRAFT_278651,-,-,Unknown,-,putative oxidoreductase,protein-coding,-,-,-,putative oxidoreductase,20180512,-
1392248,36543226,P168DRAFT_278659,P168DRAFT_278659,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543227,P168DRAFT_278661,P168DRAFT_278661,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543228,P168DRAFT_278670,P168DRAFT_278670,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543229,P168DRAFT_278672,P168DRAFT_278672,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543230,P168DRAFT_278677,P168DRAFT_278677,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543231,P168DRAFT_278688,P168DRAFT_278688,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543232,P168DRAFT_278689,P168DRAFT_278689,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543233,P168DRAFT_278701,P168DRAFT_278701,-,-,Unknown,-,acetylxylan esterase precursor,protein-coding,-,-,-,acetylxylan esterase precursor,20180512,-
1392248,36543234,P168DRAFT_278705,P168DRAFT_278705,-,-,Unknown,-,general substrate transporter,protein-coding,-,-,-,general substrate transporter,20180512,-
1392248,36543235,P168DRAFT_278728,P168DRAFT_278728,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543236,P168DRAFT_278731,P168DRAFT_278731,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543237,P168DRAFT_278744,P168DRAFT_278744,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543238,P168DRAFT_278780,P168DRAFT_278780,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543239,P168DRAFT_278784,P168DRAFT_278784,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543240,P168DRAFT_278789,P168DRAFT_278789,-,-,Unknown,-,putative FYVE domain protein,protein-coding,-,-,-,putative FYVE domain protein,20180512,-
1392248,36543241,P168DRAFT_278790,P168DRAFT_278790,-,-,Unknown,-,long-chain fatty alcohol dehydrogenase,protein-coding,-,-,-,long-chain fatty alcohol dehydrogenase,20180512,-
1392248,36543242,P168DRAFT_278801,P168DRAFT_278801,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543243,P168DRAFT_278810,P168DRAFT_278810,-,-,Unknown,-,adenine nucleotide alpha hydrolases-like protein,protein-coding,-,-,-,adenine nucleotide alpha hydrolases-like protein,20180512,-
1392248,36543244,P168DRAFT_278815,P168DRAFT_278815,-,-,Unknown,-,MATE efflux family protein,protein-coding,-,-,-,MATE efflux family protein,20180512,-
1392248,36543245,P168DRAFT_278829,P168DRAFT_278829,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543246,P168DRAFT_278830,P168DRAFT_278830,-,-,Unknown,-,DNA repair exonuclease,protein-coding,-,-,-,DNA repair exonuclease,20180512,-
1392248,36543247,P168DRAFT_278835,P168DRAFT_278835,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543248,P168DRAFT_278852,P168DRAFT_278852,-,-,Unknown,-,FAD-binding domain-containing protein,protein-coding,-,-,-,FAD-binding domain-containing protein,20180512,-
1392248,36543249,P168DRAFT_278854,P168DRAFT_278854,-,-,Unknown,-,glycoside hydrolase,protein-coding,-,-,-,glycoside hydrolase,20180512,-
1392248,36543250,P168DRAFT_278855,P168DRAFT_278855,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543251,P168DRAFT_278864,P168DRAFT_278864,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543252,P168DRAFT_278870,P168DRAFT_278870,-,-,Unknown,-,peripheral-type benzodiazepine receptor,protein-coding,-,-,-,peripheral-type benzodiazepine receptor,20180512,-
1392248,36543253,P168DRAFT_278874,P168DRAFT_278874,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543254,P168DRAFT_278878,P168DRAFT_278878,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543255,P168DRAFT_278887,P168DRAFT_278887,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543256,P168DRAFT_278889,P168DRAFT_278889,-,-,Unknown,-,xylanase G1,protein-coding,-,-,-,xylanase G1,20180512,-
1392248,36543257,P168DRAFT_278894,P168DRAFT_278894,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543258,P168DRAFT_278899,P168DRAFT_278899,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
1392248,36543259,P168DRAFT_278909,P168DRAFT_278909,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200203,-
