#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2479933,65117634,KNU28_gp002,KNU28_gp002,KEPCLCAE_00002,-,-,-,double-stranded DNA-binding protein,protein-coding,-,-,-,double-stranded DNA-binding protein,20210607,-
2479933,65117806,KNU28_gp191,KNU28_gp191,KEPCLCAE_00174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117807,KNU28_gp190,KNU28_gp190,KEPCLCAE_00175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117808,KNU28_gp189,KNU28_gp189,KEPCLCAE_00176,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210607,-
2479933,65117809,KNU28_gp188,KNU28_gp188,KEPCLCAE_00177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117810,KNU28_gp187,KNU28_gp187,KEPCLCAE_00178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117811,KNU28_gp186,KNU28_gp186,KEPCLCAE_00179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117812,KNU28_gp185,KNU28_gp185,KEPCLCAE_00180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117813,KNU28_gp184,KNU28_gp184,KEPCLCAE_00181,-,-,-,exonuclease subunit 1,protein-coding,-,-,-,exonuclease subunit 1,20210607,-
2479933,65117814,KNU28_gp183,KNU28_gp183,KEPCLCAE_00182,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117815,KNU28_gp182,KNU28_gp182,KEPCLCAE_00183,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117816,KNU28_gp181,KNU28_gp181,KEPCLCAE_00184,-,-,-,exonuclease subunit 2,protein-coding,-,-,-,exonuclease subunit 2,20210607,-
2479933,65117817,KNU28_gp180,KNU28_gp180,KEPCLCAE_00185,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117818,KNU28_gp179,KNU28_gp179,KEPCLCAE_00186,-,-,-,15 kDa RNA polymerase-binding protein,protein-coding,-,-,-,15 kDa RNA polymerase-binding protein,20210607,-
2479933,65117819,KNU28_gp178,KNU28_gp178,KEPCLCAE_00187,-,-,-,DNA polymerase processivity component,protein-coding,-,-,-,DNA polymerase processivity component,20210607,-
2479933,65117820,KNU28_gp177,KNU28_gp177,KEPCLCAE_00188,-,-,-,sliding-clamp-loader subunit,protein-coding,-,-,-,sliding-clamp-loader subunit,20210607,-
2479933,65117821,KNU28_gp176,KNU28_gp176,KEPCLCAE_00189,-,-,-,sliding-clamp-loader subunit,protein-coding,-,-,-,sliding-clamp-loader subunit,20210607,-
2479933,65117822,KNU28_gp175,KNU28_gp175,KEPCLCAE_00190,-,-,-,translation repressor protein,protein-coding,-,-,-,translation repressor protein,20210607,-
2479933,65117823,KNU28_gp174,KNU28_gp174,KEPCLCAE_00191,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210607,-
2479933,65117824,KNU28_gp173,KNU28_gp173,KEPCLCAE_00192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117825,KNU28_gp172,KNU28_gp172,KEPCLCAE_00193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117826,KNU28_gp171,KNU28_gp171,KEPCLCAE_00194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117827,KNU28_gp170,KNU28_gp170,KEPCLCAE_00195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117828,KNU28_gp169,KNU28_gp169,KEPCLCAE_00196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117829,KNU28_gp168,KNU28_gp168,KEPCLCAE_00197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117830,KNU28_gp167,KNU28_gp167,KEPCLCAE_00198,-,-,-,deoxycytidylate 5-hydroxymethyltransferase,protein-coding,-,-,-,deoxycytidylate 5-hydroxymethyltransferase,20210607,-
2479933,65117831,KNU28_gp166,KNU28_gp166,KEPCLCAE_00199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117832,KNU28_gp165,KNU28_gp165,KEPCLCAE_00200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117833,KNU28_gp164,KNU28_gp164,KEPCLCAE_00201,-,-,-,recombination and repair protein,protein-coding,-,-,-,recombination and repair protein,20210607,-
2479933,65117834,KNU28_gp163,KNU28_gp163,KEPCLCAE_00202,-,-,-,head formation protein,protein-coding,-,-,-,head formation protein,20210607,-
2479933,65117835,KNU28_gp162,KNU28_gp162,KEPCLCAE_00203,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20210607,-
2479933,65117836,KNU28_gp161,KNU28_gp161,KEPCLCAE_00204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117837,KNU28_gp160,KNU28_gp160,KEPCLCAE_00205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117838,KNU28_gp159,KNU28_gp159,KEPCLCAE_00206,-,-,-,antitoxin,protein-coding,-,-,-,antitoxin,20210607,-
2479933,65117839,KNU28_gp158,KNU28_gp158,KEPCLCAE_00207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117840,KNU28_gp157,KNU28_gp157,KEPCLCAE_00208,-,-,-,immunity protein,protein-coding,-,-,-,immunity protein,20210607,-
2479933,65117841,KNU28_gp156,KNU28_gp156,KEPCLCAE_00209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117842,KNU28_gp155,KNU28_gp155,KEPCLCAE_00210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117843,KNU28_gp154,KNU28_gp154,KEPCLCAE_00211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117844,KNU28_gp153,KNU28_gp153,KEPCLCAE_00212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117845,KNU28_gp152,KNU28_gp152,KEPCLCAE_00213,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210607,-
2479933,65117846,KNU28_gp151,KNU28_gp151,KEPCLCAE_00214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117847,KNU28_gp150,KNU28_gp150,KEPCLCAE_00215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117848,KNU28_gp149,KNU28_gp149,KEPCLCAE_00216,-,-,-,small outer capsid protein,protein-coding,-,-,-,small outer capsid protein,20210607,-
2479933,65117849,KNU28_gp148,KNU28_gp148,KEPCLCAE_00217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117850,KNU28_gp147,KNU28_gp147,KEPCLCAE_00218,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117851,KNU28_gp146,KNU28_gp146,KEPCLCAE_00219,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117852,KNU28_gp145,KNU28_gp145,KEPCLCAE_00220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117853,KNU28_gp144,KNU28_gp144,KEPCLCAE_00221,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117854,KNU28_gp143,KNU28_gp143,KEPCLCAE_00222,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117855,KNU28_gp142,KNU28_gp142,KEPCLCAE_00223,-,-,-,NAD--protein ADP-ribosyltransferase,protein-coding,-,-,-,NAD--protein ADP-ribosyltransferase,20210607,-
2479933,65117856,KNU28_gp141,KNU28_gp141,KEPCLCAE_00224,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117857,KNU28_gp140,KNU28_gp140,KEPCLCAE_00225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117858,KNU28_gp139,KNU28_gp139,KEPCLCAE_00226,-,-,-,ATP-dependent DNA helicase,protein-coding,-,-,-,ATP-dependent DNA helicase,20210607,-
2479933,65117859,KNU28_gp138,KNU28_gp138,KEPCLCAE_00227,-,-,-,exodeoxyribonuclease,protein-coding,-,-,-,exodeoxyribonuclease,20210607,-
2479933,65117860,KNU28_gp137,KNU28_gp137,KEPCLCAE_00228,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117861,KNU28_gp136,KNU28_gp136,KEPCLCAE_00229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117862,KNU28_gp135,KNU28_gp135,KEPCLCAE_00230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117863,KNU28_gp134,KNU28_gp134,KEPCLCAE_00231,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117864,KNU28_gp133,KNU28_gp133,KEPCLCAE_00232,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117865,KNU28_gp132,KNU28_gp132,KEPCLCAE_00233,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117866,KNU28_gp131,KNU28_gp131,KEPCLCAE_00234,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117867,KNU28_gp130,KNU28_gp130,KEPCLCAE_00235,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117868,KNU28_gp129,KNU28_gp129,KEPCLCAE_00236,-,-,-,DNA topoisomerase large subunit,protein-coding,-,-,-,DNA topoisomerase large subunit,20210607,-
2479933,65117869,KNU28_gp128,KNU28_gp128,KEPCLCAE_00237,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117870,KNU28_gp127,KNU28_gp127,KEPCLCAE_00238,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117871,KNU28_gp126,KNU28_gp126,KEPCLCAE_00239,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117872,KNU28_gp125,KNU28_gp125,KEPCLCAE_00240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117873,KNU28_gp124,KNU28_gp124,KEPCLCAE_00241,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117874,KNU28_gp123,KNU28_gp123,KEPCLCAE_00242,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117875,KNU28_gp122,KNU28_gp122,KEPCLCAE_00243,-,-,-,endonuclease IV,protein-coding,-,-,-,endonuclease IV,20210607,-
2479933,65117876,KNU28_gp121,KNU28_gp121,KEPCLCAE_00244,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117877,KNU28_gp120,KNU28_gp120,KEPCLCAE_00245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117878,KNU28_gp119,KNU28_gp119,KEPCLCAE_00246,-,-,-,nucleoid disruption protein,protein-coding,-,-,-,nucleoid disruption protein,20210607,-
2479933,65117879,KNU28_gp118,KNU28_gp118,KEPCLCAE_00247,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117880,KNU28_gp117,KNU28_gp117,KEPCLCAE_00248,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117881,KNU28_gp116,KNU28_gp116,KEPCLCAE_00249,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117882,KNU28_gp115,KNU28_gp115,KEPCLCAE_00250,-,-,-,middle transcription regulatory protein,protein-coding,-,-,-,middle transcription regulatory protein,20210607,-
2479933,65117883,KNU28_gp114,KNU28_gp114,KEPCLCAE_00251,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117884,KNU28_gp113,KNU28_gp113,KEPCLCAE_00252,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117885,KNU28_gp112,KNU28_gp112,KEPCLCAE_00253,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117886,KNU28_gp111,KNU28_gp111,KEPCLCAE_00254,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117887,KNU28_gp110,KNU28_gp110,KEPCLCAE_00255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117888,KNU28_gp109,KNU28_gp109,KEPCLCAE_00256,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117889,KNU28_gp108,KNU28_gp108,KEPCLCAE_00257,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2479933,65117890,KNU28_gp107,KNU28_gp107,KEPCLCAE_00258,-,-,-,10 kDa anti-sigma factor,protein-coding,-,-,-,10 kDa anti-sigma factor,20210607,-
2479933,65117891,KNU28_gp106,KNU28_gp106,KEPCLCAE_00259,-,-,-,holin,protein-coding,-,-,-,holin,20210607,-
2479933,65117892,KNU28_gp105,KNU28_gp105,KEPCLCAE_00260,-,-,-,tail fiber assembly protein,protein-coding,-,-,-,tail fiber assembly protein,20210607,-
2479933,65117893,KNU28_gp104,KNU28_gp104,KEPCLCAE_00261,-,-,-,long-tail fiber protein,protein-coding,-,-,-,long-tail fiber protein,20210607,-
2479933,65117894,KNU28_gp103,KNU28_gp103,KEPCLCAE_00262,-,-,-,long-tail fiber protein,protein-coding,-,-,-,long-tail fiber protein,20210607,-
2479933,65117895,KNU28_gp102,KNU28_gp102,KEPCLCAE_00263,-,-,-,long-tail fiber protein,protein-coding,-,-,-,long-tail fiber protein,20210607,-
2479933,65117896,KNU28_gp101,KNU28_gp101,KEPCLCAE_00264,-,-,-,long-tail fiber proximal subunit,protein-coding,-,-,-,long-tail fiber proximal subunit,20210607,-
2479933,65117897,KNU28_gp001,KNU28_gp001,KEPCLCAE_00001,-,-,-,ribonuclease H,protein-coding,-,-,-,ribonuclease H,20210609,-
2479933,65242946,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
