#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1608310,26518986,3,AU156_gp286,-,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20200910,-
1608310,26519188,AU156_gp047,AU156_gp047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519189,AU156_gp048,AU156_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519190,AU156_gp049,AU156_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519191,AU156_gp050,AU156_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519192,43,AU156_gp051,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200910,-
1608310,26519193,regA,AU156_gp053,-,-,-,-,translational repressor protein,protein-coding,-,-,-,translational repressor protein,20200910,-
1608310,26519194,gp47,AU156_gp061,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200910,-
1608310,26519195,AU156_gp068,AU156_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519196,55.1,AU156_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519197,AU156_gp071,AU156_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519198,55.2,AU156_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519199,AU156_gp074,AU156_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519200,nrdH,AU156_gp075,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20200910,-
1608310,26519201,55.8,AU156_gp077,-,-,-,-,conserved hypothetical predicted membrane protein,protein-coding,-,-,-,conserved hypothetical predicted membrane protein,20200910,-
1608310,26519202,49,AU156_gp079,-,-,-,-,EndoVII packaging and recombination endonuclease VII,protein-coding,-,-,-,EndoVII packaging and recombination endonuclease VII,20200910,-
1608310,26519203,nrdC,AU156_gp084,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20200910,-
1608310,26519204,AU156_gp087,AU156_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519205,nrdC.2,AU156_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519206,AU156_gp090,AU156_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519207,AU156_gp091,AU156_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519208,AU156_gp092,AU156_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519209,nrdC.9,AU156_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519210,AU156_gp095,AU156_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519211,AU156_gp096,AU156_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519212,nrdC.10,AU156_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519213,AU156_gp099,AU156_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519214,AU156_gp100,AU156_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519215,nrdC.11,AU156_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519216,AU156_gp103,AU156_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519217,AU156_gp104,AU156_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519218,AU156_gp105,AU156_gp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519219,AU156_gp106,AU156_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519220,AU156_gp107,AU156_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519221,AU156_gp108,AU156_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519222,AU156_gp109,AU156_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519223,AU156_gp110,AU156_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519224,rI.-1,AU156_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519225,tk,AU156_gp114,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20200910,-
1608310,26519226,tk.4,AU156_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519227,vs.8,AU156_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519228,AU156_gp127,AU156_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519229,e,AU156_gp128,-,-,-,-,Lysozyme murein hydrolase,protein-coding,-,-,-,Lysozyme murein hydrolase,20200910,-
1608310,26519230,AU156_gp131,AU156_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519231,AU156_gp132,AU156_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519232,AU156_gp133,AU156_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519233,AU156_gp134,AU156_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519234,AU156_gp135,AU156_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519235,AU156_gp136,AU156_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519236,AU156_gp137,AU156_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519237,AU156_gp138,AU156_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519238,AU156_gp139,AU156_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519239,AU156_gp140,AU156_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519240,AU156_gp141,AU156_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519241,AU156_gp142,AU156_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519242,e.5,AU156_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519243,AU156_gp146,AU156_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519244,AU156_gp147,AU156_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519245,ndd.1,AU156_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519246,AU156_gt001,AU156_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1608310,26519247,AU156_gt004,AU156_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1608310,26519248,30.3,AU156_gp297,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519249,AU156_gt005,AU156_gt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1608310,26519250,trna.4,AU156_gp292,-,-,-,-,conserved hypothetical predicted membrane protein,protein-coding,-,-,-,conserved hypothetical predicted membrane protein,20200910,-
1608310,26519251,ipI,AU156_gp290,-,-,-,-,internal head protein,protein-coding,-,-,-,internal head protein,20200910,-
1608310,26519252,AU156_gp275,AU156_gp275,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519253,9,AU156_gp274,-,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20200910,-
1608310,26519254,30.5,AU156_gp232,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519255,AU156_gp230,AU156_gp230,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519256,AU156_gp229,AU156_gp229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519257,30.7,AU156_gp228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519258,AU156_gp226,AU156_gp226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519259,30.8,AU156_gp225,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519260,cd.2,AU156_gp217,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519261,pseT,AU156_gp214,-,-,-,-,polynucleotide 5'-kinase and 3'-phosphatase,protein-coding,-,-,-,polynucleotide 5'-kinase and 3'-phosphatase,20200910,-
1608310,26519262,AU156_gp212,AU156_gp212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519263,pseT.2,AU156_gp211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519264,AU156_gp204,AU156_gp204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519265,nrdA,AU156_gp203,-,-,-,-,"aerobic NDP reductase, large subunit",protein-coding,-,-,-,"aerobic NDP reductase, large subunit",20200910,-
1608310,26519266,td,AU156_gp200,-,-,-,-,dTMP (thymidylate) synthase,protein-coding,-,-,-,dTMP (thymidylate) synthase,20200910,-
1608310,26519267,AU156_gp198,AU156_gp198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519268,frd,AU156_gp197,-,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20200910,-
1608310,26519269,AU156_gp195,AU156_gp195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519270,AU156_gp194,AU156_gp194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519271,AU156_gp193,AU156_gp193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519272,frd.1,AU156_gp192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519273,AU156_gp190,AU156_gp190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519274,frd.2,AU156_gp189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519275,frd.3,AU156_gp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519276,AU156_gp173,AU156_gp173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519277,AU156_gp172,AU156_gp172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519278,AU156_gp171,AU156_gp171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519279,arn.3,AU156_gp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519280,motA,AU156_gp167,-,-,-,-,activator of middle period transcription,protein-coding,-,-,-,activator of middle period transcription,20200910,-
1608310,26519281,AU156_gp165,AU156_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519282,motA.1,AU156_gp164,-,-,-,-,hypothetical predicted periplasmic protein,protein-coding,-,-,-,hypothetical predicted periplasmic protein,20200910,-
1608310,26519283,AU156_gp161,AU156_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519284,ndd,AU156_gp160,-,-,-,-,nucleoid disruption protein,protein-coding,-,-,-,nucleoid disruption protein,20200910,-
1608310,26519285,AU156_gp158,AU156_gp158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519286,AU156_gp157,AU156_gp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519287,ndd.4,AU156_gp156,-,-,-,-,hypothetical predicted inner membrane,protein-coding,-,-,-,hypothetical predicted inner membrane,20200910,-
1608310,26519288,denB,AU156_gp154,-,-,-,-,DNA endonuclease IV,protein-coding,-,-,-,DNA endonuclease IV,20200910,-
1608310,26519289,denB.1,AU156_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1608310,26519290,rIIA,AU156_gp001,-,-,-,-,rIIA protector from prophage-induced early lysis,protein-coding,-,-,-,rIIA protector from prophage-induced early lysis,20200910,-
1608310,26591595,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
