#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1327956,16835846,P766_gp002,P766_gp002,Ec2_002,-,-,-,cell wall hydrolase,protein-coding,-,-,-,cell wall hydrolase,20210129,-
1327956,16836035,P766_gp191,P766_gp191,Ec2_00191,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836036,P766_gp192,P766_gp192,Ec2_00192,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836037,P766_gp193,P766_gp193,Ec2_00193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836038,P766_gp194,P766_gp194,Ec2_00194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836039,P766_gp195,P766_gp195,Ec2_00195,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836040,P766_gp196,P766_gp196,Ec2_00196,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836041,P766_gp197,P766_gp197,Ec2_00197,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836042,P766_gp198,P766_gp198,Ec2_00198,-,-,-,putative endonuclease VII,protein-coding,-,-,-,putative endonuclease VII,20200629,-
1327956,16836043,P766_gp199,P766_gp199,Ec2_00199,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836044,P766_gp200,P766_gp200,Ec2_00200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836045,P766_gp201,P766_gp201,Ec2_00201,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836046,P766_gp202,P766_gp202,Ec2_00202,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836047,P766_gp203,P766_gp203,Ec2_00203,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836048,P766_gp204,P766_gp204,Ec2_00204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836049,P766_gp205,P766_gp205,Ec2_00205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836050,P766_gp206,P766_gp206,Ec2_00206,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836051,P766_gp207,P766_gp207,Ec2_00207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836052,P766_gp208,P766_gp208,Ec2_00208,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836053,P766_gp209,P766_gp209,Ec2_00209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836054,P766_gp210,P766_gp210,Ec2_00210,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20200629,-
1327956,16836055,P766_gp211,P766_gp211,Ec2_00211,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200629,-
1327956,16836056,P766_gp212,P766_gp212,Ec2_00212,-,-,-,putative DNA replicative helicase/primase,protein-coding,-,-,-,putative DNA replicative helicase/primase,20210123,-
1327956,16836057,P766_gp213,P766_gp213,Ec2_00213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836058,P766_gp214,P766_gp214,Ec2_00214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836059,P766_gp215,P766_gp215,Ec2_00215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836060,P766_gp216,P766_gp216,Ec2_00216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836061,P766_gp217,P766_gp217,Ec2_00217,-,-,-,putative adenine methyltransferase,protein-coding,-,-,-,putative adenine methyltransferase,20200629,-
1327956,16836062,P766_gp218,P766_gp218,Ec2_00218,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16836063,P766_gp219,P766_gp219,Ec2_00219,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210129,-
1327956,16836064,P766_gp220,P766_gp220,Ec2_00220,-,-,-,putative rIIB protector,protein-coding,-,-,-,putative rIIB protector,20210129,-
1327956,16836065,P766_gp001,P766_gp001,Ec2_001,-,-,-,putative rIIA,protein-coding,-,-,-,putative rIIA,20200629,-
1327956,16836066,P766_gt002,P766_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1327956,16836067,P766_gt003,P766_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1327956,16836068,P766_gt004,P766_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1327956,16836069,P766_gp069,P766_gp069,Ec2_0069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1327956,16976883,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Escherichia phage 2 JES-2013).,other,-,-,-,-,20200513,-
