#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2716728,65053834,KMB92_gp001,KMB92_gp001,PhiZZ6_001,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20210608,-
2716728,65054009,KMB92_gp244,KMB92_gp244,PhiZZ6_176,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20210608,-
2716728,65054010,KMB92_gp243,KMB92_gp243,PhiZZ6_177,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210608,-
2716728,65054011,KMB92_gp242,KMB92_gp242,PhiZZ6_178,-,-,-,putative portal vertex of the head,protein-coding,-,-,-,putative portal vertex of the head,20210608,-
2716728,65054012,KMB92_gp241,KMB92_gp241,PhiZZ6_179,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210608,-
2716728,65054013,KMB92_gp240,KMB92_gp240,PhiZZ6_180,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210608,-
2716728,65054014,KMB92_gp239,KMB92_gp239,PhiZZ6_181,-,-,-,prohead core scaffold protein and protease,protein-coding,-,-,-,prohead core scaffold protein and protease,20210612,-
2716728,65054015,KMB92_gp238,KMB92_gp238,PhiZZ6_182,-,-,-,putative prohead core scaffold protein,protein-coding,-,-,-,putative prohead core scaffold protein,20210608,-
2716728,65054016,KMB92_gp237,KMB92_gp237,PhiZZ6_183,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2716728,65054017,KMB92_gp236,KMB92_gp236,PhiZZ6_184,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210608,-
2716728,65054018,KMB92_gp235,KMB92_gp235,PhiZZ6_185,-,-,-,capsid vertex,protein-coding,-,-,-,capsid vertex,20210608,-
2716728,65054019,KMB92_gp234,KMB92_gp234,PhiZZ6_186,-,-,-,RNA ligase 2,protein-coding,-,-,-,RNA ligase 2,20210608,-
2716728,65054020,KMB92_gp233,KMB92_gp233,PhiZZ6_187,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054021,KMB92_gp232,KMB92_gp232,PhiZZ6_188,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054022,KMB92_gp231,KMB92_gp231,PhiZZ6_189,-,-,-,large head outer capsid protein,protein-coding,-,-,-,large head outer capsid protein,20210608,-
2716728,65054023,KMB92_gp230,KMB92_gp230,PhiZZ6_190,-,-,-,inhibitor of prohead protease,protein-coding,-,-,-,inhibitor of prohead protease,20210608,-
2716728,65054024,KMB92_gp229,KMB92_gp229,PhiZZ6_191,-,-,-,helicase,protein-coding,-,-,-,helicase,20210608,-
2716728,65054025,KMB92_gp228,KMB92_gp228,PhiZZ6_192,-,-,-,RNA-DNA and DNA-DNA helicase ATPase,protein-coding,-,-,-,RNA-DNA and DNA-DNA helicase ATPase,20210609,-
2716728,65054026,KMB92_gp227,KMB92_gp227,PhiZZ6_193,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054027,KMB92_gp226,KMB92_gp226,PhiZZ6_194,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054028,KMB92_gp225,KMB92_gp225,PhiZZ6_195,-,-,-,recombination repair and ssDNA-binding protein,protein-coding,-,-,-,recombination repair and ssDNA-binding protein,20210608,-
2716728,65054029,KMB92_gp224,KMB92_gp224,PhiZZ6_196,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20210608,-
2716728,65054030,KMB92_gp223,KMB92_gp223,PhiZZ6_197,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210608,-
2716728,65054031,KMB92_gp222,KMB92_gp222,PhiZZ6_198,-,-,-,baseplate protein,protein-coding,-,-,-,baseplate protein,20210608,-
2716728,65054032,KMB92_gp221,KMB92_gp221,PhiZZ6_199,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210608,-
2716728,65054033,KMB92_gp220,KMB92_gp220,PhiZZ6_200,-,-,-,baseplate hub distal subunit,protein-coding,-,-,-,baseplate hub distal subunit,20210609,-
2716728,65054034,KMB92_gp219,KMB92_gp219,PhiZZ6_201,-,-,-,baseplate hub,protein-coding,-,-,-,baseplate hub,20210608,-
2716728,65054035,KMB92_gp218,KMB92_gp218,PhiZZ6_202,-,-,-,baseplate tail tube cap,protein-coding,-,-,-,baseplate tail tube cap,20210609,-
2716728,65054036,KMB92_gp217,KMB92_gp217,PhiZZ6_203,-,-,-,baseplate subunit,protein-coding,-,-,-,baseplate subunit,20210608,-
2716728,65054037,KMB92_gp216,KMB92_gp216,PhiZZ6_204,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054038,KMB92_gp215,KMB92_gp215,PhiZZ6_205,-,-,-,RNA polymerase-ADP-ribosyltransferase,protein-coding,-,-,-,RNA polymerase-ADP-ribosyltransferase,20210608,-
2716728,65054039,KMB92_gp214,KMB92_gp214,PhiZZ6_206,-,-,-,RNA polymerase-ADP-ribosyltransferase,protein-coding,-,-,-,RNA polymerase-ADP-ribosyltransferase,20210608,-
2716728,65054040,KMB92_gp213,KMB92_gp213,PhiZZ6_207,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054041,KMB92_gp212,KMB92_gp212,PhiZZ6_208,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210608,-
2716728,65054042,KMB92_gp211,KMB92_gp211,PhiZZ6_209,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2716728,65054043,KMB92_gp210,KMB92_gp210,PhiZZ6_210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054044,KMB92_gp209,KMB92_gp209,PhiZZ6_211,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054045,KMB92_gp208,KMB92_gp208,PhiZZ6_212,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054046,KMB92_gp207,KMB92_gp207,PhiZZ6_213,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054047,KMB92_gp206,KMB92_gp206,PhiZZ6_214,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054048,KMB92_gp205,KMB92_gp205,PhiZZ6_215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2716728,65054049,KMB92_gp204,KMB92_gp204,PhiZZ6_216,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054050,KMB92_gp203,KMB92_gp203,PhiZZ6_217,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054051,KMB92_gp202,KMB92_gp202,PhiZZ6_218,-,-,-,rIII lysis inhibition accessory protein,protein-coding,-,-,-,rIII lysis inhibition accessory protein,20210608,-
2716728,65054052,KMB92_gp201,KMB92_gp201,PhiZZ6_219,-,-,-,head assembly chaperone protein,protein-coding,-,-,-,head assembly chaperone protein,20210608,-
2716728,65054053,KMB92_gp200,KMB92_gp200,PhiZZ6_220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054054,KMB92_gp199,KMB92_gp199,PhiZZ6_221,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054055,KMB92_gp198,KMB92_gp198,PhiZZ6_222,-,-,-,putative deoxycytidylate deaminase,protein-coding,-,-,-,putative deoxycytidylate deaminase,20210608,-
2716728,65054056,KMB92_gp197,KMB92_gp197,PhiZZ6_223,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054057,KMB92_gp196,KMB92_gp196,PhiZZ6_224,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054058,KMB92_gp195,KMB92_gp195,PhiZZ6_225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054059,KMB92_gp194,KMB92_gp194,PhiZZ6_226,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054060,KMB92_gp193,KMB92_gp193,PhiZZ6_227,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054061,KMB92_gp192,KMB92_gp192,PhiZZ6_228,-,-,-,3'-phosphatase 5'-polynucleotide kinase,protein-coding,-,-,-,3'-phosphatase 5'-polynucleotide kinase,20210608,-
2716728,65054062,KMB92_gp191,KMB92_gp191,PhiZZ6_229,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054063,KMB92_gp190,KMB92_gp190,PhiZZ6_230,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054064,KMB92_gp189,KMB92_gp189,PhiZZ6_231,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054065,KMB92_gp188,KMB92_gp188,PhiZZ6_232,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054066,KMB92_gp187,KMB92_gp187,PhiZZ6_233,-,-,-,inhibitor of host transcription,protein-coding,-,-,-,inhibitor of host transcription,20210608,-
2716728,65054067,KMB92_gp186,KMB92_gp186,PhiZZ6_234,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210608,-
2716728,65054068,KMB92_gp185,KMB92_gp185,PhiZZ6_235,-,-,-,endonuclease II,protein-coding,-,-,-,endonuclease II,20210608,-
2716728,65054069,KMB92_gp184,KMB92_gp184,PhiZZ6_236,-,-,-,ribonucleotide reductase of class Ia aerobic beta subunit,protein-coding,-,-,-,ribonucleotide reductase of class Ia aerobic beta subunit,20210608,-
2716728,65054070,KMB92_gp183,KMB92_gp183,PhiZZ6_237,-,-,-,ribonucleotide reductase A subunit,protein-coding,-,-,-,ribonucleotide reductase A subunit,20210608,-
2716728,65054071,KMB92_gp182,KMB92_gp182,PhiZZ6_238,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2716728,65054072,KMB92_gp181,KMB92_gp181,PhiZZ6_239,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054073,KMB92_gp180,KMB92_gp180,PhiZZ6_240,-,-,-,thymidylate synthetase,protein-coding,-,-,-,thymidylate synthetase,20210608,-
2716728,65054074,KMB92_gp179,KMB92_gp179,PhiZZ6_241,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054075,KMB92_gp178,KMB92_gp178,PhiZZ6_242,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20210608,-
2716728,65054076,KMB92_gp177,KMB92_gp177,PhiZZ6_243,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054077,KMB92_gp176,KMB92_gp176,PhiZZ6_244,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054078,KMB92_gp175,KMB92_gp175,PhiZZ6_245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054079,KMB92_gp174,KMB92_gp174,PhiZZ6_246,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054080,KMB92_gp173,KMB92_gp173,PhiZZ6_247,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054081,KMB92_gp172,KMB92_gp172,PhiZZ6_248,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2716728,65054082,KMB92_gp171,KMB92_gp171,PhiZZ6_249,-,-,-,single stranded DNA-binding protein,protein-coding,-,-,-,single stranded DNA-binding protein,20210608,-
2716728,65054083,KMB92_gp170,KMB92_gp170,PhiZZ6_250,-,-,-,loader of DNA helicase,protein-coding,-,-,-,loader of DNA helicase,20210612,-
2716728,65054084,KMB92_gp169,KMB92_gp169,PhiZZ6_251,-,-,-,late promoter transcription factor,protein-coding,-,-,-,late promoter transcription factor,20210608,-
2716728,65054085,KMB92_gp168,KMB92_gp168,PhiZZ6_252,-,-,-,double-stranded DNA binding protein,protein-coding,-,-,-,double-stranded DNA binding protein,20210612,-
2716728,65054086,KMB92_gp167,KMB92_gp167,PhiZZ6_253,-,-,-,ribonuclease,protein-coding,-,-,-,ribonuclease,20210609,-
2716728,65054087,KMB92_gp166,KMB92_gp166,PhiZZ6_254,-,-,-,long tail fiber proximal subunit,protein-coding,-,-,-,long tail fiber proximal subunit,20210608,-
2716728,65054088,KMB92_gp165,KMB92_gp165,PhiZZ6_255,-,-,-,hinge connector of long tail fiber proximal connector,protein-coding,-,-,-,hinge connector of long tail fiber proximal connector,20210608,-
2716728,65054089,KMB92_gp164,KMB92_gp164,PhiZZ6_256,-,-,-,hinge connector of long tail fiber distal connector,protein-coding,-,-,-,hinge connector of long tail fiber distal connector,20210608,-
2716728,65054090,KMB92_gp163,KMB92_gp163,PhiZZ6_257,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210608,-
2716728,65054091,KMB92_gp162,KMB92_gp162,PhiZZ6_258,-,-,-,receptor-recognizing protein assembly protein,protein-coding,-,-,-,receptor-recognizing protein assembly protein,20210608,-
2716728,65054092,KMB92_gp161,KMB92_gp161,PhiZZ6_259,-,-,-,holin,protein-coding,-,-,-,holin,20210608,-
2716728,65054093,KMB92_gp160,KMB92_gp160,PhiZZ6_260,-,-,-,anti-sigma factor,protein-coding,-,-,-,anti-sigma factor,20210612,-
2716728,65054094,KMB92_gp159,KMB92_gp159,PhiZZ6_261,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054095,KMB92_gp158,KMB92_gp158,PhiZZ6_262,-,-,-,inhibitor of MrcBC restriction endonuclease,protein-coding,-,-,-,inhibitor of MrcBC restriction endonuclease,20210608,-
2716728,65054096,KMB92_gp157,KMB92_gp157,PhiZZ6_263,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054097,KMB92_gp156,KMB92_gp156,PhiZZ6_264,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054098,KMB92_gp155,KMB92_gp155,PhiZZ6_265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054099,KMB92_gp154,KMB92_gp154,PhiZZ6_266,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054100,KMB92_gp153,KMB92_gp153,PhiZZ6_267,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054101,KMB92_gp152,KMB92_gp152,PhiZZ6_268,-,-,-,transcriptional regulator of middle promoters,protein-coding,-,-,-,transcriptional regulator of middle promoters,20210608,-
2716728,65054102,KMB92_gp151,KMB92_gp151,PhiZZ6_269,-,-,-,putative periplasmic protein,protein-coding,-,-,-,putative periplasmic protein,20210608,-
2716728,65054103,KMB92_gp150,KMB92_gp150,PhiZZ6_270,-,-,-,DNA topoisomerase II medium subunit,protein-coding,-,-,-,DNA topoisomerase II medium subunit,20210608,-
2716728,65054104,KMB92_gp149,KMB92_gp149,PhiZZ6_271,-,-,-,acridine resistance protein,protein-coding,-,-,-,acridine resistance protein,20210608,-
2716728,65054105,KMB92_gp148,KMB92_gp148,PhiZZ6_272,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054106,KMB92_gp147,KMB92_gp147,PhiZZ6_273,-,-,-,nucleoid disruption protein,protein-coding,-,-,-,nucleoid disruption protein,20210608,-
2716728,65054107,KMB92_gp146,KMB92_gp146,PhiZZ6_274,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054108,KMB92_gp145,KMB92_gp145,PhiZZ6_275,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054109,KMB92_gp144,KMB92_gp144,PhiZZ6_276,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054110,KMB92_gp143,KMB92_gp143,PhiZZ6_277,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054111,KMB92_gp142,KMB92_gp142,PhiZZ6_278,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054112,KMB92_gp141,KMB92_gp141,PhiZZ6_279,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054113,KMB92_gp140,KMB92_gp140,PhiZZ6_280,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210608,-
2716728,65054114,KMB92_gp139,KMB92_gp139,PhiZZ6_281,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716728,65054115,KMB92_gp138,KMB92_gp138,PhiZZ6_282,-,-,-,rIIB protector from prophage-induced early lysis,protein-coding,-,-,-,rIIB protector from prophage-induced early lysis,20210608,-
2716728,65243369,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
